Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Marie-Ève Hélie-Lambert,Louis Lacroix,Louis Plamondon,Ghislaine Provencher,Marie-Claude Roberge Cartier,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 52","Saint-Léonard",60,9,130,16,13,4,232,360
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 53","Sainte-Eulalie",79,10,106,18,6,4,223,358
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 54","Grand-Saint-Esprit",65,9,122,29,26,3,254,368
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 55","Sainte-Monique",37,12,99,22,17,2,189,307
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 56","Sainte-Monique",27,2,36,11,9,1,86,138
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 57","Saint-Léonard",46,10,107,22,19,1,205,340
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 58","Sainte-Perpétue",54,10,77,20,7,2,170,244
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 59","Sainte-Perpétue",137,6,143,39,8,11,344,477
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 60","Saint-Jean-Baptiste-de-Nicolet",47,17,157,17,20,2,260,460
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 61","Saint-Jean-Baptiste-de-Nicolet",113,8,221,24,20,8,394,692
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 62","Saint-Jean-Baptiste-de-Nicolet",64,10,86,15,12,4,191,346
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 63","Saint-Jean-Baptiste-de-Nicolet",24,14,68,19,9,2,136,219
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 64","Nicolet",45,6,75,18,8,2,154,254
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 65","Nicolet",42,8,81,30,16,3,180,375
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 66","Saint-Jean-Baptiste-de-Nicolet",70,8,162,24,20,0,284,443
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 67","Saint-Jean-Baptiste-de-Nicolet",84,10,130,25,14,11,274,496
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 68","Nicolet",53,2,58,56,6,3,178,477
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 69A","Nicolet",73,7,96,18,12,3,209,389
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 69B","Mobile poll/Bureau itinérant",Merged with No. 120B/Fusionné avec le nº 120B,,,,,,,103
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 70","Nicolet",51,10,95,25,6,0,187,359
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 71","Nicolet",29,10,54,15,8,1,117,207
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 72","Nicolet",24,7,42,15,13,1,102,244
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 73","Nicolet",13,5,64,9,4,3,98,325
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 74","Nicolet",50,11,82,4,17,1,165,346
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 75","Nicolet",56,6,93,16,15,4,190,338
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 76","Nicolet-Sud",60,6,81,22,5,2,176,311
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 77","Baie-du-Febvre",39,7,105,23,5,2,181,287
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 78","Baie-du-Febvre",27,6,53,14,7,2,109,154
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 79","Baie-du-Febvre",84,4,135,30,14,7,274,397
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 80","La Visitation",35,7,133,16,10,4,205,276
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 81","Saint-Zéphirin",64,4,114,26,7,7,222,321
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 82","Saint-Zéphirin",39,9,84,20,9,5,166,257
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 83","Saint-Thomas-de-Pierreville",13,3,33,5,1,1,56,96
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 84","Notre-Dame-de-Pierreville",40,2,116,23,5,3,189,382
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 85","Saint-Thomas-de-Pierreville",72,14,175,43,8,0,312,637
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 86","Pierreville",52,2,148,18,7,6,233,379
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 87","Pierreville",37,3,104,13,4,4,165,361
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 88","Saint-Elphège",40,8,87,22,2,3,162,226
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 89","Saint-François-du-Lac",62,3,143,25,10,1,244,424
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 90","Saint-François-du-Lac",47,6,138,27,5,4,227,441
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 91","Saint-François-du-Lac",24,8,95,15,9,9,160,307
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 92","Notre-Dame-de-Pierreville",45,14,124,24,5,5,217,369
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 93","Saint-François-du-Lac",57,4,132,20,10,5,228,417
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 94","Saint-Gérard-Majella",46,1,41,20,8,4,120,192
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 95","Sainte-Anne-de-Sorel",30,9,116,26,8,7,196,355
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 96","Sainte-Anne-de-Sorel",44,3,127,15,3,5,197,405
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 97","Saint-Michel-d'Yamaska",42,4,112,22,6,3,189,307
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 98","Saint-Michel-d'Yamaska",63,6,114,36,7,1,227,426
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 99","Yamaska",71,6,103,38,16,7,241,422
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 100","Yamaska-Est",29,2,48,16,3,1,99,186
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 101","Saint-David",45,8,95,34,4,3,189,295
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 102","Saint-David",54,5,103,36,8,1,207,329
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 103","Sainte-Anne-de-Sorel",64,7,143,24,16,5,259,429
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 104","Sainte-Anne-de-Sorel",39,4,141,14,13,6,217,363
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 105","Sainte-Anne-de-Sorel",34,3,96,30,7,1,171,302
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 106","Sainte-Anne-de-Sorel",33,4,136,19,13,6,211,399
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 107","Sorel",45,5,93,26,5,0,174,371
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 108","Sorel",30,5,78,35,2,0,150,319
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 109","Sorel",29,4,110,22,8,2,175,348
"Bas-Richelieu--Nicolet--Bécancour/Bas-Richelieu--Nicolet--Bécancour"," 110","Sorel",37,6,121,9,13,1,187,345
