Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert A. Campbell,Peter Mancini,Elizabeth Perry,Michael Savage,Charles Spurr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 1","Halifax",15,37,6,38,0,0,96,335
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 2","Halifax",26,31,1,44,0,0,102,174
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 3","Halifax",39,55,6,81,0,0,181,367
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 4","Halifax",56,57,10,99,0,1,223,380
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5A","Halifax",76,48,2,155,0,0,281,450
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 5B","Halifax",68,39,1,149,0,0,257,440
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 6","Halifax",17,35,3,72,1,0,128,188
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 7","Halifax",61,86,3,140,0,3,293,463
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 8","Halifax",57,54,6,115,0,1,233,369
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 9","Halifax",58,49,2,113,0,0,222,377
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 10","Halifax",40,68,9,119,0,0,236,429
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 11","Halifax",64,55,7,167,0,1,294,493
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 12","Halifax",53,70,7,104,0,0,234,422
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 13","Halifax",37,61,6,113,0,0,217,417
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 14","Halifax",44,40,5,107,0,3,199,311
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 15","Halifax",43,78,9,101,0,1,232,403
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 16","Halifax",45,113,6,96,1,0,261,437
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 17","Halifax",28,51,4,54,0,1,138,395
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 18","Halifax",34,45,3,62,0,0,144,239
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 19","Halifax",36,53,4,87,1,3,184,283
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 20","Halifax",50,69,4,74,0,0,197,324
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 21","Halifax",16,40,1,13,0,0,70,377
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22A","Halifax",18,44,2,38,0,0,102,284
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 22B","Halifax",22,42,2,29,0,0,95,299
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 23","Halifax",21,59,2,34,1,1,118,340
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 24","Halifax",21,44,8,38,1,0,112,295
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 25","Halifax",9,41,7,31,0,1,89,138
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 26","Halifax",Merged with No. 25/Fusionné avec le nº 25,,,,,,,123
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 27","Halifax",19,91,5,50,0,1,166,369
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 28","Halifax",17,97,3,40,0,1,158,387
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 29","Halifax",17,46,3,40,0,1,107,350
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 30","Halifax",15,62,3,32,1,3,116,353
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 31","Halifax",26,73,0,52,1,2,154,389
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 32","Halifax",39,69,3,60,0,0,171,352
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 33","Halifax",20,70,8,52,0,0,150,341
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 34","Halifax",25,70,3,46,0,0,144,413
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 35","Halifax",13,85,5,44,1,1,149,500
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 36","Halifax",25,74,2,43,0,0,144,478
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37A","Halifax",20,29,2,17,0,0,68,327
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 37B","Halifax",9,30,1,22,1,0,63,344
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 38","Halifax",14,54,3,33,0,0,104,354
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 39","Halifax",6,21,1,17,0,0,45,198
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40A","Halifax",11,48,4,31,1,0,95,342
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 40B","Halifax",17,31,2,31,0,0,81,301
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41A","Halifax",39,52,3,91,0,0,185,295
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 41B","Halifax",33,53,4,78,0,0,168,289
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42A","Halifax",25,45,3,65,0,0,138,303
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 42B","Halifax",42,43,2,83,0,0,170,339
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43A","Halifax",33,41,2,55,0,0,131,262
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 43B","Halifax",30,41,1,67,0,0,139,260
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 44","Halifax",66,50,5,100,0,2,223,380
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 45","Halifax",44,89,8,114,0,0,255,416
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 46","Halifax",55,67,3,130,1,0,256,399
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 47","Halifax",48,76,3,119,0,0,246,374
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 48","Halifax",43,37,5,91,0,0,176,340
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 49","Halifax",54,79,4,85,0,1,223,339
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 50","Halifax",28,46,4,64,0,1,143,294
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 51","Halifax",35,54,1,67,1,0,158,357
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 52","Halifax",29,42,4,66,0,1,142,325
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 53","Halifax",57,102,7,119,1,2,288,491
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 54","Halifax",18,47,6,29,0,0,100,390
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 55","Halifax",28,74,8,70,0,2,182,320
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 56","Halifax",10,41,6,28,0,0,85,189
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 57","Halifax",19,72,4,70,0,1,166,412
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 58A","Halifax",9,42,7,30,0,0,88,323
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 58B","Halifax",12,36,6,32,0,0,86,333
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 59A","Halifax",20,53,3,37,0,0,113,349
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 59B","Halifax",16,58,2,35,0,1,112,353
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 60","Halifax",21,109,5,59,0,0,194,392
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 61","Halifax",13,33,5,37,2,0,90,287
"Dartmouth--Cole Harbour/Dartmouth--Cole Harbour"," 62","Halifax",25,53,5,48,0,1,132,282
