Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Raymond Côté,Odina Desrochers,Jacques Gourde,Eric Paradis,Shirley Picknell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 32","Laurier-Station",12,63,135,4,9,4,227,407
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 33","Laurier-Station",5,35,87,5,3,5,140,244
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 34","Laurier-Station",9,45,152,10,6,8,230,380
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 35","Laurier-Station",10,61,150,16,3,2,242,437
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 36A","Laurier-Station",9,53,145,22,7,5,241,392
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 36B","Mobile poll/Bureau itinérant",0,15,20,9,1,0,45,31
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 36C","Mobile poll/Bureau itinérant",Merged with No. 36B/Fusionné avec le nº 36B,,,,,,,10
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 37A","Saint-Flavien",3,51,64,11,7,0,136,242
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 37B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,33
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 38A","Saint-Flavien",6,58,125,6,6,3,204,347
"Lotbinière--Chutes-de-la-Chaudière/Lotbinière--Chutes-de-la-Chaudière"," 38B","Mobile poll/Bureau itinérant",Merged with No. 11B/Fusionné avec le nº 11B,,,,,,,22
