Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lise Bissonnette,Martin Duplantis,Renée Gagné,Serge Ménard,Claude Moreau,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1A","Bois-des-Filion",6,15,24,122,46,4,217,373
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 1B","Bois-des-Filion",9,16,18,117,33,4,197,356
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 2","Bois-des-Filion",9,15,18,179,43,5,269,443
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 3","Bois-des-Filion",5,11,14,132,30,3,195,402
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 4","Bois-des-Filion",3,23,29,106,42,2,205,364
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 5","Bois-des-Filion",19,24,18,177,34,4,276,438
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 6","Bois-des-Filion",18,21,39,170,60,6,314,265
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 7","Bois-des-Filion",21,20,31,201,43,5,321,491
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 8","Bois-des-Filion",12,22,31,154,40,8,267,399
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 9","Bois-des-Filion",Merged with No. 6/Fusionné avec le nº 6,,,,,,,255
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 10","Bois-des-Filion",17,22,25,120,59,5,248,394
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 11","Bois-des-Filion",5,12,18,153,40,4,232,394
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 12","Bois-des-Filion",11,17,8,159,41,6,242,434
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 13","Bois-des-Filion",8,27,12,125,33,6,211,352
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 14","Bois-des-Filion",21,4,17,141,43,5,231,432
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 15","Bois-des-Filion",11,14,10,110,16,4,165,352
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 16","Lorraine",16,19,19,126,32,4,216,366
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 17","Lorraine",14,14,24,150,50,3,255,472
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 18","Lorraine",14,14,32,79,64,1,204,316
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 19","Lorraine",13,11,25,112,56,3,220,372
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 20","Lorraine",16,34,34,122,71,2,279,398
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 21","Lorraine",13,15,17,129,44,1,219,355
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 22","Lorraine",16,21,41,137,62,3,280,431
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 23","Lorraine",13,26,48,77,63,2,229,398
"Marc-Aurèle-Fortin/Marc-Aurèle-Fortin"," 24","Lorraine",17,10,54,77,86,3,247,426
