Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carl Barabonoff,Garry Breitkreuz,Mervin Joseph Cushman,Jason Dennison,Keith Neu,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yorkton--Melville/Yorkton--Melville"," 1","McKague",3,50,14,27,6,0,100,180
"Yorkton--Melville/Yorkton--Melville"," 2","Archerwill",5,126,29,57,7,0,224,373
"Yorkton--Melville/Yorkton--Melville"," 3","Crooked River",0,61,2,9,1,0,73,128
"Yorkton--Melville/Yorkton--Melville"," 4","Mistatim",1,91,29,11,7,0,139,206
"Yorkton--Melville/Yorkton--Melville"," 5","Bjorkdale",0,112,23,49,3,0,187,356
"Yorkton--Melville/Yorkton--Melville"," 6","Chelan",0,43,12,22,4,0,81,135
"Yorkton--Melville/Yorkton--Melville"," 7","Porcupine Plain",2,153,24,32,7,0,218,362
"Yorkton--Melville/Yorkton--Melville"," 8","Porcupine Plain",3,116,25,54,8,0,206,395
"Yorkton--Melville/Yorkton--Melville"," 9","Porcupine Plain",3,72,13,33,3,0,124,215
"Yorkton--Melville/Yorkton--Melville"," 10","Prairie River",0,69,6,15,2,1,93,140
"Yorkton--Melville/Yorkton--Melville"," 11","Carragana",0,65,2,25,3,0,95,172
"Yorkton--Melville/Yorkton--Melville"," 12","Weekes",2,90,4,27,6,0,129,223
"Yorkton--Melville/Yorkton--Melville"," 13","Hudson Bay",0,174,17,51,31,0,273,498
"Yorkton--Melville/Yorkton--Melville"," 14","Hudson Bay",2,120,28,43,12,1,206,413
"Yorkton--Melville/Yorkton--Melville"," 15","Hudson Bay",2,133,25,76,33,0,269,536
"Yorkton--Melville/Yorkton--Melville"," 16","Hudson Bay",0,68,27,40,21,0,156,284
"Yorkton--Melville/Yorkton--Melville"," 17","Hudson Bay",1,110,27,37,18,1,194,377
"Yorkton--Melville/Yorkton--Melville"," 18","Hudson Bay",0,39,8,12,4,0,63,136
"Yorkton--Melville/Yorkton--Melville"," 19","Yellow Quill",4,41,98,21,2,0,166,417
"Yorkton--Melville/Yorkton--Melville"," 20","Kelvington",2,97,11,16,6,0,132,232
"Yorkton--Melville/Yorkton--Melville"," 21","Kelvington",1,101,13,39,6,0,160,301
