Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lori Gadzala,Michael Gaffney,Laurel Gibbons,Pierre Poilievre,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nepean--Carleton/Nepean--Carleton"," 1A","Nepean",9,85,32,139,2,267,405
"Nepean--Carleton/Nepean--Carleton"," 1B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,68
"Nepean--Carleton/Nepean--Carleton"," 2","Nepean",5,43,47,116,1,212,415
"Nepean--Carleton/Nepean--Carleton"," 3","Nepean",23,80,28,149,0,280,465
"Nepean--Carleton/Nepean--Carleton"," 4","Nepean",8,62,62,126,1,259,422
"Nepean--Carleton/Nepean--Carleton"," 5","Nepean",30,45,39,127,0,241,377
"Nepean--Carleton/Nepean--Carleton"," 6","Nepean",10,47,30,86,1,174,302
"Nepean--Carleton/Nepean--Carleton"," 7","Nepean",24,138,45,114,0,321,503
"Nepean--Carleton/Nepean--Carleton"," 8","Nepean",31,107,67,176,2,383,664
"Nepean--Carleton/Nepean--Carleton"," 9","Nepean",14,52,52,102,1,221,392
"Nepean--Carleton/Nepean--Carleton"," 10","Nepean",18,33,25,91,0,167,337
"Nepean--Carleton/Nepean--Carleton"," 11","Nepean",22,55,41,136,2,256,442
"Nepean--Carleton/Nepean--Carleton"," 12","Nepean",9,42,28,75,0,154,249
"Nepean--Carleton/Nepean--Carleton"," 13","Nepean",8,70,15,119,0,212,321
"Nepean--Carleton/Nepean--Carleton"," 14","Nepean",27,49,34,88,0,198,326
"Nepean--Carleton/Nepean--Carleton"," 15","Nepean",30,68,35,141,2,276,405
"Nepean--Carleton/Nepean--Carleton"," 16","Nepean",12,26,22,94,1,155,266
"Nepean--Carleton/Nepean--Carleton"," 17","Nepean",15,64,30,138,2,249,470
"Nepean--Carleton/Nepean--Carleton"," 18","Nepean",9,59,22,128,3,221,311
"Nepean--Carleton/Nepean--Carleton"," 19","Nepean",9,75,31,147,1,263,397
"Nepean--Carleton/Nepean--Carleton"," 20","Nepean",7,60,8,111,0,186,305
"Nepean--Carleton/Nepean--Carleton"," 21","Nepean",Merged with No. 15/Fusionné avec le nº 15,,,,,,34
"Nepean--Carleton/Nepean--Carleton"," 22","Nepean",12,52,29,136,3,232,367
"Nepean--Carleton/Nepean--Carleton"," 23","Nepean",2,77,6,86,0,171,271
"Nepean--Carleton/Nepean--Carleton"," 24","Nepean",10,54,11,70,1,146,244
"Nepean--Carleton/Nepean--Carleton"," 25","Nepean",15,105,28,102,0,250,412
"Nepean--Carleton/Nepean--Carleton"," 26","Nepean",18,76,25,105,1,225,351
"Nepean--Carleton/Nepean--Carleton"," 27","Nepean",16,54,48,90,0,208,347
"Nepean--Carleton/Nepean--Carleton"," 28","Nepean",15,67,46,107,0,235,398
"Nepean--Carleton/Nepean--Carleton"," 29","Nepean",33,80,21,101,1,236,384
"Nepean--Carleton/Nepean--Carleton"," 30","Nepean",17,75,25,98,0,215,350
"Nepean--Carleton/Nepean--Carleton"," 31","Nepean",11,51,42,93,0,197,368
"Nepean--Carleton/Nepean--Carleton"," 32","Nepean",17,63,32,79,0,191,329
"Nepean--Carleton/Nepean--Carleton"," 33","Nepean",18,57,30,75,1,181,291
"Nepean--Carleton/Nepean--Carleton"," 34","Nepean",15,84,62,110,0,271,488
"Nepean--Carleton/Nepean--Carleton"," 35","Nepean",18,114,55,151,0,338,530
"Nepean--Carleton/Nepean--Carleton"," 36","Nepean",7,119,37,120,0,283,443
"Nepean--Carleton/Nepean--Carleton"," 37","Nepean",9,117,39,118,3,286,447
"Nepean--Carleton/Nepean--Carleton"," 38","Nepean",9,57,21,107,0,194,292
"Nepean--Carleton/Nepean--Carleton"," 39","Nepean",14,100,22,117,0,253,457
"Nepean--Carleton/Nepean--Carleton"," 40","Nepean",5,76,21,81,2,185,329
"Nepean--Carleton/Nepean--Carleton"," 41","Nepean",13,86,36,81,2,218,406
"Nepean--Carleton/Nepean--Carleton"," 42","Nepean",10,48,8,86,0,152,261
"Nepean--Carleton/Nepean--Carleton"," 43","Nepean",11,60,28,46,0,145,271
