Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Clements,Richard Alan Hennick,Eugene McDermott,Yasmin Ratansi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Don Valley East/Don Valley-Est"," 1","North York",7,42,77,126,0,252,418
"Don Valley East/Don Valley-Est"," 2A","North York",4,15,60,131,0,210,352
"Don Valley East/Don Valley-Est"," 2B","North York",5,13,37,88,0,143,283
"Don Valley East/Don Valley-Est"," 3","North York",7,33,70,124,0,234,388
"Don Valley East/Don Valley-Est"," 4","North York",18,29,60,122,2,231,410
"Don Valley East/Don Valley-Est"," 5","North York",9,27,80,170,0,286,457
"Don Valley East/Don Valley-Est"," 6","North York",10,41,58,155,3,267,474
"Don Valley East/Don Valley-Est"," 7","North York",13,32,69,136,3,253,387
"Don Valley East/Don Valley-Est"," 8A","North York",Merged with No. 43/Fusionné avec le nº 43,,,,,,196
"Don Valley East/Don Valley-Est"," 8B","North York",9,28,82,79,0,198,409
"Don Valley East/Don Valley-Est"," 9","North York",7,29,35,159,1,231,383
"Don Valley East/Don Valley-Est"," 10","North York",3,21,42,105,1,172,300
"Don Valley East/Don Valley-Est"," 11","North York",10,45,73,155,3,286,443
"Don Valley East/Don Valley-Est"," 12","North York",12,34,47,104,1,198,341
"Don Valley East/Don Valley-Est"," 13","North York",Void/Supprimé,,,,,,
"Don Valley East/Don Valley-Est"," 14","North York",5,22,80,163,2,272,473
"Don Valley East/Don Valley-Est"," 15","North York",14,21,97,193,0,325,494
"Don Valley East/Don Valley-Est"," 16","North York",7,22,56,169,4,258,460
"Don Valley East/Don Valley-Est"," 17","North York",4,27,43,123,0,197,364
"Don Valley East/Don Valley-Est"," 18","North York",3,22,59,126,1,211,373
"Don Valley East/Don Valley-Est"," 19","North York",9,34,53,134,3,233,389
"Don Valley East/Don Valley-Est"," 20","North York",5,30,70,120,1,226,368
"Don Valley East/Don Valley-Est"," 21","North York",3,24,35,157,5,224,395
"Don Valley East/Don Valley-Est"," 22","North York",7,31,45,135,2,220,421
"Don Valley East/Don Valley-Est"," 23","North York",7,20,75,129,2,233,424
