Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Gary Carr,Kyle Grice,Anwar Naqvi,Garth Turner,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Halton/Halton"," 1","Milton",69,21,20,128,0,238,340
"Halton/Halton"," 2","Milton",57,13,23,85,1,179,280
"Halton/Halton"," 3A","Milton",73,20,11,89,0,193,312
"Halton/Halton"," 3B","Milton",48,17,17,69,0,151,269
"Halton/Halton"," 4","Milton",79,24,23,122,0,248,366
"Halton/Halton"," 5","Milton",64,8,19,99,0,190,323
"Halton/Halton"," 6A","Milton",51,14,11,103,1,180,352
"Halton/Halton"," 6B","Milton",69,20,16,92,1,198,357
"Halton/Halton"," 7","Milton",86,20,27,106,1,240,432
"Halton/Halton"," 8","Milton",66,17,23,91,1,198,354
"Halton/Halton"," 9","Milton",115,22,20,148,0,305,454
"Halton/Halton"," 10","Milton",53,16,14,85,0,168,290
"Halton/Halton"," 11","Milton",80,14,12,101,0,207,393
"Halton/Halton"," 12","Milton",70,25,15,87,0,197,367
"Halton/Halton"," 13","Milton",51,13,20,57,0,141,267
"Halton/Halton"," 14","Milton",97,17,20,117,0,251,435
"Halton/Halton"," 15","Milton",107,24,23,115,2,271,437
"Halton/Halton"," 16","Milton",95,15,24,121,1,256,398
"Halton/Halton"," 17","Milton",70,15,24,71,1,181,342
"Halton/Halton"," 18","Milton",126,8,34,86,3,257,480
"Halton/Halton"," 19A","Milton",125,16,21,107,1,270,508
"Halton/Halton"," 19B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,71
"Halton/Halton"," 20","Milton",71,22,19,80,0,192,357
"Halton/Halton"," 21","Milton",79,25,20,94,0,218,362
"Halton/Halton"," 22","Milton",50,19,27,82,0,178,332
"Halton/Halton"," 23","Milton",68,28,30,71,0,197,337
"Halton/Halton"," 24","Milton",97,11,25,88,1,222,458
"Halton/Halton"," 25","Milton",84,21,19,95,0,219,392
"Halton/Halton"," 26","Milton",80,21,33,110,0,244,482
"Halton/Halton"," 27","Milton",125,26,35,155,2,343,511
"Halton/Halton"," 28","Milton",76,22,26,93,0,217,378
"Halton/Halton"," 29","Milton",76,23,28,89,0,216,370
"Halton/Halton"," 30","Milton",82,25,40,91,0,238,472
"Halton/Halton"," 31","Milton",87,12,21,102,0,222,378
"Halton/Halton"," 32","Milton",73,24,36,75,0,208,468
"Halton/Halton"," 33","Milton",140,17,21,113,2,293,339
"Halton/Halton"," 34","Milton",100,13,29,137,0,279,507
"Halton/Halton"," 35","Milton",68,4,15,78,0,165,372
"Halton/Halton"," 36","Milton",92,18,31,109,0,250,295
"Halton/Halton"," 37","Milton",75,16,24,116,0,231,366
"Halton/Halton"," 38","Milton",113,17,23,110,2,265,419
"Halton/Halton"," 39","Milton",Merged with No. 33/Fusionné avec le nº 33,,,,,,137
"Halton/Halton"," 40","Milton",Merged with No. 36/Fusionné avec le nº 36,,,,,,173
"Halton/Halton"," 41","Milton",113,19,26,99,3,260,423
"Halton/Halton"," 42","Milton",100,15,30,140,0,285,470
"Halton/Halton"," 43","Milton",85,14,42,63,1,205,357
"Halton/Halton"," 44","Milton",53,15,29,78,0,175,370
"Halton/Halton"," 45","Milton",71,17,30,103,0,221,400
"Halton/Halton"," 46","Milton",136,25,41,128,0,330,523
"Halton/Halton"," 47","Milton",101,12,42,117,1,273,421
"Halton/Halton"," 48","Milton",96,19,31,152,1,299,455
"Halton/Halton"," 49","Milton",103,19,24,127,0,273,406
"Halton/Halton"," 50","Milton",70,13,22,72,1,178,302
"Halton/Halton"," 51","Milton",116,20,26,135,4,301,382
"Halton/Halton"," 52","Milton",68,15,25,53,0,161,344
"Halton/Halton"," 53","Milton",124,13,29,108,1,275,433
"Halton/Halton"," 54","Milton",116,27,37,165,2,347,531
"Halton/Halton"," 55","Milton",117,22,33,115,0,287,466
"Halton/Halton"," 56","Milton",152,31,25,150,2,360,528
"Halton/Halton"," 57","Milton",118,33,28,133,1,313,471
"Halton/Halton"," 58A","Milton",93,8,17,97,0,215,344
"Halton/Halton"," 58B","Milton",69,14,10,90,0,183,343
"Halton/Halton"," 59","Milton",124,17,34,148,0,323,528
"Halton/Halton"," 60","Milton",162,29,50,134,0,375,652
"Halton/Halton"," 61","Milton",Merged with No. 62/Fusionné avec le nº 62,,,,,,190
"Halton/Halton"," 62","Milton",93,23,24,88,3,231,249
"Halton/Halton"," 63A","Milton",122,10,32,115,0,279,500
"Halton/Halton"," 63B","Milton",122,7,32,94,0,255,490
"Halton/Halton"," 63C","Milton",123,18,30,145,0,316,512
"Halton/Halton"," 64","Milton",79,14,32,65,0,190,304
"Halton/Halton"," 65","Milton",53,13,9,50,0,125,183
"Halton/Halton"," 66","Milton",61,3,16,52,0,132,209
"Halton/Halton"," 67","Milton",44,5,18,38,0,105,205
"Halton/Halton"," 68","Milton",132,25,23,150,1,331,534
"Halton/Halton"," 69","Milton",57,17,14,70,0,158,195
"Halton/Halton"," 70","Milton",62,15,6,74,0,157,240
"Halton/Halton"," 71","Milton",68,8,25,83,1,185,296
"Halton/Halton"," 72","Milton",95,14,21,102,1,233,177
"Halton/Halton"," 73","Milton",Merged with No. 72/Fusionné avec le nº 72,,,,,,174
"Halton/Halton"," 74","Milton",Merged with No. 69/Fusionné avec le nº 69,,,,,,113
"Halton/Halton"," 75","Milton",89,13,20,79,0,201,328
"Halton/Halton"," 76","Milton",80,8,16,71,0,175,290
"Halton/Halton"," 77","Milton",93,7,10,81,0,191,356
"Halton/Halton"," 78","Milton",Merged with No. 79/Fusionné avec le nº 79,,,,,,171
"Halton/Halton"," 79","Milton",92,17,18,89,0,216,221
"Halton/Halton"," 80","Milton",Merged with No. 81/Fusionné avec le nº 81,,,,,,179
"Halton/Halton"," 81","Milton",150,20,20,123,1,314,358
"Halton/Halton"," 82","Milton",Merged with No. 83/Fusionné avec le nº 83,,,,,,172
"Halton/Halton"," 83","Milton",109,4,25,83,0,221,197
"Halton/Halton"," 84","Milton",76,11,17,67,1,172,307
"Halton/Halton"," 85","Milton",57,10,9,78,0,154,293
"Halton/Halton"," 86A","Milton",126,16,29,127,1,299,492
