Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Carrier,Jean-Claude Gobé,Christian Lajoie,Martin Leduc,Rosane Raymond,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Alfred-Pellan/Alfred-Pellan"," 1","Laval",109,20,9,17,50,3,208,563
"Alfred-Pellan/Alfred-Pellan"," 2","Laval",82,11,10,12,29,0,144,259
"Alfred-Pellan/Alfred-Pellan"," 3","Laval",48,13,3,7,21,1,93,226
"Alfred-Pellan/Alfred-Pellan"," 4","Laval",77,36,5,8,37,2,165,308
"Alfred-Pellan/Alfred-Pellan"," 5","Laval",154,20,17,13,40,5,249,413
"Alfred-Pellan/Alfred-Pellan"," 6","Laval",103,21,7,5,16,6,158,246
"Alfred-Pellan/Alfred-Pellan"," 7","Laval",155,31,8,16,50,7,267,376
"Alfred-Pellan/Alfred-Pellan"," 8","Laval",155,39,8,16,55,2,275,390
"Alfred-Pellan/Alfred-Pellan"," 9","Laval",134,29,5,19,35,2,224,335
"Alfred-Pellan/Alfred-Pellan"," 10","Laval",175,46,11,20,66,8,326,479
"Alfred-Pellan/Alfred-Pellan"," 11","Laval",112,24,15,18,36,4,209,313
"Alfred-Pellan/Alfred-Pellan"," 12","Laval",103,22,9,5,31,3,173,330
"Alfred-Pellan/Alfred-Pellan"," 13","Laval",142,53,13,16,59,2,285,626
"Alfred-Pellan/Alfred-Pellan"," 14","Laval",100,25,20,18,27,2,192,350
"Alfred-Pellan/Alfred-Pellan"," 15","Laval",132,22,11,17,32,6,220,401
"Alfred-Pellan/Alfred-Pellan"," 16","Laval",81,24,10,13,27,6,161,268
"Alfred-Pellan/Alfred-Pellan"," 17","Laval",105,30,9,13,29,4,190,339
"Alfred-Pellan/Alfred-Pellan"," 18","Laval",64,71,5,10,38,6,194,263
"Alfred-Pellan/Alfred-Pellan"," 19","Laval",85,30,8,18,32,4,177,302
"Alfred-Pellan/Alfred-Pellan"," 20","Laval",144,77,10,20,81,5,337,519
"Alfred-Pellan/Alfred-Pellan"," 21","Laval",109,38,7,18,32,1,205,337
"Alfred-Pellan/Alfred-Pellan"," 22","Laval",126,20,6,18,29,0,199,300
"Alfred-Pellan/Alfred-Pellan"," 23","Laval",130,34,16,18,41,5,244,438
"Alfred-Pellan/Alfred-Pellan"," 24","Laval",101,49,12,35,29,8,234,405
"Alfred-Pellan/Alfred-Pellan"," 25","Laval",116,65,12,26,43,3,265,337
"Alfred-Pellan/Alfred-Pellan"," 26","Laval",100,51,10,19,47,4,231,405
"Alfred-Pellan/Alfred-Pellan"," 27","Laval",46,24,5,12,18,0,105,274
"Alfred-Pellan/Alfred-Pellan"," 28","Laval",145,18,12,24,62,2,263,435
"Alfred-Pellan/Alfred-Pellan"," 29","Laval",120,25,13,11,38,9,216,399
"Alfred-Pellan/Alfred-Pellan"," 30","Laval",177,48,10,24,57,8,324,519
"Alfred-Pellan/Alfred-Pellan"," 31","Laval",150,76,8,13,53,10,310,519
"Alfred-Pellan/Alfred-Pellan"," 32","Laval",111,31,4,10,38,3,197,296
"Alfred-Pellan/Alfred-Pellan"," 33","Laval",80,42,9,16,27,3,177,331
"Alfred-Pellan/Alfred-Pellan"," 34","Laval",101,72,5,21,45,1,245,486
"Alfred-Pellan/Alfred-Pellan"," 35","Laval",148,74,10,26,32,6,296,564
"Alfred-Pellan/Alfred-Pellan"," 36","Laval",115,67,6,19,27,1,235,428
"Alfred-Pellan/Alfred-Pellan"," 37","Laval",95,66,4,11,38,5,219,437
"Alfred-Pellan/Alfred-Pellan"," 38","Laval",136,60,8,22,37,2,265,532
"Alfred-Pellan/Alfred-Pellan"," 39","Laval",131,67,7,14,44,7,270,503
"Alfred-Pellan/Alfred-Pellan"," 40A","Laval",99,72,5,22,38,3,239,425
"Alfred-Pellan/Alfred-Pellan"," 40B","Laval",97,67,7,24,36,3,234,431
"Alfred-Pellan/Alfred-Pellan"," 41","Laval",134,68,14,20,57,7,300,524
"Alfred-Pellan/Alfred-Pellan"," 42","Laval",148,100,11,33,61,11,364,659
"Alfred-Pellan/Alfred-Pellan"," 43","Laval",89,45,7,10,38,1,190,321
"Alfred-Pellan/Alfred-Pellan"," 44","Laval",134,49,7,19,40,6,255,441
"Alfred-Pellan/Alfred-Pellan"," 45","Laval",93,33,9,13,26,0,174,308
"Alfred-Pellan/Alfred-Pellan"," 46","Laval",135,29,5,18,31,20,238,490
"Alfred-Pellan/Alfred-Pellan"," 47","Laval",84,26,2,13,28,0,153,323
"Alfred-Pellan/Alfred-Pellan"," 48","Laval",86,41,6,8,20,1,162,321
"Alfred-Pellan/Alfred-Pellan"," 49","Laval",112,65,11,15,44,6,253,523
"Alfred-Pellan/Alfred-Pellan"," 50","Laval",122,51,7,19,30,6,235,396
"Alfred-Pellan/Alfred-Pellan"," 51","Laval",134,60,5,18,39,6,262,464
"Alfred-Pellan/Alfred-Pellan"," 52","Laval",123,74,7,15,31,9,259,430
"Alfred-Pellan/Alfred-Pellan"," 53","Laval",117,36,10,17,45,4,229,385
"Alfred-Pellan/Alfred-Pellan"," 54","Laval",153,47,8,19,37,3,267,429
"Alfred-Pellan/Alfred-Pellan"," 55","Laval",99,52,5,12,37,6,211,405
"Alfred-Pellan/Alfred-Pellan"," 56","Laval",124,53,7,10,42,7,243,344
"Alfred-Pellan/Alfred-Pellan"," 57","Laval",160,64,5,25,49,8,311,445
"Alfred-Pellan/Alfred-Pellan"," 58","Laval",143,76,14,16,51,5,305,464
"Alfred-Pellan/Alfred-Pellan"," 59A","Laval",62,105,8,20,45,3,243,410
"Alfred-Pellan/Alfred-Pellan"," 59B","Laval",59,109,8,12,56,2,246,410
"Alfred-Pellan/Alfred-Pellan"," 60A","Laval",46,129,2,11,45,2,235,370
"Alfred-Pellan/Alfred-Pellan"," 60B","Laval",44,112,2,8,67,1,234,367
"Alfred-Pellan/Alfred-Pellan"," 61","Laval",49,108,6,10,46,0,219,369
"Alfred-Pellan/Alfred-Pellan"," 62","Laval",72,112,6,20,68,2,280,479
"Alfred-Pellan/Alfred-Pellan"," 63","Laval",72,98,6,21,60,2,259,423
"Alfred-Pellan/Alfred-Pellan"," 64A","Laval",108,29,5,13,37,2,194,320
"Alfred-Pellan/Alfred-Pellan"," 64B","Laval",124,55,6,17,54,2,258,425
"Alfred-Pellan/Alfred-Pellan"," 65","Laval",161,51,15,16,61,1,305,428
"Alfred-Pellan/Alfred-Pellan"," 66","Laval",114,41,8,26,55,10,254,395
"Alfred-Pellan/Alfred-Pellan"," 67","Laval",151,74,7,29,66,3,330,455
"Alfred-Pellan/Alfred-Pellan"," 68","Laval",63,57,6,20,52,4,202,346
"Alfred-Pellan/Alfred-Pellan"," 69","Laval",131,44,5,14,45,2,241,435
"Alfred-Pellan/Alfred-Pellan"," 70","Laval",146,58,11,20,56,5,296,400
"Alfred-Pellan/Alfred-Pellan"," 71","Laval",104,75,5,26,59,5,274,436
"Alfred-Pellan/Alfred-Pellan"," 72","Laval",98,86,7,25,35,1,252,470
"Alfred-Pellan/Alfred-Pellan"," 73","Laval",90,66,15,23,48,3,245,390
"Alfred-Pellan/Alfred-Pellan"," 74","Laval",72,62,9,18,57,4,222,374
"Alfred-Pellan/Alfred-Pellan"," 75","Laval",106,66,4,17,41,12,246,369
"Alfred-Pellan/Alfred-Pellan"," 76","Laval",99,38,6,19,43,4,209,316
"Alfred-Pellan/Alfred-Pellan"," 77","Laval",110,52,8,20,41,4,235,443
"Alfred-Pellan/Alfred-Pellan"," 78","Laval",162,126,14,23,96,7,428,677
"Alfred-Pellan/Alfred-Pellan"," 79","Laval",133,67,11,14,45,7,277,532
"Alfred-Pellan/Alfred-Pellan"," 80","Laval",121,53,12,20,37,1,244,483
"Alfred-Pellan/Alfred-Pellan"," 81","Laval",87,40,7,11,24,1,170,270
"Alfred-Pellan/Alfred-Pellan"," 82","Laval",96,81,11,14,54,6,262,465
"Alfred-Pellan/Alfred-Pellan"," 83A","Laval",17,177,7,7,53,2,263,450
"Alfred-Pellan/Alfred-Pellan"," 83B","Laval",36,168,7,7,54,0,272,501
"Alfred-Pellan/Alfred-Pellan"," 83C","Laval",19,173,6,8,50,0,256,445
"Alfred-Pellan/Alfred-Pellan"," 84","Laval",25,150,3,7,66,1,252,393
"Alfred-Pellan/Alfred-Pellan"," 85","Laval",24,177,5,12,38,2,258,471
"Alfred-Pellan/Alfred-Pellan"," 86","Laval",86,48,7,13,33,0,187,476
"Alfred-Pellan/Alfred-Pellan"," 87","Laval",125,46,4,17,38,1,231,432
"Alfred-Pellan/Alfred-Pellan"," 88","Laval",135,41,26,25,45,2,274,413
"Alfred-Pellan/Alfred-Pellan"," 89","Laval",132,60,12,34,48,4,290,392
"Alfred-Pellan/Alfred-Pellan"," 90","Laval",98,38,9,10,32,2,189,340
"Alfred-Pellan/Alfred-Pellan"," 91","Laval",131,66,6,39,47,4,293,438
"Alfred-Pellan/Alfred-Pellan"," 92","Laval",99,27,3,15,25,4,173,406
"Alfred-Pellan/Alfred-Pellan"," 93","Laval",113,47,9,16,42,5,232,368
"Alfred-Pellan/Alfred-Pellan"," 94","Laval",122,93,17,27,73,6,338,498
"Alfred-Pellan/Alfred-Pellan"," 95","Laval",81,47,15,19,45,2,209,322
"Alfred-Pellan/Alfred-Pellan"," 96","Laval",114,81,10,19,50,4,278,470
"Alfred-Pellan/Alfred-Pellan"," 97","Laval",94,36,10,18,33,0,191,342
"Alfred-Pellan/Alfred-Pellan"," 98","Laval",38,70,10,17,40,0,175,262
"Alfred-Pellan/Alfred-Pellan"," 99","Laval",75,95,8,17,75,1,271,407
"Alfred-Pellan/Alfred-Pellan"," 100","Laval",43,100,6,28,58,4,239,350
"Alfred-Pellan/Alfred-Pellan"," 101","Laval",93,70,8,13,62,1,247,408
"Alfred-Pellan/Alfred-Pellan"," 102","Laval",67,95,10,15,52,4,243,349
"Alfred-Pellan/Alfred-Pellan"," 103","Laval",72,37,12,8,38,0,167,284
"Alfred-Pellan/Alfred-Pellan"," 104","Laval",78,73,7,12,41,2,213,360
"Alfred-Pellan/Alfred-Pellan"," 105","Laval",77,78,7,20,51,1,234,348
"Alfred-Pellan/Alfred-Pellan"," 106","Laval",82,103,9,16,67,3,280,444
"Alfred-Pellan/Alfred-Pellan"," 107","Laval",70,78,5,22,41,3,219,352
"Alfred-Pellan/Alfred-Pellan"," 108","Laval",91,79,11,25,51,5,262,377
"Alfred-Pellan/Alfred-Pellan"," 109","Laval",80,44,3,14,16,2,159,393
"Alfred-Pellan/Alfred-Pellan"," 110","Laval",122,108,9,19,50,3,311,481
"Alfred-Pellan/Alfred-Pellan"," 111","Laval",71,79,9,13,40,0,212,371
"Alfred-Pellan/Alfred-Pellan"," 112","Laval",139,45,15,20,43,11,273,495
"Alfred-Pellan/Alfred-Pellan"," 113","Laval",102,51,9,20,56,6,244,451
"Alfred-Pellan/Alfred-Pellan"," 114","Laval",93,100,6,25,62,4,290,485
"Alfred-Pellan/Alfred-Pellan"," 115","Laval",138,70,6,17,50,3,284,461
"Alfred-Pellan/Alfred-Pellan"," 116","Laval",118,56,7,22,36,4,243,412
