Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Luc Fortin,Roger Gaudet,Wendy Gorchinsky,Nancy Leclerc,Michel Paulette,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Montcalm/Montcalm"," 1","Saint-Calixte",13,128,6,7,18,0,172,375
"Montcalm/Montcalm"," 2","Saint-Calixte",6,117,5,8,24,1,161,383
"Montcalm/Montcalm"," 3","Saint-Calixte",25,120,6,14,39,0,204,484
"Montcalm/Montcalm"," 4","Saint-Calixte",21,134,10,9,30,6,210,446
"Montcalm/Montcalm"," 5","Sainte-Julienne",22,148,10,12,32,1,225,476
"Montcalm/Montcalm"," 6","Sainte-Julienne",24,179,12,27,68,0,310,603
"Montcalm/Montcalm"," 7","Sainte-Julienne",9,133,13,17,36,2,210,414
"Montcalm/Montcalm"," 8","Sainte-Julienne",17,105,13,9,18,4,166,367
"Montcalm/Montcalm"," 9","Sainte-Julienne",20,151,7,11,37,5,231,537
"Montcalm/Montcalm"," 10","Sainte-Julienne",14,167,10,28,43,5,267,628
"Montcalm/Montcalm"," 11","Sainte-Julienne",8,196,7,20,41,6,278,566
"Montcalm/Montcalm"," 12","Sainte-Julienne",11,153,5,11,49,3,232,485
"Montcalm/Montcalm"," 13","Sainte-Julienne",23,64,4,8,27,5,131,326
"Montcalm/Montcalm"," 14","Sainte-Julienne",8,122,2,16,32,3,183,516
"Montcalm/Montcalm"," 15","Sainte-Julienne",13,144,11,13,35,5,221,452
"Montcalm/Montcalm"," 16","Sainte-Julienne",21,131,3,10,36,5,206,421
"Montcalm/Montcalm"," 17","Saint-Calixte",10,165,5,13,37,4,234,534
"Montcalm/Montcalm"," 18","Saint-Calixte",13,126,5,11,25,0,180,438
"Montcalm/Montcalm"," 19","Saint-Calixte",6,130,12,8,22,2,180,434
"Montcalm/Montcalm"," 20","Saint-Calixte",17,100,7,4,36,8,172,378
"Montcalm/Montcalm"," 21","Saint-Calixte",16,116,8,15,29,3,187,394
"Montcalm/Montcalm"," 22","Saint-Calixte",18,168,14,19,38,7,264,601
"Montcalm/Montcalm"," 23","Sainte-Julienne",Void/Supprimé,,,,,,,
"Montcalm/Montcalm"," 24","Sainte-Julienne",24,131,5,10,49,0,219,505
"Montcalm/Montcalm"," 25","Saint-Liguori",23,198,13,29,54,5,322,497
"Montcalm/Montcalm"," 26","Saint-Liguori",10,155,9,27,49,4,254,398
"Montcalm/Montcalm"," 27","Saint-Liguori",28,243,12,21,71,9,384,540
"Montcalm/Montcalm"," 28","Saint-Jacques",20,127,11,17,42,2,219,339
"Montcalm/Montcalm"," 29","Sainte-Marie-Salomé",4,93,14,10,28,3,152,233
