Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Phil Brienesse,Nathan Cullen,Mike Scott,Gordon Stamp-Vincent,Rod Taylor,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 1","Pleasant Camp",Merged with No. 2/Fusionné avec le nº 2,,,,,,,9
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 2","Atlin",10,61,88,49,4,0,212,339
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3","Good Hope Lake",1,6,4,8,4,0,23,49
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 3-1","Liard River 3",0,12,5,24,1,1,43,68
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 4","Dease Lake",6,52,35,57,6,2,158,305
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 5","Telegraph Creek",2,96,13,10,2,0,123,196
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 6","Iskut",4,59,17,23,3,0,106,234
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 7","Stewart",6,18,45,22,0,0,91,198
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 8","Stewart",2,18,45,28,1,0,94,184
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 9","Meziadin Junction",0,2,0,2,0,0,4,13
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 10","Babine 16",0,14,5,3,1,0,23,37
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 11","Takla Landing",2,38,8,1,0,0,49,111
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 12","Germansen Landing",2,2,13,2,0,0,19,35
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 13","Gingolx",5,90,11,12,5,0,123,220
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 14","Greenville",3,132,20,7,1,0,163,337
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 15","Gitwinshlkw",1,84,3,7,1,0,96,137
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 16","Aiyansh",2,206,18,12,4,1,243,538
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 17","Nass Camp",3,13,6,1,0,0,23,44
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 18","Gitanyow 1",1,74,15,9,5,1,105,184
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 19","Kitwanga",3,38,61,11,0,0,113,147
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 20","Kispiox Valley",0,76,25,8,0,0,109,167
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 21","Kispiox 1",1,159,9,7,0,0,176,285
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 22","Glen Vowell",4,63,6,6,0,1,80,93
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 23","Hazelton",3,151,13,8,4,0,179,290
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24A","Hazelton",1,114,17,9,4,0,145,270
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 24B","Hazelton",2,76,6,4,2,0,90,178
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 25","New Hazelton",4,97,42,23,5,0,171,456
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 26","New Hazelton",0,65,46,18,7,0,136,213
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27A","Gitwangak 1",0,79,7,7,6,0,99,209
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 27B","Gitwangak 1",2,91,4,8,1,0,106,206
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 28","Gitsegukla 1",5,130,7,14,2,0,158,243
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 29","South Hazelton",11,94,82,25,10,1,223,498
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 30","Moricetown 1",1,152,20,7,24,1,205,288
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 31","Kitwanga",0,6,11,0,0,0,17,27
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 32","Masset 1",0,136,10,4,0,0,150,494
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 33","Masset",9,123,51,39,1,0,223,426
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 34","Delkatla",6,82,23,25,1,1,138,223
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 35","Port Clements",11,121,77,23,0,0,232,320
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 36","Sewell Inlet",Merged with No. 35/Fusionné avec le nº 35,,,,,,,3
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 37","Skidegate 1",2,202,21,34,1,0,260,399
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38A","Queen Charlotte City",8,113,16,21,4,0,162,322
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 38B","Queen Charlotte City",8,112,21,22,2,0,165,340
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 39","Queen Charlotte City",5,62,8,9,1,0,85,118
"Skeena--Bulkley Valley/Skeena--Bulkley Valley"," 40","Sandspit",12,68,63,17,1,2,163,290
