Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lynn Bowering,Adam King,Phil McColeman,Lloyd St. Amand,John C. Turmel,John H. Wubs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brant/Brant"," 1","Brant-on-the-Grand",25,8,94,45,1,7,0,180,283
"Brant/Brant"," 2","Brant-on-the-Grand",28,9,92,53,2,4,4,192,315
"Brant/Brant"," 3","Brant-on-the-Grand",38,10,109,57,3,4,0,221,376
"Brant/Brant"," 4","Brant-on-the-Grand",34,9,78,55,0,12,0,188,357
"Brant/Brant"," 5","Brant-on-the-Grand",69,10,135,94,1,5,2,316,505
"Brant/Brant"," 6","Brant-on-the-Grand",21,14,70,55,3,2,1,166,277
"Brant/Brant"," 7","Brant-on-the-Grand",53,11,101,73,1,0,1,240,390
"Brant/Brant"," 8","Brant-on-the-Grand",62,13,124,95,0,3,1,298,543
"Brant/Brant"," 9","Brant-on-the-Grand",41,14,58,46,0,3,0,162,265
"Brant/Brant"," 10","Brant-on-the-Grand",38,9,87,73,0,2,0,209,384
"Brant/Brant"," 11","Brant-on-the-Grand",33,9,108,74,0,0,3,227,374
"Brant/Brant"," 12","Brant-on-the-Grand",29,11,83,53,2,0,0,178,321
"Brant/Brant"," 13","Brant-on-the-Grand",24,9,85,77,0,0,0,195,254
"Brant/Brant"," 14","Brant-on-the-Grand",40,14,117,87,1,0,0,259,372
"Brant/Brant"," 15","Brant-on-the-Grand",32,19,113,104,3,3,0,274,389
"Brant/Brant"," 16","Brant-on-the-Grand",32,2,150,66,0,0,0,250,356
"Brant/Brant"," 17","Brant-on-the-Grand",46,9,179,90,1,5,0,330,518
"Brant/Brant"," 18","Brant-on-the-Grand",48,11,115,95,1,3,1,274,429
"Brant/Brant"," 19","Brant-on-the-Grand",70,22,175,153,1,5,4,430,679
"Brant/Brant"," 20","Brant-on-the-Grand",29,10,102,90,1,3,2,237,385
"Brant/Brant"," 21","Brant-on-the-Grand",48,9,87,78,0,7,1,230,338
"Brant/Brant"," 22","Brant-on-the-Grand",48,12,98,98,3,5,1,265,447
"Brant/Brant"," 23","Brant-on-the-Grand",39,19,173,134,3,2,3,373,632
"Brant/Brant"," 24","Brant-on-the-Grand",60,17,138,98,1,3,0,317,524
"Brant/Brant"," 25","Brant-on-the-Grand",64,16,115,91,2,2,0,290,461
"Brant/Brant"," 26A","Brant-on-the-Grand",75,18,125,120,1,5,0,344,577
"Brant/Brant"," 26B","Brant-on-the-Grand",27,6,50,74,2,1,1,161,222
"Brant/Brant"," 26C","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,,122
"Brant/Brant"," 27","Brant-on-the-Grand",23,2,54,57,0,2,0,138,196
