Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carol Hughes,Sarah Hutchinson,Will Morin,Donald Milton Polmateer,Brent St. Denis,Ian West,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 1","Manitouwadge--Hillsport",5,0,0,0,14,8,0,27,53
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 2","Manitouwadge",130,4,2,2,73,65,0,276,510
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 3","Manitouwadge",27,0,2,2,24,13,0,68,154
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 4","Manitouwadge",93,3,3,1,58,65,0,223,375
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 5","Manitouwadge",50,4,0,0,26,35,1,116,218
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 6","Manitouwadge",39,5,0,0,19,17,0,80,166
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 7","Manitouwadge",46,2,0,0,26,19,0,93,180
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 8","Manitouwadge",42,5,0,0,32,18,0,97,219
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 9","Manitouwadge",Void/Supprimé,,,,,,,,
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 10","Pic Mobert",16,3,7,0,61,1,0,88,130
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 11","Hornepayne",15,1,1,0,20,19,0,56,145
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 12","Hornepayne",62,5,0,2,36,32,0,137,282
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 13","Hornepayne",37,6,1,0,35,19,0,98,212
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 14","Hornepayne",34,7,2,2,43,36,0,124,256
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 15","White River",50,3,0,0,26,15,0,94,327
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 16","White River",85,1,0,3,44,16,0,149,209
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 17","White River",37,1,0,0,17,22,0,77,129
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 18","Oba",3,0,0,0,1,2,0,6,12
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 19","Calstock",45,2,0,1,43,16,1,108,194
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 19-1","Constance Lake 92",41,6,9,2,70,11,1,140,398
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 20","Hearst",100,4,1,3,102,49,5,264,430
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 21","Hearst",70,4,1,0,75,23,1,174,317
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 22","Hearst",52,2,3,0,85,29,0,171,377
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 23","Hearst",71,4,1,2,110,33,1,222,381
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 24","Hearst",74,8,1,0,115,28,3,229,373
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 25","Hearst",65,3,0,0,107,23,5,203,338
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 26","Hearst",68,6,1,0,90,29,0,194,385
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 27","Hearst",91,3,1,0,108,40,3,246,446
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 28","Hearst",72,2,0,0,77,22,1,174,326
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 29A","Hearst",62,2,0,0,72,27,1,164,308
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 29B","Hearst",88,4,0,1,56,29,2,180,303
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 30","Lac-Ste-Thérèse",76,3,0,0,76,20,2,177,339
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 31","Mattice",72,2,0,0,39,16,1,130,216
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 32","Jogues",80,3,1,3,89,21,1,198,340
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 32-1","Hearst",62,2,0,0,71,22,1,158,261
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 33","Mattice",109,7,0,2,77,34,1,230,363
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 34","Opasatika",79,3,1,0,59,14,1,157,235
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 35","Harty",31,0,2,2,19,14,1,69,147
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 36","Val Rita",93,4,3,0,73,41,0,214,338
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 37","Kapuskasing",56,0,0,0,23,21,1,101,248
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 38","Kapuskasing",55,2,1,0,62,40,0,160,263
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 39","Kapuskasing",73,2,1,1,58,37,1,173,283
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 40","Kapuskasing",83,3,0,0,94,29,2,211,349
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 41","Kapuskasing",69,3,0,0,67,40,1,180,270
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 42","Kapuskasing",44,9,0,1,62,31,0,147,286
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 43","Kapuskasing",76,3,0,2,63,36,0,180,320
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 44","Kapuskasing",62,1,1,2,66,37,0,169,277
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 45","Kapuskasing",76,3,1,0,76,30,5,191,296
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 46","Kapuskasing",72,2,1,3,74,34,2,188,350
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 47","Kapuskasing",38,1,0,3,38,11,0,91,227
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 48","Kapuskasing",56,0,2,1,74,21,1,155,308
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 49","Kapuskasing",43,1,1,0,44,26,0,115,225
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 50","Kapuskasing",62,3,0,0,85,27,1,178,290
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 51","Kapuskasing",107,3,1,0,82,33,0,226,388
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 52","Kapuskasing",75,1,0,0,67,35,0,178,337
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 53","Kapuskasing",79,5,0,0,81,26,3,194,341
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 54","Kapuskasing",65,1,0,1,75,24,0,166,313
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 55","Kapuskasing",75,4,0,0,85,22,2,188,343
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 56","Kitigan--Kapuskasing",95,4,0,0,83,31,0,213,354
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 57","Kapuskasing",129,3,2,1,97,55,2,289,498
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 58","Kapuskasing",60,2,0,0,68,25,2,157,327
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 59","Moonbeam",103,9,1,3,103,54,1,274,450
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 60","Moonbeam",109,3,1,4,129,50,3,299,454
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 61","Val Rita",50,1,0,1,30,18,2,102,172
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 62","Smooth Rock Falls",43,1,0,0,73,26,2,145,285
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 63","Smooth Rock Falls",59,2,0,3,76,37,3,180,367
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 64","Smooth Rock Falls",52,1,0,0,59,36,4,152,291
"Algoma--Manitoulin--Kapuskasing/Algoma--Manitoulin--Kapuskasing"," 65","Fauquier",127,5,3,4,89,45,3,276,392
