Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Joe Goudie,Jacob Edward Larkin,Todd Norman Russell,Gail Zwicker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Labrador/Labrador"," 40","Happy Valley-Goose Bay",121,5,120,1,0,247,436
"Labrador/Labrador"," 41","Happy Valley-Goose Bay",91,9,101,2,1,204,377
"Labrador/Labrador"," 42","Happy Valley-Goose Bay",104,15,99,2,0,220,329
"Labrador/Labrador"," 43","Happy Valley-Goose Bay",62,10,74,0,1,147,254
"Labrador/Labrador"," 44","Happy Valley-Goose Bay",59,12,76,1,0,148,470
"Labrador/Labrador"," 45","Happy Valley-Goose Bay",94,3,97,0,1,195,346
"Labrador/Labrador"," 46","Happy Valley-Goose Bay",128,10,96,0,4,238,412
"Labrador/Labrador"," 47","Happy Valley-Goose Bay",112,9,97,0,2,220,349
"Labrador/Labrador"," 48","Happy Valley-Goose Bay",65,7,73,0,1,146,279
"Labrador/Labrador"," 49","Cartwright",30,11,216,1,1,259,479
"Labrador/Labrador"," 50","Paradise River",Void/Supprimé,,,,,,
"Labrador/Labrador"," 51","Black Tickle",5,1,75,1,0,82,154
"Labrador/Labrador"," 52","Norman's Bay",0,1,11,0,0,12,30
"Labrador/Labrador"," 53","Charlottetown",32,5,131,1,0,169,259
"Labrador/Labrador"," 54","Pinsent Arm",0,2,40,0,0,42,46
"Labrador/Labrador"," 55","Williams Harbour",Merged with No. 56/Fusionné avec le nº 56,,,,,,39
"Labrador/Labrador"," 56","St. Lewis",6,3,153,1,1,164,204
"Labrador/Labrador"," 57","Port Hope Simpson",35,9,212,1,1,258,394
"Labrador/Labrador"," 58","Mary's Harbour",25,11,178,0,0,214,349
"Labrador/Labrador"," 59","Lodge Bay",9,3,26,1,0,39,63
"Labrador/Labrador"," 60","Red Bay",49,9,62,0,0,120,194
"Labrador/Labrador"," 61","Pinware",9,7,39,0,0,55,88
"Labrador/Labrador"," 62","West St. Modeste",30,2,61,0,0,93,172
"Labrador/Labrador"," 63","L'Anse-au-Loup",100,11,142,0,0,253,463
"Labrador/Labrador"," 64","Forteau",56,17,125,0,2,200,390
"Labrador/Labrador"," 65","L'Anse-au-Clair",26,2,86,0,0,114,177
"Labrador/Labrador"," 500","Mobile poll/Bureau itinérant",16,4,26,2,2,50,79
"Labrador/Labrador"," 501","Mobile poll/Bureau itinérant",Void/Supprimé,,,,,,
"Labrador/Labrador"," 600","Nain",8,5,17,0,0,30,
"Labrador/Labrador"," 601","Natuashish",3,0,8,1,0,12,
"Labrador/Labrador"," 602","Hopedale",1,5,25,0,0,31,
"Labrador/Labrador"," 603","Postville",Combined with No. 602/Jumelé avec le nº 602,,,,,,
"Labrador/Labrador"," 604","Makkovik",1,0,12,0,0,13,
"Labrador/Labrador"," 605","Rigolet",1,0,6,0,0,7,
"Labrador/Labrador"," 606","Labrador City",45,8,41,0,0,94,
"Labrador/Labrador"," 607","Churchill Falls",4,1,7,0,0,12,
"Labrador/Labrador"," 608","Happy Valley-Goose Bay",77,4,71,0,0,152,
"Labrador/Labrador"," 609","Cartwright",0,1,14,0,0,15,
"Labrador/Labrador"," 610","Black Tickle",4,0,46,0,0,50,
"Labrador/Labrador"," 611","Norman Bay",Combined with No. 610/Jumelé avec le nº 610,,,,,,
"Labrador/Labrador"," 612","Charlottetown",1,0,16,0,0,17,
"Labrador/Labrador"," 613","Williams Harbour",Combined with No. 616/Jumelé avec le nº 616,,,,,,
"Labrador/Labrador"," 614","Mary's Harbour",Combined with No. 616/Jumelé avec le nº 616,,,,,,
"Labrador/Labrador"," 615","Port Hope Simpson",Combined with No. 616/Jumelé avec le nº 616,,,,,,
"Labrador/Labrador"," 616","L'Anse-au-Loup",4,0,46,0,0,50,
"Labrador/Labrador",,Group 1/Groupe 1,40,8,48,6,4,106,251
"Labrador/Labrador",,Group 2/Groupe 2,78,15,98,0,4,195,
