Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brett Dolter,Allyce Herle,Lorne Nystrom,Andrew Scheer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 110","Regina",7,33,72,23,0,135,325
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 111","Regina",4,45,51,37,0,137,300
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 112","Regina",5,29,65,44,1,144,357
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 113","Regina",7,51,71,45,0,174,386
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 114","Regina",6,48,94,51,2,201,391
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 115","Regina",6,33,64,26,1,130,341
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 116","Regina",12,28,67,37,0,144,328
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 117","Regina",6,50,43,41,0,140,318
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 118","Regina",6,39,63,32,1,141,339
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 119","Regina",8,41,75,30,1,155,359
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 120","Regina",11,49,56,27,2,145,369
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 121","Regina",3,38,42,13,0,96,253
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 122","Regina",8,49,83,51,0,191,372
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 123","Regina",11,42,64,34,1,152,329
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 124","Regina",3,55,49,21,1,129,292
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 125","Regina",6,38,62,26,0,132,274
"Regina--Qu'Appelle/Regina--Qu'Appelle"," 126","Regina",5,37,55,22,0,119,366
