Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,John Baloun,Surjit Kooner,Nikolas Langlands,David Matta,Kevin Pielak,Penny Priddy,Nina Rivet,Roy Whyte,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Surrey North/Surrey-Nord"," 1","Surrey",1,24,0,32,4,75,2,5,0,143,327
"Surrey North/Surrey-Nord"," 2","Surrey",5,27,1,25,1,75,3,10,0,147,317
"Surrey North/Surrey-Nord"," 3","Surrey",5,17,0,44,1,73,2,6,1,149,318
"Surrey North/Surrey-Nord"," 4","Surrey",0,34,0,32,0,64,2,6,1,139,319
"Surrey North/Surrey-Nord"," 5","Surrey",1,43,0,70,3,68,2,5,2,194,412
"Surrey North/Surrey-Nord"," 6","Surrey",1,43,2,46,0,81,5,12,1,191,404
"Surrey North/Surrey-Nord"," 7","Surrey",0,25,0,37,2,59,2,1,0,126,307
"Surrey North/Surrey-Nord"," 8","Surrey",4,25,0,32,0,63,1,3,0,128,255
"Surrey North/Surrey-Nord"," 9","Surrey",3,36,1,46,2,157,2,11,1,259,451
"Surrey North/Surrey-Nord"," 10","Surrey",5,44,1,31,0,78,3,9,2,173,330
"Surrey North/Surrey-Nord"," 11","Surrey",3,50,3,56,3,110,1,8,0,234,442
"Surrey North/Surrey-Nord"," 12","Surrey",9,52,0,52,3,109,3,5,0,233,416
"Surrey North/Surrey-Nord"," 13","Surrey",4,40,0,48,2,103,2,5,0,204,398
"Surrey North/Surrey-Nord"," 14","Surrey",4,28,0,35,5,100,0,14,1,187,367
"Surrey North/Surrey-Nord"," 15","Surrey",0,50,1,95,0,72,3,10,0,231,547
"Surrey North/Surrey-Nord"," 16","Surrey",3,55,3,57,2,101,2,12,0,235,507
"Surrey North/Surrey-Nord"," 17A","Surrey",2,18,2,39,1,62,3,12,1,140,316
"Surrey North/Surrey-Nord"," 17B","Surrey",2,18,2,40,0,46,2,5,1,116,307
"Surrey North/Surrey-Nord"," 18A","Surrey",1,19,2,16,0,34,2,7,0,81,237
"Surrey North/Surrey-Nord"," 18B","Mobile poll/Bureau itinérant",2,21,3,44,6,56,3,4,0,139,113
"Surrey North/Surrey-Nord"," 19","Surrey",3,34,0,91,4,75,1,9,1,218,332
"Surrey North/Surrey-Nord"," 20","Surrey",0,18,2,38,1,88,2,5,2,156,242
"Surrey North/Surrey-Nord"," 21","Surrey",1,32,2,31,2,66,2,0,0,136,262
"Surrey North/Surrey-Nord"," 22","Surrey",0,34,0,68,4,83,8,9,0,206,358
"Surrey North/Surrey-Nord"," 23","Surrey",0,33,1,63,5,107,1,6,2,218,370
"Surrey North/Surrey-Nord"," 24","Surrey",5,44,0,89,1,133,2,13,2,289,515
"Surrey North/Surrey-Nord"," 25","Surrey",3,52,1,114,0,104,3,6,0,283,578
"Surrey North/Surrey-Nord"," 26","Surrey",4,34,1,61,3,72,3,7,0,185,306
"Surrey North/Surrey-Nord"," 27","Surrey",3,41,2,69,3,108,10,13,0,249,391
"Surrey North/Surrey-Nord"," 28","Surrey",3,29,2,62,2,83,10,3,0,194,319
"Surrey North/Surrey-Nord"," 29","Surrey",3,36,0,99,2,90,2,2,0,234,400
"Surrey North/Surrey-Nord"," 30","Surrey",3,27,2,55,1,68,3,4,0,163,294
"Surrey North/Surrey-Nord"," 31","Surrey",3,24,0,30,2,59,4,10,1,133,325
"Surrey North/Surrey-Nord"," 32","Surrey",3,32,1,73,1,99,9,10,1,229,420
"Surrey North/Surrey-Nord"," 33","Surrey",0,30,2,39,3,65,5,5,1,150,336
"Surrey North/Surrey-Nord"," 34","Surrey",1,40,2,49,0,63,0,8,1,164,330
"Surrey North/Surrey-Nord"," 35","Surrey",4,47,0,64,8,87,5,4,0,219,385
"Surrey North/Surrey-Nord"," 36","Surrey",3,48,0,89,1,85,3,7,0,236,387
"Surrey North/Surrey-Nord"," 37","Surrey",2,38,2,46,2,115,1,11,0,217,388
"Surrey North/Surrey-Nord"," 38","Surrey",5,43,1,77,6,129,11,4,2,278,451
"Surrey North/Surrey-Nord"," 39","Surrey",2,29,1,74,1,85,1,4,0,197,297
"Surrey North/Surrey-Nord"," 40","Surrey",3,39,2,75,4,90,4,9,2,228,354
"Surrey North/Surrey-Nord"," 41","Surrey",1,17,2,66,0,64,1,5,0,156,259
"Surrey North/Surrey-Nord"," 42","Surrey",0,49,3,93,1,90,5,6,1,248,496
"Surrey North/Surrey-Nord"," 43","Surrey",0,12,0,38,3,37,2,6,1,99,252
"Surrey North/Surrey-Nord"," 44","Surrey",6,57,0,89,7,126,5,15,3,308,605
"Surrey North/Surrey-Nord"," 45","Surrey",1,16,1,48,11,69,14,3,1,164,292
"Surrey North/Surrey-Nord"," 46","Surrey",10,27,0,43,7,75,10,8,0,180,389
"Surrey North/Surrey-Nord"," 47","Surrey",3,33,5,54,5,77,2,3,0,182,430
"Surrey North/Surrey-Nord"," 48","Surrey",4,53,6,60,2,101,6,9,1,242,476
"Surrey North/Surrey-Nord"," 49","Surrey",2,35,0,56,0,51,5,5,0,154,336
"Surrey North/Surrey-Nord"," 50","Surrey",0,28,0,38,3,70,2,7,0,148,372
"Surrey North/Surrey-Nord"," 51","Surrey",0,18,1,26,0,36,10,7,0,98,282
"Surrey North/Surrey-Nord"," 52","Surrey",0,30,1,77,4,84,4,6,2,208,493
"Surrey North/Surrey-Nord"," 53","Surrey",1,21,0,55,3,56,1,8,2,147,337
"Surrey North/Surrey-Nord"," 54","Surrey",1,18,0,33,0,60,3,1,0,116,307
"Surrey North/Surrey-Nord"," 55","Surrey",1,23,0,45,15,76,2,6,0,168,472
"Surrey North/Surrey-Nord"," 56","Surrey",1,10,1,14,3,25,1,2,1,58,207
"Surrey North/Surrey-Nord"," 57","Surrey",4,20,0,39,4,49,2,1,2,121,351
"Surrey North/Surrey-Nord"," 58","Surrey",1,52,4,72,0,57,4,10,0,200,475
"Surrey North/Surrey-Nord"," 59","Surrey",7,56,0,118,6,111,5,9,2,314,608
"Surrey North/Surrey-Nord"," 60A","Surrey",2,23,0,47,0,64,1,5,1,143,322
"Surrey North/Surrey-Nord"," 60B","Surrey",0,24,1,55,1,65,1,4,1,152,327
"Surrey North/Surrey-Nord"," 61","Surrey",4,55,2,102,5,56,4,5,0,233,412
"Surrey North/Surrey-Nord"," 62","Surrey",1,74,3,81,1,159,1,14,0,334,619
"Surrey North/Surrey-Nord"," 63","Surrey",4,36,3,85,6,131,4,6,0,275,547
"Surrey North/Surrey-Nord"," 64","Surrey",1,38,0,47,1,94,2,4,0,187,347
"Surrey North/Surrey-Nord"," 65","Surrey",4,22,0,68,1,100,4,1,0,200,288
"Surrey North/Surrey-Nord"," 66","Surrey",5,36,0,57,8,88,2,2,2,200,340
"Surrey North/Surrey-Nord"," 67","Surrey",1,30,0,45,3,82,3,6,1,171,331
"Surrey North/Surrey-Nord"," 68","Surrey",4,51,3,69,4,108,2,5,1,247,454
"Surrey North/Surrey-Nord"," 69","Surrey",5,49,1,83,1,129,5,11,1,285,526
"Surrey North/Surrey-Nord"," 70","Surrey",6,39,6,46,3,118,4,4,2,228,363
"Surrey North/Surrey-Nord"," 71","Surrey",2,41,2,59,3,111,5,6,0,229,375
"Surrey North/Surrey-Nord"," 72","Surrey",5,50,4,67,0,90,2,13,0,231,383
"Surrey North/Surrey-Nord"," 73","Surrey",2,79,3,82,2,128,3,7,2,308,528
"Surrey North/Surrey-Nord"," 74","Surrey",4,46,1,60,2,115,1,4,2,235,472
"Surrey North/Surrey-Nord"," 75","Surrey",3,81,0,64,1,147,4,7,3,310,589
"Surrey North/Surrey-Nord"," 76","Surrey",1,46,4,30,1,105,0,4,2,193,373
"Surrey North/Surrey-Nord"," 77","Surrey",1,39,1,32,1,87,2,3,1,167,308
"Surrey North/Surrey-Nord"," 78","Surrey",4,44,0,62,3,114,2,5,1,235,417
"Surrey North/Surrey-Nord"," 79","Surrey",4,64,0,61,4,139,8,6,2,288,565
"Surrey North/Surrey-Nord"," 80","Surrey",6,22,3,51,1,112,3,13,1,212,357
"Surrey North/Surrey-Nord"," 81","Surrey",2,30,0,54,0,125,4,6,0,221,405
"Surrey North/Surrey-Nord"," 82","Surrey",4,57,0,63,0,148,0,6,2,280,536
"Surrey North/Surrey-Nord"," 83","Surrey",6,63,1,58,0,117,1,6,4,256,496
"Surrey North/Surrey-Nord"," 84","Surrey",4,48,0,43,5,103,2,6,4,215,437
"Surrey North/Surrey-Nord"," 85","Surrey",4,40,0,46,3,70,1,5,0,169,375
"Surrey North/Surrey-Nord"," 86","Surrey",1,49,0,49,2,79,3,5,1,189,432
"Surrey North/Surrey-Nord"," 87","Surrey",4,18,0,31,2,63,7,6,0,131,286
"Surrey North/Surrey-Nord"," 88","Surrey",2,57,1,73,6,98,3,7,2,249,415
"Surrey North/Surrey-Nord"," 89","Surrey",7,23,0,42,6,64,8,4,0,154,338
"Surrey North/Surrey-Nord"," 90","Surrey",1,16,0,21,1,34,1,2,0,76,199
"Surrey North/Surrey-Nord"," 91","Surrey",8,40,4,97,4,106,3,6,0,268,562
"Surrey North/Surrey-Nord"," 92A","Surrey",4,39,2,57,6,92,2,5,1,208,564
"Surrey North/Surrey-Nord"," 92B","Mobile poll/Bureau itinérant",Merged with No. 18B/Fusionné avec le nº 18B,,,,,,,,,,57
"Surrey North/Surrey-Nord"," 93A","Surrey",1,21,1,61,1,50,2,6,1,144,291
"Surrey North/Surrey-Nord"," 93B","Surrey",2,31,1,38,3,48,3,5,0,131,293
"Surrey North/Surrey-Nord"," 94","Surrey",4,28,2,66,3,78,2,3,0,186,358
"Surrey North/Surrey-Nord"," 95","Surrey",2,33,0,58,2,144,3,9,2,253,424
"Surrey North/Surrey-Nord"," 96A","Surrey",0,18,0,42,2,72,5,2,0,141,294
"Surrey North/Surrey-Nord"," 96B","Surrey",1,25,1,57,2,70,3,10,0,169,330
"Surrey North/Surrey-Nord"," 97","Surrey",0,32,0,47,3,75,1,7,1,166,304
"Surrey North/Surrey-Nord"," 98","Surrey",2,63,2,76,7,87,4,5,1,247,464
"Surrey North/Surrey-Nord"," 99","Surrey",3,56,2,109,8,117,5,4,0,304,493
"Surrey North/Surrey-Nord"," 100","Surrey",2,68,3,112,2,98,3,10,1,299,537
"Surrey North/Surrey-Nord"," 101","Surrey",2,26,3,111,0,94,4,5,0,245,374
"Surrey North/Surrey-Nord"," 102A","Surrey",3,45,0,65,1,97,2,4,0,217,353
"Surrey North/Surrey-Nord"," 102B","Surrey",1,30,0,73,3,72,2,9,1,191,325
"Surrey North/Surrey-Nord"," 103","Surrey",0,51,0,61,3,98,3,4,1,221,446
"Surrey North/Surrey-Nord"," 104","Surrey",1,30,0,72,0,73,4,6,0,186,304
"Surrey North/Surrey-Nord"," 105","Surrey",4,34,1,72,0,65,5,7,0,188,361
"Surrey North/Surrey-Nord"," 106","Surrey",3,47,0,61,3,61,1,8,0,184,416
