Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Normand Chouinard,François Desgroseilliers,Tenzin D. Khangsar,Marcel Lussier,Robert Nicolas,Jacques Saada,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brossard--La Prairie/Brossard--La Prairie"," 1","Brossard",0,10,50,57,12,90,2,221,459
"Brossard--La Prairie/Brossard--La Prairie"," 2","Brossard",0,7,27,49,13,77,0,173,335
"Brossard--La Prairie/Brossard--La Prairie"," 3","Brossard",0,7,30,70,17,80,1,205,439
"Brossard--La Prairie/Brossard--La Prairie"," 4","Brossard",0,2,23,51,19,67,0,162,355
"Brossard--La Prairie/Brossard--La Prairie"," 5","Brossard",1,5,26,48,21,90,2,193,367
"Brossard--La Prairie/Brossard--La Prairie"," 6","Brossard",0,6,30,59,18,137,2,252,453
"Brossard--La Prairie/Brossard--La Prairie"," 7","Brossard",2,4,22,39,13,77,3,160,332
"Brossard--La Prairie/Brossard--La Prairie"," 8","Brossard",1,9,25,84,17,58,1,195,450
"Brossard--La Prairie/Brossard--La Prairie"," 9","Brossard",0,5,16,61,7,35,1,125,316
"Brossard--La Prairie/Brossard--La Prairie"," 10","Brossard",0,3,35,42,11,74,2,167,385
"Brossard--La Prairie/Brossard--La Prairie"," 11","Brossard",0,11,23,68,19,105,3,229,527
"Brossard--La Prairie/Brossard--La Prairie"," 12","Brossard",0,8,18,52,17,62,1,158,353
"Brossard--La Prairie/Brossard--La Prairie"," 13","Brossard",0,9,21,39,21,89,0,179,403
"Brossard--La Prairie/Brossard--La Prairie"," 14","Brossard",0,6,36,66,15,68,3,194,319
"Brossard--La Prairie/Brossard--La Prairie"," 15","Brossard",1,10,34,59,19,79,3,205,364
"Brossard--La Prairie/Brossard--La Prairie"," 16","Brossard",0,4,19,49,15,54,0,141,274
"Brossard--La Prairie/Brossard--La Prairie"," 17","Brossard",1,5,37,46,20,83,3,195,430
"Brossard--La Prairie/Brossard--La Prairie"," 18","Brossard",0,4,24,40,18,124,1,211,398
"Brossard--La Prairie/Brossard--La Prairie"," 19","Brossard",0,3,28,38,23,109,2,203,425
"Brossard--La Prairie/Brossard--La Prairie"," 20","Brossard",2,5,35,28,21,120,2,213,500
"Brossard--La Prairie/Brossard--La Prairie"," 21","Brossard",0,3,19,86,13,52,2,175,417
"Brossard--La Prairie/Brossard--La Prairie"," 22","Brossard",0,6,27,76,7,79,6,201,369
"Brossard--La Prairie/Brossard--La Prairie"," 23","Brossard",1,6,22,87,17,49,5,187,363
"Brossard--La Prairie/Brossard--La Prairie"," 24","Brossard",0,7,24,75,9,79,5,199,346
"Brossard--La Prairie/Brossard--La Prairie"," 25","Brossard",0,7,27,84,14,59,1,192,398
"Brossard--La Prairie/Brossard--La Prairie"," 26","Brossard",0,16,26,88,30,76,0,236,426
"Brossard--La Prairie/Brossard--La Prairie"," 27","Brossard",0,13,39,76,24,109,3,264,423
"Brossard--La Prairie/Brossard--La Prairie"," 28","Brossard",4,4,26,58,14,97,2,205,460
"Brossard--La Prairie/Brossard--La Prairie"," 29","Brossard",0,7,26,66,18,77,3,197,333
"Brossard--La Prairie/Brossard--La Prairie"," 30","Brossard",0,14,38,72,17,95,2,238,415
"Brossard--La Prairie/Brossard--La Prairie"," 31","Brossard",2,9,44,66,18,102,2,243,418
"Brossard--La Prairie/Brossard--La Prairie"," 32","Brossard",1,9,30,109,8,46,0,203,355
"Brossard--La Prairie/Brossard--La Prairie"," 33","Brossard",2,4,20,113,9,49,4,201,362
"Brossard--La Prairie/Brossard--La Prairie"," 34","Brossard",1,7,37,110,15,53,1,224,396
"Brossard--La Prairie/Brossard--La Prairie"," 35","Brossard",0,2,25,127,19,55,2,230,427
"Brossard--La Prairie/Brossard--La Prairie"," 36","Brossard",1,5,29,92,14,61,4,206,404
"Brossard--La Prairie/Brossard--La Prairie"," 37","Brossard",0,7,36,63,13,39,2,160,301
"Brossard--La Prairie/Brossard--La Prairie"," 38","Brossard",0,1,9,42,12,38,2,104,208
"Brossard--La Prairie/Brossard--La Prairie"," 39","Brossard",0,8,19,69,17,37,1,151,337
"Brossard--La Prairie/Brossard--La Prairie"," 40","Brossard",3,10,33,102,16,46,3,213,369
"Brossard--La Prairie/Brossard--La Prairie"," 41","Brossard",1,9,39,79,17,84,2,231,478
"Brossard--La Prairie/Brossard--La Prairie"," 42","Brossard",1,12,47,42,12,107,4,225,402
"Brossard--La Prairie/Brossard--La Prairie"," 43","Brossard",0,18,42,100,15,70,0,245,477
"Brossard--La Prairie/Brossard--La Prairie"," 44","Brossard",1,7,35,81,29,81,3,237,474
"Brossard--La Prairie/Brossard--La Prairie"," 45A","Brossard",0,2,54,69,14,41,1,181,333
"Brossard--La Prairie/Brossard--La Prairie"," 45B","Brossard",1,7,43,55,16,58,1,181,341
"Brossard--La Prairie/Brossard--La Prairie"," 46","Brossard",0,3,16,21,4,20,0,64,176
"Brossard--La Prairie/Brossard--La Prairie"," 47","Brossard",0,8,41,43,13,121,3,229,471
"Brossard--La Prairie/Brossard--La Prairie"," 48","Brossard",0,3,44,46,24,140,1,258,444
"Brossard--La Prairie/Brossard--La Prairie"," 49","Brossard",0,15,43,106,25,99,0,288,476
"Brossard--La Prairie/Brossard--La Prairie"," 50","Brossard",1,6,33,68,15,122,0,245,418
"Brossard--La Prairie/Brossard--La Prairie"," 51","Brossard",0,2,31,62,8,101,4,208,403
"Brossard--La Prairie/Brossard--La Prairie"," 52","Brossard",1,9,46,72,18,135,5,286,500
"Brossard--La Prairie/Brossard--La Prairie"," 53","Brossard",0,4,22,51,15,68,0,160,404
"Brossard--La Prairie/Brossard--La Prairie"," 54","Brossard",1,5,26,54,15,77,1,179,365
"Brossard--La Prairie/Brossard--La Prairie"," 55","Brossard",1,9,48,80,23,82,2,245,462
"Brossard--La Prairie/Brossard--La Prairie"," 56","Brossard",2,9,25,44,20,88,1,189,338
"Brossard--La Prairie/Brossard--La Prairie"," 57","Brossard",0,8,25,64,23,95,0,215,429
"Brossard--La Prairie/Brossard--La Prairie"," 58","Brossard",1,5,45,63,20,140,1,275,451
"Brossard--La Prairie/Brossard--La Prairie"," 59","Brossard",0,1,19,45,13,37,0,115,255
"Brossard--La Prairie/Brossard--La Prairie"," 60","Brossard",0,6,26,66,11,65,2,176,334
"Brossard--La Prairie/Brossard--La Prairie"," 61","Brossard",0,9,53,78,16,119,2,277,466
"Brossard--La Prairie/Brossard--La Prairie"," 62","Brossard",1,9,40,48,11,120,0,229,421
"Brossard--La Prairie/Brossard--La Prairie"," 63","Brossard",0,5,40,44,13,83,2,187,328
"Brossard--La Prairie/Brossard--La Prairie"," 64","Brossard",0,7,45,39,20,127,3,241,423
"Brossard--La Prairie/Brossard--La Prairie"," 65","Brossard",0,9,41,70,19,91,3,233,409
"Brossard--La Prairie/Brossard--La Prairie"," 66A","Brossard",0,10,8,26,15,59,1,119,222
"Brossard--La Prairie/Brossard--La Prairie"," 66B","Brossard",1,11,39,41,10,89,0,191,330
"Brossard--La Prairie/Brossard--La Prairie"," 67","Brossard",0,5,56,77,12,107,1,258,473
"Brossard--La Prairie/Brossard--La Prairie"," 68","Brossard",0,6,24,68,18,87,4,207,349
"Brossard--La Prairie/Brossard--La Prairie"," 69","Brossard",0,6,26,58,25,40,0,155,295
"Brossard--La Prairie/Brossard--La Prairie"," 70A","Brossard",0,5,17,18,3,108,3,154,298
"Brossard--La Prairie/Brossard--La Prairie"," 70B","Brossard",0,4,19,23,8,57,0,111,228
"Brossard--La Prairie/Brossard--La Prairie"," 71","Brossard",0,9,14,19,9,58,0,109,249
"Brossard--La Prairie/Brossard--La Prairie"," 72","Brossard",1,4,24,73,28,61,0,191,330
"Brossard--La Prairie/Brossard--La Prairie"," 73","Brossard",0,3,38,33,6,57,2,139,257
"Brossard--La Prairie/Brossard--La Prairie"," 74A","Brossard",0,2,38,35,5,46,2,128,250
"Brossard--La Prairie/Brossard--La Prairie"," 74B","Brossard",0,2,37,30,3,42,1,115,288
"Brossard--La Prairie/Brossard--La Prairie"," 75A","Brossard",0,4,30,46,5,35,0,120,250
"Brossard--La Prairie/Brossard--La Prairie"," 75B","Brossard",0,3,33,45,7,44,2,134,269
"Brossard--La Prairie/Brossard--La Prairie"," 76","Brossard",0,14,31,77,22,69,3,216,331
"Brossard--La Prairie/Brossard--La Prairie"," 77","Brossard",0,9,36,62,19,75,1,202,400
"Brossard--La Prairie/Brossard--La Prairie"," 78","Brossard",0,5,27,71,11,42,3,159,283
"Brossard--La Prairie/Brossard--La Prairie"," 79","Brossard",0,7,36,90,36,111,4,284,459
"Brossard--La Prairie/Brossard--La Prairie"," 80","Brossard",0,10,41,63,23,104,1,242,415
"Brossard--La Prairie/Brossard--La Prairie"," 81","Brossard",1,18,40,76,15,65,1,216,351
"Brossard--La Prairie/Brossard--La Prairie"," 82","Brossard",0,11,41,82,25,104,1,264,445
"Brossard--La Prairie/Brossard--La Prairie"," 83","Brossard",0,8,46,73,23,77,2,229,382
"Brossard--La Prairie/Brossard--La Prairie"," 84","Brossard",2,11,24,86,28,122,3,276,429
"Brossard--La Prairie/Brossard--La Prairie"," 85","Brossard",0,7,24,49,16,91,1,188,317
"Brossard--La Prairie/Brossard--La Prairie"," 86","Brossard",0,8,30,58,22,91,0,209,418
"Brossard--La Prairie/Brossard--La Prairie"," 87A","Brossard",0,5,32,29,19,82,0,167,349
"Brossard--La Prairie/Brossard--La Prairie"," 87B","Brossard",1,8,58,83,12,55,0,217,436
"Brossard--La Prairie/Brossard--La Prairie"," 87C","Brossard",0,5,38,48,14,63,2,170,337
"Brossard--La Prairie/Brossard--La Prairie"," 88","Brossard",0,7,24,47,11,59,0,148,303
"Brossard--La Prairie/Brossard--La Prairie"," 89","Brossard",1,8,39,59,12,144,1,264,469
"Brossard--La Prairie/Brossard--La Prairie"," 90","Brossard",1,9,50,66,19,97,0,242,427
"Brossard--La Prairie/Brossard--La Prairie"," 91","Brossard",0,9,55,57,19,80,1,221,392
"Brossard--La Prairie/Brossard--La Prairie"," 92","Brossard",0,13,38,61,15,82,1,210,377
"Brossard--La Prairie/Brossard--La Prairie"," 93","Brossard",0,6,19,39,12,49,1,126,292
"Brossard--La Prairie/Brossard--La Prairie"," 94","Brossard",0,10,36,82,16,87,2,233,381
"Brossard--La Prairie/Brossard--La Prairie"," 95","Brossard",0,10,48,79,17,89,2,245,401
