Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Paul Antle,Norman Doyle,Stephen Eli Harris,Mike Kehoe,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. John's East/St. John's-Est"," 1","Pouch Cove",69,69,0,20,0,158,298
"St. John's East/St. John's-Est"," 2","Pouch Cove",65,63,3,29,1,161,281
"St. John's East/St. John's-Est"," 3","Pouch Cove",75,123,0,27,1,226,407
"St. John's East/St. John's-Est"," 4","Pouch Cove",51,101,1,40,0,193,366
"St. John's East/St. John's-Est"," 5","Bauline",50,57,3,21,0,131,242
"St. John's East/St. John's-Est"," 6","Flatrock",71,117,1,24,1,214,387
"St. John's East/St. John's-Est"," 7","Flatrock",84,199,3,47,0,333,543
"St. John's East/St. John's-Est"," 8","Torbay",49,68,2,18,1,138,232
"St. John's East/St. John's-Est"," 9","Torbay",83,188,4,44,1,320,545
"St. John's East/St. John's-Est"," 10","Torbay",64,121,2,36,1,224,397
"St. John's East/St. John's-Est"," 11","Torbay",53,114,0,20,0,187,354
"St. John's East/St. John's-Est"," 12","Torbay",55,77,1,26,0,159,302
"St. John's East/St. John's-Est"," 13A","Torbay",59,64,1,28,0,152,314
"St. John's East/St. John's-Est"," 13B","Torbay",64,81,0,24,0,169,313
"St. John's East/St. John's-Est"," 14A","Torbay",84,116,3,66,0,269,521
"St. John's East/St. John's-Est"," 14B","Mobile poll/Bureau itinérant",16,19,1,4,0,40,35
"St. John's East/St. John's-Est"," 15","Torbay",84,105,1,26,0,216,368
"St. John's East/St. John's-Est"," 16","Torbay",84,119,4,39,0,246,445
"St. John's East/St. John's-Est"," 17A","Torbay",57,108,3,36,0,204,398
"St. John's East/St. John's-Est"," 17B","Torbay",63,116,2,27,0,208,388
"St. John's East/St. John's-Est"," 18","Logy Bay-Middle Cove-Outer Cove",80,170,5,58,0,313,479
"St. John's East/St. John's-Est"," 19","Logy Bay-Middle Cove-Outer Cove",47,113,3,37,2,202,316
"St. John's East/St. John's-Est"," 20A","Logy Bay-Middle Cove-Outer Cove",51,114,1,19,2,187,289
"St. John's East/St. John's-Est"," 20B","Logy Bay-Middle Cove-Outer Cove",52,119,3,13,0,187,289
"St. John's East/St. John's-Est"," 21","Logy Bay-Middle Cove-Outer Cove",55,93,0,39,1,188,293
"St. John's East/St. John's-Est"," 22","Wabana",44,101,0,13,1,159,371
"St. John's East/St. John's-Est"," 23","Wabana",46,84,1,7,0,138,342
"St. John's East/St. John's-Est"," 24","Wabana",51,101,1,11,0,164,368
"St. John's East/St. John's-Est"," 25","Wabana",37,113,2,10,0,162,325
"St. John's East/St. John's-Est"," 26","Wabana",38,88,0,6,0,132,317
"St. John's East/St. John's-Est"," 27","Wabana",46,105,4,10,0,165,359
"St. John's East/St. John's-Est"," 28","Freshwater",41,77,2,9,0,129,251
"St. John's East/St. John's-Est"," 29","Portugal Cove-St. Philips",85,86,3,59,0,233,399
"St. John's East/St. John's-Est"," 30","Portugal Cove-St. Philips",76,62,2,42,0,182,338
"St. John's East/St. John's-Est"," 31","Portugal Cove-St. Philips",92,119,4,53,0,268,432
"St. John's East/St. John's-Est"," 32","Portugal Cove-St. Philips",69,78,5,41,0,193,347
"St. John's East/St. John's-Est"," 33","Portugal Cove-St. Philips",91,145,2,65,0,303,532
"St. John's East/St. John's-Est"," 34","Portugal Cove-St. Philips",87,114,2,45,0,248,458
"St. John's East/St. John's-Est"," 35","Portugal Cove-St. Philips",66,77,1,24,0,168,281
"St. John's East/St. John's-Est"," 36A","Portugal Cove-St. Philips",75,84,3,49,0,211,335
