Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Steven Elgersma,Diane Finley,Valya Roberts,Bob Speller,Carolyn Van Nort,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Haldimand--Norfolk/Haldimand--Norfolk"," 56","Nanticoke",1,111,26,77,11,3,229,418
"Haldimand--Norfolk/Haldimand--Norfolk"," 57","Nanticoke",4,160,41,124,14,1,344,633
"Haldimand--Norfolk/Haldimand--Norfolk"," 58","Nanticoke",0,88,19,52,7,0,166,286
"Haldimand--Norfolk/Haldimand--Norfolk"," 59","Nanticoke",0,63,22,77,11,4,177,292
"Haldimand--Norfolk/Haldimand--Norfolk"," 60","Nanticoke",1,71,24,60,4,1,161,303
"Haldimand--Norfolk/Haldimand--Norfolk"," 61","Nanticoke",2,77,34,90,8,0,211,361
"Haldimand--Norfolk/Haldimand--Norfolk"," 62","Nanticoke",2,81,33,87,9,0,212,342
"Haldimand--Norfolk/Haldimand--Norfolk"," 63","Nanticoke",0,49,26,36,5,1,117,236
"Haldimand--Norfolk/Haldimand--Norfolk"," 64","Nanticoke",2,105,30,72,11,1,221,368
"Haldimand--Norfolk/Haldimand--Norfolk"," 65","Nanticoke",0,134,38,137,14,2,325,528
"Haldimand--Norfolk/Haldimand--Norfolk"," 66","Nanticoke",5,115,52,111,20,2,305,497
"Haldimand--Norfolk/Haldimand--Norfolk"," 67","Nanticoke",1,72,18,44,1,0,136,250
"Haldimand--Norfolk/Haldimand--Norfolk"," 68","Nanticoke",1,123,30,107,7,1,269,375
"Haldimand--Norfolk/Haldimand--Norfolk"," 69","Simcoe",2,136,37,126,14,1,316,579
"Haldimand--Norfolk/Haldimand--Norfolk"," 70","Delhi",3,114,13,91,13,1,235,431
"Haldimand--Norfolk/Haldimand--Norfolk"," 71","Delhi",2,82,19,50,8,0,161,321
"Haldimand--Norfolk/Haldimand--Norfolk"," 72","Simcoe",1,92,17,99,8,2,219,407
"Haldimand--Norfolk/Haldimand--Norfolk"," 73","Simcoe",5,99,26,90,8,1,229,392
"Haldimand--Norfolk/Haldimand--Norfolk"," 74","Simcoe",1,102,23,98,3,0,227,401
"Haldimand--Norfolk/Haldimand--Norfolk"," 75","Simcoe",1,72,27,54,8,0,162,335
"Haldimand--Norfolk/Haldimand--Norfolk"," 76","Simcoe",0,82,53,84,7,0,226,373
"Haldimand--Norfolk/Haldimand--Norfolk"," 77","Simcoe",0,79,38,85,8,0,210,447
"Haldimand--Norfolk/Haldimand--Norfolk"," 78","Simcoe",2,79,43,83,13,0,220,406
"Haldimand--Norfolk/Haldimand--Norfolk"," 79","Simcoe",0,70,20,63,3,0,156,275
"Haldimand--Norfolk/Haldimand--Norfolk"," 80","Simcoe",1,98,15,93,8,0,215,354
"Haldimand--Norfolk/Haldimand--Norfolk"," 81","Simcoe",1,59,25,89,3,0,177,311
"Haldimand--Norfolk/Haldimand--Norfolk"," 82","Simcoe",0,87,17,112,6,0,222,390
"Haldimand--Norfolk/Haldimand--Norfolk"," 83","Simcoe",0,50,26,43,9,1,129,318
"Haldimand--Norfolk/Haldimand--Norfolk"," 84","Simcoe",2,44,18,41,6,0,111,329
"Haldimand--Norfolk/Haldimand--Norfolk"," 85","Simcoe",2,58,31,67,10,1,169,413
"Haldimand--Norfolk/Haldimand--Norfolk"," 86","Simcoe",2,74,34,92,10,4,216,408
"Haldimand--Norfolk/Haldimand--Norfolk"," 87","Simcoe",2,94,24,112,5,1,238,459
"Haldimand--Norfolk/Haldimand--Norfolk"," 88","Simcoe",0,53,19,61,4,1,138,289
"Haldimand--Norfolk/Haldimand--Norfolk"," 89","Simcoe",0,84,20,85,6,1,196,350
"Haldimand--Norfolk/Haldimand--Norfolk"," 90","Simcoe",0,83,27,97,11,0,218,359
"Haldimand--Norfolk/Haldimand--Norfolk"," 91","Simcoe",3,71,31,74,10,0,189,430
"Haldimand--Norfolk/Haldimand--Norfolk"," 92","Simcoe",1,50,21,62,4,0,138,325
"Haldimand--Norfolk/Haldimand--Norfolk"," 93","Simcoe",0,60,28,81,9,3,181,384
"Haldimand--Norfolk/Haldimand--Norfolk"," 94","Simcoe",3,58,28,76,7,0,172,319
