Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Eleni Bakopanos,Caroline Desrosiers,Étienne Morin,Maria Mourani,Lynette Tremblay,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ahuntsic/Ahuntsic"," 1","Montréal",33,20,18,124,8,2,205,322
"Ahuntsic/Ahuntsic"," 2","Montréal",66,24,27,157,17,6,297,549
"Ahuntsic/Ahuntsic"," 3","Montréal",62,28,26,135,10,2,263,395
"Ahuntsic/Ahuntsic"," 4","Montréal",117,35,43,127,14,11,347,509
"Ahuntsic/Ahuntsic"," 5","Montréal",92,26,32,78,13,3,244,421
"Ahuntsic/Ahuntsic"," 6","Montréal",100,15,27,108,5,2,257,381
"Ahuntsic/Ahuntsic"," 7","Montréal",91,14,14,58,5,1,183,335
"Ahuntsic/Ahuntsic"," 8","Montréal",90,29,40,94,10,3,266,392
"Ahuntsic/Ahuntsic"," 9","Montréal",57,17,23,82,5,7,191,272
"Ahuntsic/Ahuntsic"," 10","Montréal",51,18,28,95,17,2,211,352
"Ahuntsic/Ahuntsic"," 11","Montréal",70,25,33,112,9,3,252,465
"Ahuntsic/Ahuntsic"," 12","Montréal",70,18,25,98,11,4,226,397
"Ahuntsic/Ahuntsic"," 13","Montréal",63,19,34,113,15,2,246,389
"Ahuntsic/Ahuntsic"," 14","Montréal",59,14,20,110,12,3,218,370
"Ahuntsic/Ahuntsic"," 15","Montréal",48,18,15,62,12,1,156,356
"Ahuntsic/Ahuntsic"," 16","Montréal",41,15,22,78,8,3,167,281
"Ahuntsic/Ahuntsic"," 17","Montréal",53,17,30,120,8,2,230,370
"Ahuntsic/Ahuntsic"," 18","Montréal",79,15,18,99,17,5,233,337
"Ahuntsic/Ahuntsic"," 19","Montréal",99,13,18,82,9,4,225,383
"Ahuntsic/Ahuntsic"," 20A","Montréal",128,21,20,82,10,2,263,480
"Ahuntsic/Ahuntsic"," 20B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,44
"Ahuntsic/Ahuntsic"," 21","Montréal",91,14,21,23,2,2,153,297
"Ahuntsic/Ahuntsic"," 22","Montréal",128,13,37,15,6,4,203,412
"Ahuntsic/Ahuntsic"," 23","Montréal",119,12,36,39,3,5,214,454
"Ahuntsic/Ahuntsic"," 24","Montréal",124,11,26,53,12,0,226,355
"Ahuntsic/Ahuntsic"," 25","Montréal",67,8,18,58,3,2,156,287
"Ahuntsic/Ahuntsic"," 26","Montréal",99,10,14,45,3,0,171,353
"Ahuntsic/Ahuntsic"," 27","Montréal",114,19,17,52,3,5,210,402
"Ahuntsic/Ahuntsic"," 28","Montréal",113,12,18,45,4,2,194,343
"Ahuntsic/Ahuntsic"," 29","Montréal",93,21,45,115,10,10,294,485
"Ahuntsic/Ahuntsic"," 30A","Montréal",88,17,24,83,3,0,215,437
"Ahuntsic/Ahuntsic"," 30B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,61
"Ahuntsic/Ahuntsic"," 31","Montréal",90,17,17,82,10,1,217,363
"Ahuntsic/Ahuntsic"," 32","Montréal",65,20,25,103,6,2,221,388
