Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jean Crowder,Jack East,Harold Henn,Brian Scott,Norm Sowden,Jeff Warr,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 1","Caycuse",33,0,3,11,2,0,0,49,105
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 2","Cowichan Lake ",130,0,16,35,54,3,0,238,382
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 3","Honeymoon Bay",106,0,6,28,48,0,0,188,270
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 4","Youbou",59,0,1,22,25,1,0,108,165
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 5","Cowichan Lake ",95,0,10,27,58,2,1,193,329
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 6","Honeymoon Bay",83,1,10,18,34,2,0,148,211
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 7","Lake Cowichan",165,1,6,21,52,0,0,245,420
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 8A","Lake Cowichan",89,0,5,15,34,0,0,143,266
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 8B","Lake Cowichan",66,1,4,11,37,4,0,123,242
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 9","Lake Cowichan",151,2,19,30,54,1,1,258,479
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 10","Lake Cowichan",108,1,5,23,40,0,1,178,314
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 11A","Lake Cowichan",68,2,6,17,45,1,0,139,252
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 11B","Lake Cowichan",116,0,4,20,37,0,0,177,302
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 12","Lake Cowichan",106,0,10,26,37,0,1,180,315
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 13A","East Wellington",97,1,8,55,120,0,0,281,430
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 13B","East Wellington",118,0,23,31,94,3,1,270,392
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 14","Extension",132,3,16,41,65,0,1,258,452
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 15A","Cassidy",88,0,19,35,53,0,0,195,346
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 15B","Cassidy",88,0,9,29,69,0,0,195,331
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 16","Cassidy",126,1,19,31,64,3,0,244,402
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 17","South Wellington",134,0,13,48,83,3,0,281,461
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 18","South Wellington",122,0,15,36,69,2,0,244,467
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 19","Nanaimo River 3",Merged with No. 20/Fusionné avec le nº 20,,,,,,,,70
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 20","Cedar",100,0,14,20,75,1,0,210,339
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 21","Cedar",130,0,18,38,74,2,0,262,481
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 22","Cedar",138,1,19,32,67,1,0,258,460
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 23A","Boat Harbour",107,0,9,34,77,0,0,227,346
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 23B","Boat Harbour",112,0,11,41,87,1,0,252,412
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 24","Cedar",135,1,19,29,59,2,0,245,424
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 25","Cassidy",97,0,16,33,67,1,1,215,419
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 26A","Quennell Lake",93,0,18,23,39,3,0,176,264
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 26B","Quennell Lake",76,0,13,25,43,0,0,157,276
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 27","Quennell Lake",106,1,18,29,80,0,0,234,369
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 28","Nanaimo",113,1,9,33,92,0,0,248,379
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 29","Nanaimo",110,0,7,37,102,0,1,257,421
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 30","Nanaimo",130,0,16,63,106,0,0,315,499
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 31A","Nanaimo",71,2,12,20,80,0,0,185,297
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 31B","Nanaimo",67,0,7,30,48,0,0,152,261
"Nanaimo--Cowichan/Nanaimo--Cowichan"," 32","Nanaimo",83,0,18,27,56,1,1,186,374
