Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Holland,Russell Korus,Kevin Modeste,Kevin Norng,Rondo Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Ajax--Pickering/Ajax--Pickering"," 79A","Ajax",161,13,23,1,109,2,309,479
"Ajax--Pickering/Ajax--Pickering"," 79B","Ajax",Merged with No. 82/Fusionné avec le nº 82,,,,,,,162
"Ajax--Pickering/Ajax--Pickering"," 80","Ajax",123,11,34,1,72,0,241,474
"Ajax--Pickering/Ajax--Pickering"," 81","Ajax",119,11,20,1,83,1,235,370
"Ajax--Pickering/Ajax--Pickering"," 82","Ajax",108,10,20,1,71,1,211,222
"Ajax--Pickering/Ajax--Pickering"," 83","Ajax",139,12,42,1,102,0,296,438
"Ajax--Pickering/Ajax--Pickering"," 84A","Ajax",174,11,38,1,90,0,314,508
"Ajax--Pickering/Ajax--Pickering"," 84B","Ajax",Merged with No. 75/Fusionné avec le nº 75,,,,,,,59
"Ajax--Pickering/Ajax--Pickering"," 85","Ajax",126,17,26,3,121,2,295,469
"Ajax--Pickering/Ajax--Pickering"," 86","Ajax",144,12,11,3,96,0,266,491
"Ajax--Pickering/Ajax--Pickering"," 87","Ajax",135,13,34,2,84,1,269,409
"Ajax--Pickering/Ajax--Pickering"," 88","Ajax",75,9,24,0,62,0,170,325
"Ajax--Pickering/Ajax--Pickering"," 89","Ajax",146,14,33,4,85,0,282,494
"Ajax--Pickering/Ajax--Pickering"," 90","Ajax",114,11,37,1,91,1,255,466
"Ajax--Pickering/Ajax--Pickering"," 91","Ajax",90,11,26,1,63,0,191,348
"Ajax--Pickering/Ajax--Pickering"," 92","Ajax",117,6,35,0,85,1,244,404
"Ajax--Pickering/Ajax--Pickering"," 93","Ajax",91,8,42,1,102,0,244,418
"Ajax--Pickering/Ajax--Pickering"," 94","Ajax",132,8,20,4,98,0,262,479
"Ajax--Pickering/Ajax--Pickering"," 95","Ajax",136,16,48,4,105,1,310,544
"Ajax--Pickering/Ajax--Pickering"," 96","Ajax",106,13,22,0,63,0,204,409
"Ajax--Pickering/Ajax--Pickering"," 97","Ajax",97,10,32,3,69,1,212,338
"Ajax--Pickering/Ajax--Pickering"," 98","Ajax",104,7,39,3,83,0,236,443
"Ajax--Pickering/Ajax--Pickering"," 99","Ajax",97,3,19,3,61,1,184,314
"Ajax--Pickering/Ajax--Pickering"," 100","Ajax",102,14,47,3,98,0,264,507
"Ajax--Pickering/Ajax--Pickering"," 101","Ajax",117,25,47,4,61,0,254,466
"Ajax--Pickering/Ajax--Pickering"," 102","Ajax",121,17,68,2,82,1,291,498
"Ajax--Pickering/Ajax--Pickering"," 103","Ajax",89,17,69,3,77,0,255,422
"Ajax--Pickering/Ajax--Pickering"," 104","Ajax",61,11,55,4,89,1,221,377
"Ajax--Pickering/Ajax--Pickering"," 105","Ajax",166,7,53,0,95,0,321,556
"Ajax--Pickering/Ajax--Pickering"," 106","Ajax",130,6,36,1,83,0,256,500
"Ajax--Pickering/Ajax--Pickering"," 107","Ajax",134,17,47,2,100,1,301,463
"Ajax--Pickering/Ajax--Pickering"," 108","Ajax",171,14,34,1,107,0,327,548
