Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Brent Bouteiller,Michael Chong,Noel Paul Duignan,Rod Finnie,Carol Ann Krusky,Mike Wisniewski,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Wellington--Halton Hills/Wellington--Halton Hills"," 1","West Garafraxa",Merged with No. 2/Fusionné avec le nº 2,,,,,,,,116
"Wellington--Halton Hills/Wellington--Halton Hills"," 2","Belwood",10,143,42,56,7,5,0,263,259
"Wellington--Halton Hills/Wellington--Halton Hills"," 3","Belwood",4,125,26,73,3,2,0,233,349
"Wellington--Halton Hills/Wellington--Halton Hills"," 4","Belwood",26,192,31,89,10,1,1,350,552
"Wellington--Halton Hills/Wellington--Halton Hills"," 5","West Garafraxa",13,116,54,69,6,2,0,260,484
"Wellington--Halton Hills/Wellington--Halton Hills"," 6","West Garafraxa",10,165,26,45,6,1,1,254,355
"Wellington--Halton Hills/Wellington--Halton Hills"," 7","Nichol",6,105,20,52,5,3,0,191,287
"Wellington--Halton Hills/Wellington--Halton Hills"," 8","West Garafraxa",18,178,28,117,16,2,1,360,519
"Wellington--Halton Hills/Wellington--Halton Hills"," 9","West Garafraxa",11,141,22,52,12,2,0,240,360
"Wellington--Halton Hills/Wellington--Halton Hills"," 10","Eramosa",7,76,23,36,2,0,0,144,249
"Wellington--Halton Hills/Wellington--Halton Hills"," 11","Ennotville",19,160,15,78,12,2,3,289,430
"Wellington--Halton Hills/Wellington--Halton Hills"," 12","Nichol",17,122,42,73,4,2,0,260,398
"Wellington--Halton Hills/Wellington--Halton Hills"," 13","Nichol",7,144,40,82,6,3,0,282,447
"Wellington--Halton Hills/Wellington--Halton Hills"," 14","Nichol",19,158,38,71,15,4,1,306,463
"Wellington--Halton Hills/Wellington--Halton Hills"," 15A","Elora",10,87,34,55,3,1,0,190,327
"Wellington--Halton Hills/Wellington--Halton Hills"," 15B","Elora",12,115,20,61,5,1,0,214,326
"Wellington--Halton Hills/Wellington--Halton Hills"," 16","Elora",18,91,43,62,2,6,0,222,375
"Wellington--Halton Hills/Wellington--Halton Hills"," 17","Elora",18,134,41,81,2,1,2,279,425
"Wellington--Halton Hills/Wellington--Halton Hills"," 18","Elora",17,81,32,62,2,3,2,199,332
"Wellington--Halton Hills/Wellington--Halton Hills"," 19","Elora",28,63,36,84,0,0,1,212,390
"Wellington--Halton Hills/Wellington--Halton Hills"," 20A","Elora",18,82,31,43,2,1,2,179,302
"Wellington--Halton Hills/Wellington--Halton Hills"," 20B","Elora",7,75,18,60,5,0,0,165,286
"Wellington--Halton Hills/Wellington--Halton Hills"," 21A","Elora",11,141,27,100,0,1,1,281,483
"Wellington--Halton Hills/Wellington--Halton Hills"," 21B","Elora",8,42,9,25,1,0,0,85,99
"Wellington--Halton Hills/Wellington--Halton Hills"," 22","Nichol",32,90,40,75,1,3,0,241,405
"Wellington--Halton Hills/Wellington--Halton Hills"," 23A","Pilkington",13,78,21,56,0,2,0,170,280
"Wellington--Halton Hills/Wellington--Halton Hills"," 23B","Pilkington",19,64,27,58,2,2,1,173,284
"Wellington--Halton Hills/Wellington--Halton Hills"," 24","Pilkington",12,114,19,68,2,3,1,219,433
"Wellington--Halton Hills/Wellington--Halton Hills"," 25","Pilkington",Merged with No. 26/Fusionné avec le nº 26,,,,,,,,175
"Wellington--Halton Hills/Wellington--Halton Hills"," 26","Pilkington",25,179,38,99,9,2,1,353,386
"Wellington--Halton Hills/Wellington--Halton Hills"," 27A","Centre Wellington",15,86,33,33,4,0,0,171,301
"Wellington--Halton Hills/Wellington--Halton Hills"," 27B","Centre Wellington",6,84,28,36,1,3,0,158,295
"Wellington--Halton Hills/Wellington--Halton Hills"," 28","Centre Wellington",14,104,31,47,5,2,3,206,346
"Wellington--Halton Hills/Wellington--Halton Hills"," 29","Centre Wellington",11,108,33,39,2,0,0,193,302
