Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Carolyn Bennett,Kevin Farmer,Peter Kent,Paul Summerville,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"St. Paul's/St. Paul's"," 1","York",45,2,21,17,1,86,203
"St. Paul's/St. Paul's"," 1-1","York",38,3,27,17,1,86,240
"St. Paul's/St. Paul's"," 2","York",131,9,44,49,1,234,406
"St. Paul's/St. Paul's"," 2-1","York",107,2,49,28,2,188,392
"St. Paul's/St. Paul's"," 3","York",112,5,20,37,0,174,357
"St. Paul's/St. Paul's"," 4","York",124,6,41,49,1,221,392
"St. Paul's/St. Paul's"," 5","York",174,6,33,54,0,267,460
"St. Paul's/St. Paul's"," 6","York",102,11,38,62,2,215,389
"St. Paul's/St. Paul's"," 7","York",153,13,50,75,1,292,506
"St. Paul's/St. Paul's"," 8","York",131,7,29,42,1,210,412
"St. Paul's/St. Paul's"," 9","York",198,13,47,49,1,308,504
"St. Paul's/St. Paul's"," 10","York",129,6,40,32,3,210,422
"St. Paul's/St. Paul's"," 11","York",134,5,43,40,7,229,411
"St. Paul's/St. Paul's"," 12","York",146,5,31,59,4,245,416
"St. Paul's/St. Paul's"," 13","York",153,10,45,78,0,286,518
"St. Paul's/St. Paul's"," 14","York",63,10,16,36,1,126,219
"St. Paul's/St. Paul's"," 15","York",158,3,10,44,0,215,375
"St. Paul's/St. Paul's"," 16","York",180,11,47,60,6,304,492
"St. Paul's/St. Paul's"," 17","York",129,12,45,60,1,247,391
"St. Paul's/St. Paul's"," 18","York",145,18,67,53,0,283,410
"St. Paul's/St. Paul's"," 19","York",133,17,69,45,0,264,412
"St. Paul's/St. Paul's"," 20","York",150,13,106,43,0,312,481
"St. Paul's/St. Paul's"," 21","York",62,6,49,5,0,122,232
"St. Paul's/St. Paul's"," 22","York",87,12,67,34,1,201,403
"St. Paul's/St. Paul's"," 23","York",76,7,44,18,1,146,265
"St. Paul's/St. Paul's"," 24","York",141,9,101,55,2,308,437
"St. Paul's/St. Paul's"," 25","Toronto",87,8,30,41,0,166,279
"St. Paul's/St. Paul's"," 26","York",102,10,84,33,1,230,373
"St. Paul's/St. Paul's"," 27","York",119,12,59,102,0,292,475
"St. Paul's/St. Paul's"," 28","York",129,16,39,96,0,280,442
"St. Paul's/St. Paul's"," 29","York",117,6,27,63,0,213,364
"St. Paul's/St. Paul's"," 30","York",131,8,34,73,4,250,395
"St. Paul's/St. Paul's"," 31","York",119,8,37,113,0,277,394
"St. Paul's/St. Paul's"," 32","York",144,8,28,99,1,280,391
"St. Paul's/St. Paul's"," 33","Toronto",112,8,34,64,2,220,454
"St. Paul's/St. Paul's"," 34","York",133,10,34,94,0,271,401
"St. Paul's/St. Paul's"," 35","York",148,11,38,100,0,297,428
"St. Paul's/St. Paul's"," 36","York",143,16,46,71,1,277,377
"St. Paul's/St. Paul's"," 37","York",104,17,36,78,0,235,376
"St. Paul's/St. Paul's"," 38","Toronto",108,13,20,103,1,245,399
"St. Paul's/St. Paul's"," 39","Toronto",169,15,55,98,0,337,511
"St. Paul's/St. Paul's"," 40","Toronto",83,9,15,71,2,180,259
"St. Paul's/St. Paul's"," 41","Toronto",98,12,30,67,2,209,355
"St. Paul's/St. Paul's"," 42","York",108,11,34,84,0,237,395
"St. Paul's/St. Paul's"," 43","York",132,12,60,74,1,279,420
"St. Paul's/St. Paul's"," 44","York",84,15,26,70,1,196,364
"St. Paul's/St. Paul's"," 45","York",98,11,35,85,2,231,342
"St. Paul's/St. Paul's"," 46","York",74,13,21,78,2,188,309
"St. Paul's/St. Paul's"," 47","York",99,5,17,37,0,158,274
"St. Paul's/St. Paul's"," 48","York",149,16,46,98,1,310,511
"St. Paul's/St. Paul's"," 49","York",124,18,50,79,3,274,392
"St. Paul's/St. Paul's"," 50","York",137,16,23,117,0,293,482
"St. Paul's/St. Paul's"," 51","York",146,19,47,95,1,308,467
"St. Paul's/St. Paul's"," 52","Toronto",120,16,51,76,1,264,373
"St. Paul's/St. Paul's"," 53","Toronto",86,6,42,13,1,148,292
"St. Paul's/St. Paul's"," 54","Toronto",110,11,68,39,1,229,360
"St. Paul's/St. Paul's"," 55","Toronto",101,10,46,26,1,184,280
"St. Paul's/St. Paul's"," 56","Toronto",101,10,51,51,0,213,329
"St. Paul's/St. Paul's"," 57","Toronto",100,14,67,22,2,205,352
"St. Paul's/St. Paul's"," 58","Toronto",108,5,128,14,0,255,438
"St. Paul's/St. Paul's"," 59","Toronto",98,7,87,6,0,198,341
"St. Paul's/St. Paul's"," 60","Toronto",86,4,68,19,0,177,304
"St. Paul's/St. Paul's"," 61","Toronto",89,5,81,10,0,185,307
"St. Paul's/St. Paul's"," 62","Toronto",96,6,107,10,0,219,423
"St. Paul's/St. Paul's"," 63","Toronto",88,8,66,25,0,187,312
"St. Paul's/St. Paul's"," 64","Toronto",95,4,46,17,0,162,328
"St. Paul's/St. Paul's"," 65","Toronto",112,14,107,22,3,258,509
"St. Paul's/St. Paul's"," 66","Toronto",81,6,161,5,0,253,445
"St. Paul's/St. Paul's"," 67","Toronto",61,5,83,10,1,160,366
"St. Paul's/St. Paul's"," 68","Toronto",81,9,79,9,0,178,355
"St. Paul's/St. Paul's"," 69","Toronto",127,11,76,28,0,242,432
"St. Paul's/St. Paul's"," 70","Toronto",141,11,93,29,1,275,389
"St. Paul's/St. Paul's"," 71","Toronto",129,10,59,46,0,244,381
"St. Paul's/St. Paul's"," 72","Toronto",93,10,53,27,2,185,278
"St. Paul's/St. Paul's"," 73","Toronto",118,13,73,56,1,261,393
"St. Paul's/St. Paul's"," 74","Toronto",176,19,75,56,0,326,447
"St. Paul's/St. Paul's"," 75","Toronto",136,16,44,33,1,230,366
"St. Paul's/St. Paul's"," 76","Toronto",97,13,84,16,0,210,334
"St. Paul's/St. Paul's"," 77","Toronto",101,11,101,17,2,232,354
"St. Paul's/St. Paul's"," 78","Toronto",102,10,87,24,0,223,331
"St. Paul's/St. Paul's"," 79","Toronto",59,6,55,11,0,131,242
"St. Paul's/St. Paul's"," 80","Toronto",93,15,73,39,0,220,471
"St. Paul's/St. Paul's"," 81","Toronto",106,10,36,64,0,216,337
"St. Paul's/St. Paul's"," 82","Toronto",Void/Supprimé,,,,,,
"St. Paul's/St. Paul's"," 83","Toronto",174,23,88,88,1,374,486
"St. Paul's/St. Paul's"," 84","Toronto",213,23,63,91,0,390,526
"St. Paul's/St. Paul's"," 85","Toronto",170,15,101,53,2,341,598
"St. Paul's/St. Paul's"," 86","Toronto",102,8,77,34,0,221,341
"St. Paul's/St. Paul's"," 87","Toronto",119,17,61,27,1,225,363
"St. Paul's/St. Paul's"," 88","Toronto",101,6,41,26,0,174,234
"St. Paul's/St. Paul's"," 89","Toronto",97,17,70,37,0,221,330
"St. Paul's/St. Paul's"," 90","Toronto",125,16,64,44,1,250,388
"St. Paul's/St. Paul's"," 91","Toronto",78,5,66,26,0,175,325
"St. Paul's/St. Paul's"," 92","Toronto",89,2,61,20,3,175,338
"St. Paul's/St. Paul's"," 93","Toronto",111,8,67,34,1,221,349
"St. Paul's/St. Paul's"," 94","Toronto",110,17,56,47,2,232,324
"St. Paul's/St. Paul's"," 95","Toronto",97,8,49,28,0,182,288
"St. Paul's/St. Paul's"," 96","Toronto",164,15,97,33,3,312,428
"St. Paul's/St. Paul's"," 97A","Toronto",118,7,126,13,0,264,422
"St. Paul's/St. Paul's"," 97B","Toronto",118,10,55,48,0,231,343
"St. Paul's/St. Paul's"," 98","Toronto",112,14,71,45,3,245,378
"St. Paul's/St. Paul's"," 99","Toronto",137,16,54,54,0,261,483
"St. Paul's/St. Paul's"," 100","Toronto",128,8,52,30,2,220,408
"St. Paul's/St. Paul's"," 101","Toronto",100,9,34,32,0,175,295
"St. Paul's/St. Paul's"," 102","Toronto",93,6,30,48,0,177,278
"St. Paul's/St. Paul's"," 103","Toronto",94,13,37,50,1,195,346
"St. Paul's/St. Paul's"," 104","Toronto",188,17,95,79,2,381,636
"St. Paul's/St. Paul's"," 105","Toronto",54,7,33,15,1,110,292
"St. Paul's/St. Paul's"," 106","Toronto",176,24,76,43,0,319,494
"St. Paul's/St. Paul's"," 107","Toronto",Void/Supprimé,,,,,,
"St. Paul's/St. Paul's"," 108","Toronto",95,13,54,38,0,200,350
"St. Paul's/St. Paul's"," 109","Toronto",84,11,34,33,3,165,279
"St. Paul's/St. Paul's"," 110","Toronto",83,8,49,28,0,168,234
"St. Paul's/St. Paul's"," 111","Toronto",68,5,49,34,0,156,249
"St. Paul's/St. Paul's"," 112","Toronto",156,15,112,47,2,332,461
"St. Paul's/St. Paul's"," 113","Toronto",110,12,57,38,0,217,340
"St. Paul's/St. Paul's"," 114","Toronto",180,13,124,54,0,371,638
"St. Paul's/St. Paul's"," 115","Toronto",185,7,44,52,1,289,498
"St. Paul's/St. Paul's"," 116","Toronto",149,15,96,68,1,329,570
"St. Paul's/St. Paul's"," 117","Toronto",195,25,99,69,2,390,653
"St. Paul's/St. Paul's"," 118","Toronto",83,9,51,28,2,173,337
"St. Paul's/St. Paul's"," 119","Toronto",93,14,54,24,2,187,382
"St. Paul's/St. Paul's"," 120","Toronto",92,9,43,37,0,181,289
"St. Paul's/St. Paul's"," 121","Toronto",112,10,62,29,3,216,368
"St. Paul's/St. Paul's"," 122","Toronto",145,28,88,43,0,304,452
"St. Paul's/St. Paul's"," 123","Toronto",103,11,47,24,1,186,289
"St. Paul's/St. Paul's"," 124","Toronto",117,12,61,35,2,227,369
"St. Paul's/St. Paul's"," 125","Toronto",108,6,42,41,0,197,345
"St. Paul's/St. Paul's"," 126","Toronto",115,12,69,40,2,238,370
"St. Paul's/St. Paul's"," 127","Toronto",93,10,42,29,0,174,270
"St. Paul's/St. Paul's"," 128","Toronto",93,13,60,30,0,196,331
"St. Paul's/St. Paul's"," 129","Toronto",133,17,61,30,0,241,330
"St. Paul's/St. Paul's"," 130","Toronto",80,16,37,28,1,162,427
"St. Paul's/St. Paul's"," 131","Toronto",97,11,54,52,0,214,304
"St. Paul's/St. Paul's"," 132","Toronto",112,11,86,45,0,254,382
"St. Paul's/St. Paul's"," 133","Toronto",101,7,43,29,0,180,266
"St. Paul's/St. Paul's"," 134","Toronto",146,8,61,26,0,241,339
"St. Paul's/St. Paul's"," 135","Toronto",128,5,46,39,1,219,312
"St. Paul's/St. Paul's"," 136","Toronto",91,7,52,22,0,172,272
"St. Paul's/St. Paul's"," 137","Toronto",143,17,63,40,0,263,342
"St. Paul's/St. Paul's"," 138A","Toronto",102,5,43,40,0,190,331
"St. Paul's/St. Paul's"," 138B","Toronto",152,15,59,42,1,269,461
"St. Paul's/St. Paul's"," 139","Toronto",163,12,75,53,2,305,424
"St. Paul's/St. Paul's"," 140","Toronto",143,16,94,70,1,324,462
"St. Paul's/St. Paul's"," 141","Toronto",136,12,92,47,1,288,441
"St. Paul's/St. Paul's"," 142","Toronto",89,9,30,32,0,160,201
"St. Paul's/St. Paul's"," 143","Toronto",144,8,76,41,1,270,387
"St. Paul's/St. Paul's"," 144","Toronto",180,7,59,39,0,285,433
"St. Paul's/St. Paul's"," 145","Toronto",115,30,52,50,0,247,447
"St. Paul's/St. Paul's"," 146","Toronto",163,27,87,61,3,341,506
"St. Paul's/St. Paul's"," 146-1","Toronto",234,30,116,58,1,439,613
"St. Paul's/St. Paul's"," 147","Toronto",212,22,90,88,3,415,687
"St. Paul's/St. Paul's"," 148A","Toronto",139,4,111,33,1,288,506
"St. Paul's/St. Paul's"," 148B","Toronto",119,10,69,43,0,241,429
"St. Paul's/St. Paul's"," 149","Toronto",Void/Supprimé,,,,,,
"St. Paul's/St. Paul's"," 150","Toronto",44,2,38,11,1,96,208
"St. Paul's/St. Paul's"," 151","Toronto",117,65,26,7,1,216,327
"St. Paul's/St. Paul's"," 152","Toronto",Void/Supprimé,,,,,,
"St. Paul's/St. Paul's"," 153","York",92,14,12,50,0,168,230
"St. Paul's/St. Paul's"," 154","York",73,5,33,41,4,156,199
"St. Paul's/St. Paul's"," 155","York",119,4,47,32,1,203,334
"St. Paul's/St. Paul's"," 156","York",140,14,82,61,4,301,545
"St. Paul's/St. Paul's"," 157","Toronto",96,4,65,19,0,184,355
"St. Paul's/St. Paul's"," 158","Toronto",91,7,91,12,1,202,367
"St. Paul's/St. Paul's"," 159","Toronto",110,11,74,35,1,231,428
"St. Paul's/St. Paul's"," 160","Toronto",140,23,102,64,5,334,491
"St. Paul's/St. Paul's"," 161","Toronto",100,3,109,17,0,229,354
"St. Paul's/St. Paul's"," 162","Toronto",85,9,55,28,0,177,344
"St. Paul's/St. Paul's"," 163","Toronto",116,13,91,40,0,260,511
"St. Paul's/St. Paul's"," 164","Toronto",64,5,53,24,1,147,263
"St. Paul's/St. Paul's"," 165","Toronto",99,3,65,18,0,185,315
"St. Paul's/St. Paul's"," 166","Toronto",111,6,43,32,1,193,349
"St. Paul's/St. Paul's"," 167","Toronto",83,3,34,9,0,129,211
"St. Paul's/St. Paul's"," 168","Toronto",103,8,53,25,0,189,373
"St. Paul's/St. Paul's"," 169","Toronto",101,7,77,23,1,209,340
"St. Paul's/St. Paul's"," 170","Toronto",119,18,89,28,0,254,356
"St. Paul's/St. Paul's"," 171","Toronto",104,13,81,31,1,230,393
"St. Paul's/St. Paul's"," 172","Toronto",125,18,76,49,0,268,387
"St. Paul's/St. Paul's"," 173","Toronto",84,6,44,21,1,156,243
"St. Paul's/St. Paul's"," 174","Toronto",106,18,60,36,0,220,340
"St. Paul's/St. Paul's"," 175","Toronto",81,3,61,36,0,181,304
"St. Paul's/St. Paul's"," 176","Toronto",104,8,28,58,1,199,309
"St. Paul's/St. Paul's"," 177","Toronto",152,5,69,53,0,279,444
"St. Paul's/St. Paul's"," 178","Toronto",108,5,45,11,0,169,311
"St. Paul's/St. Paul's"," 179","Toronto",72,6,21,32,0,131,215
"St. Paul's/St. Paul's"," 180","Toronto",99,10,66,51,0,226,381
"St. Paul's/St. Paul's"," 181","Toronto",113,9,39,51,2,214,300
"St. Paul's/St. Paul's"," 182","Toronto",103,5,62,36,1,207,351
"St. Paul's/St. Paul's"," 183","Toronto",76,6,26,58,1,167,252
"St. Paul's/St. Paul's"," 184","Toronto",56,9,15,31,0,111,192
"St. Paul's/St. Paul's"," 185","Toronto",93,13,50,70,0,226,369
"St. Paul's/St. Paul's"," 186","Toronto",107,12,36,77,0,232,380
"St. Paul's/St. Paul's"," 187","Toronto",133,16,27,96,1,273,465
"St. Paul's/St. Paul's"," 188","Toronto",8,2,8,5,0,23,157
"St. Paul's/St. Paul's"," 189","Toronto",Void/Supprimé,,,,,,
"St. Paul's/St. Paul's"," 190A","Toronto",134,9,20,95,2,260,418
"St. Paul's/St. Paul's"," 190B","Toronto",167,7,77,74,5,330,430
"St. Paul's/St. Paul's"," 191","Toronto",156,8,23,141,2,330,524
"St. Paul's/St. Paul's"," 192","Toronto",49,9,14,45,0,117,223
"St. Paul's/St. Paul's"," 193","Toronto",158,9,54,89,3,313,431
"St. Paul's/St. Paul's"," 194","Toronto",102,10,33,88,1,234,393
"St. Paul's/St. Paul's"," 195","Toronto",107,13,18,108,2,248,359
"St. Paul's/St. Paul's"," 196","Toronto",72,6,31,92,0,201,303
"St. Paul's/St. Paul's"," 197","Toronto",100,11,18,64,1,194,323
"St. Paul's/St. Paul's"," 198","Toronto",190,18,22,96,4,330,454
"St. Paul's/St. Paul's"," 199","Toronto",212,20,35,113,4,384,667
"St. Paul's/St. Paul's"," 400","Toronto",84,7,27,24,0,142,236
"St. Paul's/St. Paul's"," 401","Toronto",62,4,30,22,0,118,191
"St. Paul's/St. Paul's"," 402","Toronto",148,50,11,60,0,269,474
"St. Paul's/St. Paul's"," 403","Toronto",105,34,41,11,1,192,294
"St. Paul's/St. Paul's"," 404","Toronto",114,11,35,55,0,215,370
