Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Greg Agar,Pat Davidson,Gary De Boer,John Elliott,Roger Gallaway,Mike Jacobs,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sarnia--Lambton/Sarnia--Lambton"," 1A","Sarnia",29,92,1,1,111,3,1,238,345
"Sarnia--Lambton/Sarnia--Lambton"," 1B","Sarnia",27,103,1,1,99,2,0,233,379
"Sarnia--Lambton/Sarnia--Lambton"," 2","Sarnia",38,110,1,4,97,11,0,261,414
"Sarnia--Lambton/Sarnia--Lambton"," 3","Sarnia",31,129,3,1,104,9,2,279,455
"Sarnia--Lambton/Sarnia--Lambton"," 4","Sarnia",43,92,0,2,94,15,0,246,370
"Sarnia--Lambton/Sarnia--Lambton"," 5","Sarnia",21,118,1,0,94,11,0,245,425
"Sarnia--Lambton/Sarnia--Lambton"," 6","Sarnia",36,107,7,3,100,14,1,268,437
"Sarnia--Lambton/Sarnia--Lambton"," 7","Sarnia",56,107,7,4,84,12,4,274,436
"Sarnia--Lambton/Sarnia--Lambton"," 8","Sarnia",60,78,1,1,101,18,1,260,427
"Sarnia--Lambton/Sarnia--Lambton"," 9","Sarnia",51,79,2,5,99,10,1,247,359
"Sarnia--Lambton/Sarnia--Lambton"," 10","Sarnia",48,91,0,1,86,12,1,239,399
"Sarnia--Lambton/Sarnia--Lambton"," 11","Sarnia",58,64,1,2,97,9,1,232,358
"Sarnia--Lambton/Sarnia--Lambton"," 12","Sarnia",63,79,3,0,103,11,0,259,386
"Sarnia--Lambton/Sarnia--Lambton"," 13","Sarnia",46,83,2,3,103,15,2,254,390
"Sarnia--Lambton/Sarnia--Lambton"," 14","Sarnia",36,69,2,1,76,3,0,187,330
"Sarnia--Lambton/Sarnia--Lambton"," 15","Sarnia",62,91,4,0,104,13,1,275,412
"Sarnia--Lambton/Sarnia--Lambton"," 16","Sarnia",40,80,2,1,87,4,0,214,318
"Sarnia--Lambton/Sarnia--Lambton"," 17","Sarnia",17,56,1,1,76,4,1,156,262
"Sarnia--Lambton/Sarnia--Lambton"," 18","Sarnia",13,104,2,1,91,6,0,217,385
"Sarnia--Lambton/Sarnia--Lambton"," 19","Sarnia",30,120,1,1,126,5,0,283,464
"Sarnia--Lambton/Sarnia--Lambton"," 20","Sarnia",33,98,6,1,89,4,0,231,405
"Sarnia--Lambton/Sarnia--Lambton"," 21","Sarnia",58,97,4,0,108,8,1,276,437
"Sarnia--Lambton/Sarnia--Lambton"," 22","Sarnia",54,80,4,1,99,5,1,244,364
"Sarnia--Lambton/Sarnia--Lambton"," 23","Sarnia",56,65,1,0,88,7,0,217,353
"Sarnia--Lambton/Sarnia--Lambton"," 24","Sarnia",81,105,7,0,96,9,2,300,436
"Sarnia--Lambton/Sarnia--Lambton"," 25","Sarnia",27,82,3,0,89,6,4,211,335
"Sarnia--Lambton/Sarnia--Lambton"," 26","Sarnia",31,61,4,1,91,10,0,198,351
"Sarnia--Lambton/Sarnia--Lambton"," 27","Point Edward",47,79,1,1,126,7,0,261,364
"Sarnia--Lambton/Sarnia--Lambton"," 28","Point Edward",57,59,1,1,115,7,0,240,372
"Sarnia--Lambton/Sarnia--Lambton"," 29","Point Edward",64,95,2,0,143,7,2,313,486
"Sarnia--Lambton/Sarnia--Lambton"," 30","Point Edward",69,74,3,1,107,9,2,265,414
"Sarnia--Lambton/Sarnia--Lambton"," 31","Sarnia",46,68,2,0,67,4,4,191,313
"Sarnia--Lambton/Sarnia--Lambton"," 32","Sarnia",25,54,1,2,72,7,1,162,270
"Sarnia--Lambton/Sarnia--Lambton"," 33","Sarnia",32,43,3,0,42,5,0,125,301
"Sarnia--Lambton/Sarnia--Lambton"," 34","Sarnia",40,66,5,0,98,7,0,216,332
"Sarnia--Lambton/Sarnia--Lambton"," 35","Sarnia",44,81,3,1,82,6,2,219,327
"Sarnia--Lambton/Sarnia--Lambton"," 36","Sarnia",51,53,4,0,66,4,0,178,327
"Sarnia--Lambton/Sarnia--Lambton"," 37","Sarnia",59,91,4,5,87,9,0,255,395
"Sarnia--Lambton/Sarnia--Lambton"," 38","Sarnia",47,94,10,2,78,8,1,240,403
"Sarnia--Lambton/Sarnia--Lambton"," 39","Sarnia",41,82,7,0,85,2,1,218,336
