Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Arthur Bull,Matthew Granger,Ken Griffiths,Greg Kerr,Robert Thibault,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"West Nova/Nova-Ouest"," 1","Canada Creek",18,2,0,23,29,0,72,164
"West Nova/Nova-Ouest"," 2","Harbourville",48,6,0,112,66,1,233,435
"West Nova/Nova-Ouest"," 3","Somerset",38,5,1,91,53,1,189,323
"West Nova/Nova-Ouest"," 4","Somerset",27,6,5,85,81,0,204,354
"West Nova/Nova-Ouest"," 5","Somerset",31,7,4,74,43,1,160,277
"West Nova/Nova-Ouest"," 6","Morristown",65,1,1,105,81,3,256,443
"West Nova/Nova-Ouest"," 7","Berwick West",30,0,0,60,53,0,143,310
"West Nova/Nova-Ouest"," 8A","South Berwick",41,3,4,83,45,1,177,420
"West Nova/Nova-Ouest"," 8B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,24
"West Nova/Nova-Ouest"," 9","Waterville",54,9,2,113,54,2,234,456
"West Nova/Nova-Ouest"," 10","Waterville",34,0,0,46,31,1,112,196
"West Nova/Nova-Ouest"," 11","Waterville",34,8,3,42,25,0,112,236
"West Nova/Nova-Ouest"," 12","Waterville",55,8,5,112,58,1,239,433
"West Nova/Nova-Ouest"," 13","North Alton",Merged with No. 6/Fusionné avec le nº 6,,,,,,,22
"West Nova/Nova-Ouest"," 14","East Dalhousie",33,3,1,38,21,0,96,155
"West Nova/Nova-Ouest"," 15A","Berwick",47,1,3,93,85,3,232,458
"West Nova/Nova-Ouest"," 15B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,18
"West Nova/Nova-Ouest"," 16","Berwick",39,6,2,74,94,0,215,384
"West Nova/Nova-Ouest"," 17A","Berwick",22,4,2,75,64,0,167,313
"West Nova/Nova-Ouest"," 17B","Berwick",32,4,5,50,60,0,151,307
"West Nova/Nova-Ouest"," 18","Berwick",15,3,2,36,25,0,81,205
"West Nova/Nova-Ouest"," 19","Berwick",40,2,1,62,66,1,172,344
"West Nova/Nova-Ouest"," 20","Berwick",15,3,1,53,37,1,110,198
"West Nova/Nova-Ouest"," 21","Aylesford",54,8,6,88,68,0,224,398
"West Nova/Nova-Ouest"," 22","Aylesford",34,2,6,77,54,1,174,292
"West Nova/Nova-Ouest"," 23","Aylesford",52,7,0,96,73,2,230,389
"West Nova/Nova-Ouest"," 24","Kingston",25,7,2,81,84,0,199,367
"West Nova/Nova-Ouest"," 25","Kingston",49,6,3,139,110,0,307,526
"West Nova/Nova-Ouest"," 26","Kingston",48,8,4,68,73,2,203,417
"West Nova/Nova-Ouest"," 27","Kingston",47,3,4,124,171,0,349,654
"West Nova/Nova-Ouest"," 28","Kingston",40,6,1,103,128,0,278,579
"West Nova/Nova-Ouest"," 29","Kingston",39,3,2,73,95,2,214,414
"West Nova/Nova-Ouest"," 30","Greenwood",13,2,3,46,38,0,102,233
"West Nova/Nova-Ouest"," 31","Kingston",42,3,2,60,78,2,187,412
"West Nova/Nova-Ouest"," 32","Greenwood",34,7,2,90,67,0,200,624
"West Nova/Nova-Ouest"," 33A","Greenwood",47,7,5,63,71,0,193,473
"West Nova/Nova-Ouest"," 33B","Greenwood",41,8,1,105,72,0,227,507
"West Nova/Nova-Ouest"," 34","Greenwood",Merged with No. 35/Fusionné avec le nº 35,,,,,,,217
"West Nova/Nova-Ouest"," 35","Greenwood",55,5,1,90,113,1,265,393
"West Nova/Nova-Ouest"," 36","Greenwood",46,4,3,72,100,0,225,482
"West Nova/Nova-Ouest"," 37","Greenwood",44,11,2,119,84,0,260,522
"West Nova/Nova-Ouest"," 38","Auburn",63,3,2,119,81,1,269,451
"West Nova/Nova-Ouest"," 39","Auburn",50,6,3,117,120,2,298,550
"West Nova/Nova-Ouest"," 40","Morristown",60,6,5,130,62,1,264,559
"West Nova/Nova-Ouest"," 41","Port George",49,6,5,81,60,0,201,335
"West Nova/Nova-Ouest"," 42","Margaretsville",57,7,2,75,88,0,229,375
"West Nova/Nova-Ouest"," 43A","Melvern Square",40,6,1,91,91,0,229,365
"West Nova/Nova-Ouest"," 43B","Mobile poll/Bureau itinérant",Merged with No. 500B/Fusionné avec le nº 500B,,,,,,,26
"West Nova/Nova-Ouest"," 44","Melvern Square",37,2,1,74,87,0,201,392
"West Nova/Nova-Ouest"," 45","Wilmot",36,4,1,99,85,0,225,395
"West Nova/Nova-Ouest"," 46","Wilmot",21,2,3,48,42,0,116,237
"West Nova/Nova-Ouest"," 47","Wilmot",36,6,4,87,78,1,212,509
"West Nova/Nova-Ouest"," 48","Lawrencetown",46,4,3,66,77,1,197,392
"West Nova/Nova-Ouest"," 49","Nictaux West",39,4,3,62,94,1,203,312
"West Nova/Nova-Ouest"," 50","Nictaux",31,4,5,90,87,0,217,369
"West Nova/Nova-Ouest"," 51A","Nictaux Falls",33,6,4,56,69,0,168,357
"West Nova/Nova-Ouest"," 51B","Nictaux Falls",25,2,3,70,49,0,149,339
"West Nova/Nova-Ouest"," 52","Middleton",45,6,1,76,79,2,209,429
"West Nova/Nova-Ouest"," 53","Middleton",36,5,3,89,92,0,225,421
"West Nova/Nova-Ouest"," 54","Middleton",23,2,3,57,78,0,163,317
"West Nova/Nova-Ouest"," 55","Middleton",47,4,1,57,61,0,170,301
"West Nova/Nova-Ouest"," 56","Port Lorne",32,1,0,45,43,0,121,205
"West Nova/Nova-Ouest"," 57","Clarence East",30,8,5,71,75,3,192,334
"West Nova/Nova-Ouest"," 58","Lawrencetown",59,20,9,93,122,1,304,458
"West Nova/Nova-Ouest"," 59","South Williamston",36,2,5,69,80,1,193,326
"West Nova/Nova-Ouest"," 60","West Lawrencetown",34,8,3,49,59,0,153,232
"West Nova/Nova-Ouest"," 61","Meadowvale",30,2,1,82,68,0,183,308
"West Nova/Nova-Ouest"," 62","Meadowvale",28,2,1,41,68,2,142,297
"West Nova/Nova-Ouest"," 63","Torbrook",49,7,4,104,66,0,230,346
"West Nova/Nova-Ouest"," 64","Albany",16,2,0,43,36,0,97,176
"West Nova/Nova-Ouest"," 65","Springfield",49,2,2,76,70,1,200,353
"West Nova/Nova-Ouest"," 66","Hampton",51,5,2,49,43,0,150,242
"West Nova/Nova-Ouest"," 67A","Clarence West",26,3,2,61,89,2,183,299
"West Nova/Nova-Ouest"," 67B","Mobile poll/Bureau itinérant",Merged with No. 113B/Fusionné avec le nº 113B,,,,,,,18
"West Nova/Nova-Ouest"," 68","Upper Granville",33,2,3,69,62,0,169,293
"West Nova/Nova-Ouest"," 69","Carleton Corner",35,3,0,61,55,0,154,263
"West Nova/Nova-Ouest"," 70","Carleton Corner",29,2,1,49,74,3,158,283
"West Nova/Nova-Ouest"," 71A","Bridgetown",29,4,2,57,67,0,159,302
"West Nova/Nova-Ouest"," 71B","Bridgetown",25,4,2,63,76,2,172,314
"West Nova/Nova-Ouest"," 72","Bridgetown",25,1,3,44,66,0,139,230
"West Nova/Nova-Ouest"," 73","Round Hill",45,13,3,79,79,1,220,332
"West Nova/Nova-Ouest"," 74","Dalhousie",14,0,1,29,27,1,72,116
"West Nova/Nova-Ouest"," 75","Belleisle",28,4,10,97,94,2,235,350
"West Nova/Nova-Ouest"," 76","Young Cove",28,1,0,71,62,0,162,275
"West Nova/Nova-Ouest"," 77","Hillsburn",44,5,2,99,93,1,244,361
"West Nova/Nova-Ouest"," 78","Granville Ferry",61,9,6,109,113,1,299,554
"West Nova/Nova-Ouest"," 79","Port Wade",50,1,1,58,90,0,200,347
"West Nova/Nova-Ouest"," 80","Deep Brook",43,6,1,116,73,2,241,394
"West Nova/Nova-Ouest"," 81","Clementsport",64,7,15,119,101,0,306,590
"West Nova/Nova-Ouest"," 82","Upper Clements",50,9,4,128,96,0,287,620
"West Nova/Nova-Ouest"," 83","Mochelle",25,3,0,114,72,1,215,329
"West Nova/Nova-Ouest"," 84","Lequille",28,2,2,43,26,0,101,193
"West Nova/Nova-Ouest"," 85","Clementsvale",32,5,5,108,73,0,223,405
"West Nova/Nova-Ouest"," 86","Bear River East",15,0,0,21,27,0,63,145
"West Nova/Nova-Ouest"," 87","Bear River East",36,1,10,97,53,0,197,349
"West Nova/Nova-Ouest"," 88","South Milford",14,1,3,37,24,0,79,173
"West Nova/Nova-Ouest"," 89","Maitland Bridge",8,1,0,23,37,0,69,88
"West Nova/Nova-Ouest"," 90","Annapolis Royal",24,3,0,43,39,0,109,225
"West Nova/Nova-Ouest"," 91","Annapolis Royal",24,2,0,46,44,0,116,206
"West Nova/Nova-Ouest"," 92","Westport",66,6,2,33,32,0,139,228
"West Nova/Nova-Ouest"," 93","Freeport",68,4,2,47,32,2,155,279
"West Nova/Nova-Ouest"," 94","Tiverton",46,4,5,37,59,0,151,209
"West Nova/Nova-Ouest"," 95","East Ferry",32,3,3,38,66,2,144,237
"West Nova/Nova-Ouest"," 96","Sandy Cove",47,3,3,37,52,1,143,275
"West Nova/Nova-Ouest"," 97","Rossway",48,6,8,42,37,1,142,256
"West Nova/Nova-Ouest"," 98","Culloden",28,1,0,34,46,0,109,207
"West Nova/Nova-Ouest"," 99","Mount Pleasant",64,1,6,72,100,2,245,574
"West Nova/Nova-Ouest"," 100","Smiths Cove",47,6,4,74,76,0,207,364
"West Nova/Nova-Ouest"," 101","Bear River",48,8,6,59,83,2,206,399
"West Nova/Nova-Ouest"," 102","Smiths Cove",20,3,0,47,28,2,100,209
"West Nova/Nova-Ouest"," 103","Conway",42,1,5,62,55,0,165,331
"West Nova/Nova-Ouest"," 104","Marshalltown",33,3,3,27,33,0,99,265
"West Nova/Nova-Ouest"," 105","Brighton",52,1,7,55,55,0,170,278
"West Nova/Nova-Ouest"," 106","Plympton",69,6,8,70,76,2,231,420
"West Nova/Nova-Ouest"," 107","North Range",53,0,9,137,59,0,258,463
"West Nova/Nova-Ouest"," 108","Morganville",30,3,20,41,38,0,132,232
"West Nova/Nova-Ouest"," 109","Digby",28,6,1,55,71,1,162,298
"West Nova/Nova-Ouest"," 110","Digby",24,9,8,51,53,0,145,250
"West Nova/Nova-Ouest"," 111","Digby",25,2,1,48,51,0,127,276
"West Nova/Nova-Ouest"," 112","Digby",34,1,4,40,49,1,129,297
"West Nova/Nova-Ouest"," 113A","Digby",20,1,1,31,53,1,107,207
"West Nova/Nova-Ouest"," 113B","Mobile poll/Bureau itinérant",2,0,2,25,23,4,56,86
"West Nova/Nova-Ouest"," 114","Digby",36,2,3,37,51,1,130,261
"West Nova/Nova-Ouest"," 115","Danvers",21,0,6,87,54,2,170,279
"West Nova/Nova-Ouest"," 116","Weymouth",30,3,3,75,60,1,172,335
"West Nova/Nova-Ouest"," 117","Weymouth",79,3,6,100,86,0,274,396
"West Nova/Nova-Ouest"," 118","Ashmore",41,3,7,64,41,0,156,288
"West Nova/Nova-Ouest"," 119","Weymouth",20,2,2,47,27,0,98,175
"West Nova/Nova-Ouest"," 120","New Edinburgh",75,3,4,72,151,4,309,583
"West Nova/Nova-Ouest"," 121","Belliveau Cove",39,5,2,56,94,2,198,277
"West Nova/Nova-Ouest"," 122","Grosses Coques",38,3,2,33,117,2,195,274
"West Nova/Nova-Ouest"," 123","Church Point",58,6,4,23,115,1,207,220
"West Nova/Nova-Ouest"," 124","Little Brook",37,3,4,48,131,1,224,310
"West Nova/Nova-Ouest"," 125","Havelock",25,3,1,113,32,0,174,280
"West Nova/Nova-Ouest"," 126","Corberrie",19,2,1,82,32,3,139,210
"West Nova/Nova-Ouest"," 127","Concession",57,5,4,58,212,3,339,474
"West Nova/Nova-Ouest"," 128","Comeauville",38,1,4,56,150,6,255,355
"West Nova/Nova-Ouest"," 129","Saulnierville",48,3,3,63,127,3,247,370
"West Nova/Nova-Ouest"," 130A","Saulnierville",26,6,3,31,61,1,128,197
"West Nova/Nova-Ouest"," 130B","Mobile poll/Bureau itinérant",6,1,1,10,42,0,60,32
"West Nova/Nova-Ouest"," 131","Saulnierville Station",72,5,1,81,154,2,315,457
"West Nova/Nova-Ouest"," 132","Lower Saulnierville",58,11,6,82,154,5,316,509
"West Nova/Nova-Ouest"," 133","Meteghan River",33,4,2,49,80,2,170,231
"West Nova/Nova-Ouest"," 134","Meteghan Centre",25,1,3,53,114,8,204,291
