Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Don Bell,Michael Hill,Sherry Shaghaghi,Cindy Silver,Jim Stephenson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"North Vancouver/North Vancouver"," 198","North Vancouver",149,1,16,102,6,1,275,472
"North Vancouver/North Vancouver"," 199","North Vancouver",131,0,33,96,29,1,290,461
"North Vancouver/North Vancouver"," 200","North Vancouver",78,1,40,71,15,1,206,322
"North Vancouver/North Vancouver"," 201","North Vancouver",121,0,36,109,21,3,290,424
"North Vancouver/North Vancouver"," 202","North Vancouver",102,2,58,86,39,0,287,407
"North Vancouver/North Vancouver"," 203","North Vancouver",119,1,52,77,35,0,284,422
"North Vancouver/North Vancouver"," 204","North Vancouver",55,0,45,50,24,0,174,324
"North Vancouver/North Vancouver"," 205","North Vancouver",115,3,88,79,29,0,314,485
"North Vancouver/North Vancouver"," 206","North Vancouver",101,1,37,86,21,2,248,384
"North Vancouver/North Vancouver"," 207","North Vancouver",88,0,30,84,20,1,223,345
"North Vancouver/North Vancouver"," 400","North Vancouver",19,1,20,19,1,0,60,92
"North Vancouver/North Vancouver"," 500","Mobile poll/Bureau itinérant",47,3,14,44,7,6,121,65
"North Vancouver/North Vancouver"," 600","North Vancouver",230,0,36,269,23,0,558,
"North Vancouver/North Vancouver"," 601","North Vancouver",155,0,18,192,17,1,383,
"North Vancouver/North Vancouver"," 602","North Vancouver",183,1,41,278,33,0,536,
"North Vancouver/North Vancouver"," 603","North Vancouver",227,2,45,259,26,6,565,
"North Vancouver/North Vancouver"," 604","North Vancouver",234,2,68,197,28,1,530,
"North Vancouver/North Vancouver"," 605","North Vancouver",187,3,46,245,15,0,496,
"North Vancouver/North Vancouver"," 606","North Vancouver",166,1,66,158,32,0,423,
"North Vancouver/North Vancouver"," 607","North Vancouver",208,1,90,211,30,1,541,
"North Vancouver/North Vancouver"," 608","North Vancouver",241,1,47,263,25,0,577,
"North Vancouver/North Vancouver"," 609","North Vancouver",378,0,96,516,35,4,1029,
"North Vancouver/North Vancouver",,Group 1/Groupe 1,52,0,11,31,12,3,109,200
"North Vancouver/North Vancouver",,Group 2/Groupe 2,372,3,51,379,39,4,848,
