Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Bernard Bigras,Marc-André Gadoury,Suzanne Harvey,Chantal Reeves,Michel Sauvé,Hugô St-Onge,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 1","Montréal",116,15,66,14,42,2,5,260,527
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 2","Montréal",110,13,44,23,25,0,1,216,431
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 3","Montréal",87,13,17,23,19,3,0,162,312
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 4","Montréal",130,13,49,21,15,4,5,237,412
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 5","Montréal",129,11,49,21,27,2,2,241,380
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 6","Montréal",129,11,29,27,20,2,5,223,343
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 7","Montréal",105,15,41,19,28,2,4,214,350
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8A","Montréal",102,12,59,25,43,1,3,245,386
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 8B","Montréal",107,8,60,16,32,2,4,229,361
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 9","Montréal",73,14,22,7,23,2,2,143,344
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 10","Montréal",113,12,43,40,26,1,2,237,369
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 11","Montréal",96,12,63,19,22,1,4,217,355
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 12","Montréal",125,12,55,24,33,0,5,254,453
"Rosemont--La Petite-Patrie/Rosemont--La Petite-Patrie"," 13","Montréal",127,19,73,23,25,1,3,271,466
