Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Noel Lapierre,Nancy Love,Rob Merrifield,Monika Schaefer,John Marvin Wierenga,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Yellowhead/Yellowhead"," 158","Evansburg",26,30,164,11,7,1,239,547
"Yellowhead/Yellowhead"," 159","Entwistle",11,9,110,13,4,0,147,225
"Yellowhead/Yellowhead"," 160","Fallis",32,30,169,14,3,0,248,380
"Yellowhead/Yellowhead"," 161","Kapasiwin",38,21,123,13,1,1,197,297
"Yellowhead/Yellowhead"," 162","Smithfield",6,5,101,16,1,0,129,248
"Yellowhead/Yellowhead"," 163","Smithfield",18,19,83,11,0,0,131,190
"Yellowhead/Yellowhead"," 164","Manly Corner",32,20,137,14,6,0,209,307
"Yellowhead/Yellowhead"," 165","Manly Corner",33,12,144,9,1,0,199,289
"Yellowhead/Yellowhead"," 166A","Betula Beach",37,25,186,14,8,1,271,555
"Yellowhead/Yellowhead"," 166B","Betula Beach",43,26,189,27,3,1,289,585
"Yellowhead/Yellowhead"," 167","Carvel",18,9,196,20,3,0,246,408
"Yellowhead/Yellowhead"," 168","Betula Beach",34,93,178,16,6,1,328,524
"Yellowhead/Yellowhead"," 169","Wabamun 133A",12,87,44,7,0,0,150,408
"Yellowhead/Yellowhead"," 170","Wabamun",56,25,257,23,5,3,369,589
"Yellowhead/Yellowhead"," 171","Seba Beach",31,24,191,26,2,1,275,452
"Yellowhead/Yellowhead"," 172","Horen",7,3,112,12,1,1,136,207
"Yellowhead/Yellowhead"," 173","Moon Lake",14,7,213,7,6,0,247,372
"Yellowhead/Yellowhead"," 174","Tomahawk",17,21,189,17,3,0,247,350
"Yellowhead/Yellowhead"," 175","Keephills",3,0,75,4,0,0,82,163
"Yellowhead/Yellowhead"," 176","Brightbank",33,27,229,25,3,1,318,447
"Yellowhead/Yellowhead"," 177","Cynthia",15,15,90,7,3,0,130,333
"Yellowhead/Yellowhead"," 178","Cynthia",13,9,222,11,1,0,256,378
"Yellowhead/Yellowhead"," 179","Rocky Rapids",29,16,283,18,6,1,353,561
"Yellowhead/Yellowhead"," 180","Drayton Valley",21,26,257,15,1,0,320,621
"Yellowhead/Yellowhead"," 181","Drayton Valley",16,6,241,15,0,0,278,464
"Yellowhead/Yellowhead"," 182","Drayton Valley",14,13,97,6,1,0,131,392
"Yellowhead/Yellowhead"," 183","Violet Grove",13,10,286,9,3,0,321,482
"Yellowhead/Yellowhead"," 184","Baptiste River",Merged with No. 177/Fusionné avec le nº 177,,,,,,,2
"Yellowhead/Yellowhead"," 185","Sunchild 202",14,57,39,7,0,2,119,128
"Yellowhead/Yellowhead"," 186","O'Chiese 203",9,154,9,0,1,1,174,254
"Yellowhead/Yellowhead"," 187","Drayton Valley",14,11,121,10,0,2,158,491
"Yellowhead/Yellowhead"," 188","Drayton Valley",16,13,125,11,2,0,167,330
"Yellowhead/Yellowhead"," 189","Drayton Valley",17,7,122,11,3,1,161,416
"Yellowhead/Yellowhead"," 190","Drayton Valley",33,14,199,6,3,0,255,450
"Yellowhead/Yellowhead"," 191A","Drayton Valley",8,5,126,6,1,0,146,318
"Yellowhead/Yellowhead"," 191B","Drayton Valley",6,6,88,6,0,0,106,281
"Yellowhead/Yellowhead"," 192","Drayton Valley",30,18,222,8,3,0,281,493
"Yellowhead/Yellowhead"," 193","Drayton Valley",13,7,130,11,0,0,161,360
"Yellowhead/Yellowhead"," 194","Drayton Valley",15,11,136,15,4,0,181,410
"Yellowhead/Yellowhead"," 195","Drayton Valley",13,10,117,11,0,0,151,329
"Yellowhead/Yellowhead"," 196","Drayton Valley",20,7,110,8,0,0,145,332
