Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Diane Ablonczy,Juliet Burgess,Ted Haney,Bruce Kaufman,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Calgary--Nose Hill/Calgary--Nose Hill"," 37","Calgary",153,26,28,33,0,240,392
"Calgary--Nose Hill/Calgary--Nose Hill"," 38","Calgary",119,5,28,14,0,166,285
"Calgary--Nose Hill/Calgary--Nose Hill"," 39","Calgary",196,20,65,31,1,313,504
"Calgary--Nose Hill/Calgary--Nose Hill"," 40","Calgary",196,11,68,19,0,294,479
"Calgary--Nose Hill/Calgary--Nose Hill"," 41","Calgary",154,13,57,23,0,247,364
"Calgary--Nose Hill/Calgary--Nose Hill"," 42","Calgary",177,16,35,31,1,260,445
"Calgary--Nose Hill/Calgary--Nose Hill"," 43","Calgary",145,16,38,18,0,217,367
"Calgary--Nose Hill/Calgary--Nose Hill"," 44","Calgary",198,16,54,17,0,285,430
"Calgary--Nose Hill/Calgary--Nose Hill"," 45","Calgary",147,17,44,21,2,231,408
"Calgary--Nose Hill/Calgary--Nose Hill"," 46","Calgary",150,10,35,20,0,215,351
"Calgary--Nose Hill/Calgary--Nose Hill"," 47","Calgary",214,10,48,30,1,303,514
"Calgary--Nose Hill/Calgary--Nose Hill"," 48","Calgary",150,27,46,33,0,256,477
"Calgary--Nose Hill/Calgary--Nose Hill"," 49","Calgary",189,9,43,14,0,255,278
"Calgary--Nose Hill/Calgary--Nose Hill"," 50A","Calgary",148,6,23,13,0,190,305
"Calgary--Nose Hill/Calgary--Nose Hill"," 50B","Calgary",Merged with No. 49/Fusionné avec le nº 49,,,,,,166
"Calgary--Nose Hill/Calgary--Nose Hill"," 51","Calgary",157,27,26,23,0,233,356
"Calgary--Nose Hill/Calgary--Nose Hill"," 52","Calgary",254,25,54,25,0,358,531
"Calgary--Nose Hill/Calgary--Nose Hill"," 53","Calgary",167,13,34,22,0,236,398
"Calgary--Nose Hill/Calgary--Nose Hill"," 54","Calgary",178,23,37,21,0,259,371
"Calgary--Nose Hill/Calgary--Nose Hill"," 55","Calgary",178,26,44,23,0,271,444
"Calgary--Nose Hill/Calgary--Nose Hill"," 56A","Calgary",167,19,35,38,0,259,468
"Calgary--Nose Hill/Calgary--Nose Hill"," 56B","Calgary",181,5,35,19,0,240,468
"Calgary--Nose Hill/Calgary--Nose Hill"," 57","Calgary",185,18,42,15,2,262,523
"Calgary--Nose Hill/Calgary--Nose Hill"," 58A","Calgary",160,23,52,27,0,262,451
"Calgary--Nose Hill/Calgary--Nose Hill"," 58B","Calgary",173,19,37,22,0,251,472
"Calgary--Nose Hill/Calgary--Nose Hill"," 59","Calgary",216,21,60,21,2,320,582
"Calgary--Nose Hill/Calgary--Nose Hill"," 60","Calgary",149,10,39,21,1,220,401
"Calgary--Nose Hill/Calgary--Nose Hill"," 61","Calgary",189,12,41,11,0,253,447
"Calgary--Nose Hill/Calgary--Nose Hill"," 62","Calgary",192,12,31,27,0,262,435
"Calgary--Nose Hill/Calgary--Nose Hill"," 63","Calgary",193,15,35,21,1,265,456
"Calgary--Nose Hill/Calgary--Nose Hill"," 64","Calgary",232,15,57,26,1,331,588
"Calgary--Nose Hill/Calgary--Nose Hill"," 65","Calgary",127,8,23,15,0,173,362
"Calgary--Nose Hill/Calgary--Nose Hill"," 66","Calgary",131,8,15,5,0,159,267
"Calgary--Nose Hill/Calgary--Nose Hill"," 67","Calgary",254,17,47,15,1,334,618
"Calgary--Nose Hill/Calgary--Nose Hill"," 68","Calgary",130,15,46,8,0,199,327
"Calgary--Nose Hill/Calgary--Nose Hill"," 69","Calgary",147,5,58,10,0,220,484
"Calgary--Nose Hill/Calgary--Nose Hill"," 70","Calgary",148,4,25,11,0,188,389
"Calgary--Nose Hill/Calgary--Nose Hill"," 71","Calgary",218,17,63,16,0,314,614
"Calgary--Nose Hill/Calgary--Nose Hill"," 72","Calgary",220,18,73,16,2,329,685
"Calgary--Nose Hill/Calgary--Nose Hill"," 73","Calgary",76,4,32,6,1,119,242
"Calgary--Nose Hill/Calgary--Nose Hill"," 74","Calgary",102,8,34,7,0,151,339
"Calgary--Nose Hill/Calgary--Nose Hill"," 75","Calgary",145,14,62,16,1,238,498
"Calgary--Nose Hill/Calgary--Nose Hill"," 76","Calgary",153,13,107,13,1,287,696
"Calgary--Nose Hill/Calgary--Nose Hill"," 77","Calgary",141,9,77,9,0,236,435
"Calgary--Nose Hill/Calgary--Nose Hill"," 78","Calgary",138,11,69,8,0,226,471
"Calgary--Nose Hill/Calgary--Nose Hill"," 79","Calgary",199,15,58,18,0,290,542
"Calgary--Nose Hill/Calgary--Nose Hill"," 80","Calgary",78,8,23,13,1,123,309
"Calgary--Nose Hill/Calgary--Nose Hill"," 81","Calgary",114,10,32,12,0,168,298
"Calgary--Nose Hill/Calgary--Nose Hill"," 82","Calgary",198,27,55,20,2,302,510
"Calgary--Nose Hill/Calgary--Nose Hill"," 83","Calgary",228,27,123,10,0,388,766
"Calgary--Nose Hill/Calgary--Nose Hill"," 84","Calgary",70,9,31,6,0,116,245
"Calgary--Nose Hill/Calgary--Nose Hill"," 85","Calgary",134,15,54,9,1,213,498
"Calgary--Nose Hill/Calgary--Nose Hill"," 86","Calgary",82,10,39,12,0,143,256
