Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Cardin,Claudia Laroche-Martel,Marc Nadeau,Martin Plaisance,Robert Pouliot,Michel Quirion,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sherbrooke/Sherbrooke"," 61","Fleurimont",147,3,46,23,12,8,2,241,452
"Sherbrooke/Sherbrooke"," 62A","Fleurimont",109,1,34,20,15,9,4,192,320
"Sherbrooke/Sherbrooke"," 62B","Fleurimont",121,1,31,17,20,7,3,200,306
"Sherbrooke/Sherbrooke"," 63","Fleurimont",156,4,52,30,14,9,6,271,457
"Sherbrooke/Sherbrooke"," 64","Fleurimont",121,0,48,27,14,10,2,222,398
"Sherbrooke/Sherbrooke"," 65","Fleurimont",104,3,44,15,16,3,1,186,404
"Sherbrooke/Sherbrooke"," 66","Fleurimont",177,1,77,21,16,13,3,308,525
"Sherbrooke/Sherbrooke"," 67A","Fleurimont",150,1,46,23,16,11,1,248,443
"Sherbrooke/Sherbrooke"," 67B","Fleurimont",119,1,44,18,15,11,2,210,422
"Sherbrooke/Sherbrooke"," 68","Fleurimont",Void/Supprimé,,,,,,,,
"Sherbrooke/Sherbrooke"," 69A","Fleurimont",104,1,47,17,14,6,1,190,340
"Sherbrooke/Sherbrooke"," 69B","Fleurimont",95,1,51,13,11,7,2,180,327
"Sherbrooke/Sherbrooke"," 70","Fleurimont",169,2,58,14,15,7,2,267,464
"Sherbrooke/Sherbrooke"," 71","Fleurimont",110,2,66,18,16,7,4,223,403
"Sherbrooke/Sherbrooke"," 72","Fleurimont",129,1,65,21,21,16,1,254,449
"Sherbrooke/Sherbrooke"," 73","Fleurimont",122,1,62,12,22,13,2,234,387
"Sherbrooke/Sherbrooke"," 74A","Fleurimont",133,1,83,11,28,10,1,267,481
"Sherbrooke/Sherbrooke"," 74B","Mobile poll/Bureau itinérant",Merged with No. 505B/Fusionné avec le nº 505B,,,,,,,,66
"Sherbrooke/Sherbrooke"," 75","Fleurimont",157,1,63,29,14,11,4,279,435
"Sherbrooke/Sherbrooke"," 76","Fleurimont",195,3,96,40,31,12,3,380,578
"Sherbrooke/Sherbrooke"," 77","Fleurimont",137,1,45,22,22,14,5,246,393
"Sherbrooke/Sherbrooke"," 78A","Fleurimont",145,0,69,24,12,8,2,260,376
"Sherbrooke/Sherbrooke"," 78B","Fleurimont",144,1,58,17,20,14,4,258,379
"Sherbrooke/Sherbrooke"," 79","Fleurimont",207,0,81,31,33,8,5,365,572
"Sherbrooke/Sherbrooke"," 80A","Fleurimont",165,2,48,22,17,7,4,265,375
"Sherbrooke/Sherbrooke"," 80B","Fleurimont",174,0,37,27,12,12,0,262,375
"Sherbrooke/Sherbrooke"," 81","Fleurimont",207,4,85,34,19,9,1,359,535
"Sherbrooke/Sherbrooke"," 82","Fleurimont",61,1,36,15,8,6,3,130,193
"Sherbrooke/Sherbrooke"," 83","Fleurimont",121,1,58,27,18,9,1,235,329
"Sherbrooke/Sherbrooke"," 84","Sherbrooke",71,1,52,11,21,6,1,163,341
"Sherbrooke/Sherbrooke"," 85","Sherbrooke",173,1,41,25,23,9,2,274,414
"Sherbrooke/Sherbrooke"," 86","Sherbrooke",112,0,27,10,11,5,2,167,367
"Sherbrooke/Sherbrooke"," 87","Sherbrooke",62,1,27,13,34,1,2,140,389
"Sherbrooke/Sherbrooke"," 88","Sherbrooke",84,1,22,14,9,14,1,145,302
"Sherbrooke/Sherbrooke"," 89","Sherbrooke",120,0,35,15,17,11,2,200,444
"Sherbrooke/Sherbrooke"," 90A","Sherbrooke",97,0,52,14,22,6,3,194,335
"Sherbrooke/Sherbrooke"," 90B","Mobile poll/Bureau itinérant",Merged with No. 506/Fusionné avec le nº 506,,,,,,,,21
"Sherbrooke/Sherbrooke"," 91","Sherbrooke",105,3,43,13,22,6,1,193,341
"Sherbrooke/Sherbrooke"," 92","Sherbrooke",129,3,35,6,22,8,8,211,430
"Sherbrooke/Sherbrooke"," 93","Sherbrooke",84,5,26,6,12,12,2,147,301
"Sherbrooke/Sherbrooke"," 94","Sherbrooke",85,1,20,12,16,11,2,147,311
"Sherbrooke/Sherbrooke"," 95","Sherbrooke",88,1,44,10,14,5,3,165,348
"Sherbrooke/Sherbrooke"," 96","Sherbrooke",122,0,28,21,12,9,1,193,378
"Sherbrooke/Sherbrooke"," 97","Sherbrooke",90,1,48,10,17,3,4,173,349
"Sherbrooke/Sherbrooke"," 98","Sherbrooke",63,0,19,13,19,5,1,120,345
"Sherbrooke/Sherbrooke"," 99","Sherbrooke",120,2,33,13,9,2,2,181,431
"Sherbrooke/Sherbrooke"," 100","Sherbrooke",144,0,62,30,30,8,2,276,397
"Sherbrooke/Sherbrooke"," 101","Sherbrooke",89,4,24,14,16,2,1,150,416
"Sherbrooke/Sherbrooke"," 102","Sherbrooke",56,0,24,18,19,2,1,120,310
"Sherbrooke/Sherbrooke"," 103","Sherbrooke",38,0,17,7,3,1,2,68,174
"Sherbrooke/Sherbrooke"," 104A","Sherbrooke",119,2,66,21,53,10,7,278,518
"Sherbrooke/Sherbrooke"," 104B","Sherbrooke",108,1,68,21,62,4,3,267,517
"Sherbrooke/Sherbrooke"," 105","Sherbrooke",109,0,36,24,22,8,3,202,365
"Sherbrooke/Sherbrooke"," 106","Sherbrooke",99,1,32,13,28,12,0,185,382
"Sherbrooke/Sherbrooke"," 107","Sherbrooke",119,1,52,22,23,10,3,230,435
"Sherbrooke/Sherbrooke"," 108","Sherbrooke",127,2,55,30,24,19,2,259,474
"Sherbrooke/Sherbrooke"," 109","Sherbrooke",89,2,23,14,18,6,1,153,317
"Sherbrooke/Sherbrooke"," 110","Sherbrooke",109,0,15,33,16,23,1,197,339
"Sherbrooke/Sherbrooke"," 111","Sherbrooke",124,2,23,40,24,19,3,235,372
"Sherbrooke/Sherbrooke"," 112","Sherbrooke",157,0,27,34,14,20,1,253,412
"Sherbrooke/Sherbrooke"," 113","Sherbrooke",82,1,20,29,18,11,2,163,407
"Sherbrooke/Sherbrooke"," 114","Sherbrooke",76,0,13,15,15,9,1,129,287
"Sherbrooke/Sherbrooke"," 115","Sherbrooke",93,2,11,23,17,15,1,162,317
"Sherbrooke/Sherbrooke"," 116","Sherbrooke",90,1,21,14,12,10,3,151,341
"Sherbrooke/Sherbrooke"," 117","Sherbrooke",119,1,24,26,7,13,1,191,323
"Sherbrooke/Sherbrooke"," 118","Sherbrooke",76,0,17,19,26,10,1,149,335
