Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,James Bender,Zoé Kunschner,Dave MacKenzie,John Markus,Greig Mordue,Kaye Sargent,Ronnee Sykes,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Oxford/Oxford"," 23","Tavistock",0,28,78,0,37,0,6,0,149,247
"Oxford/Oxford"," 24","Tavistock",1,8,71,6,71,0,3,0,160,225
"Oxford/Oxford"," 25","Cassel",4,18,95,8,53,0,5,0,183,294
"Oxford/Oxford"," 26","Hickson",3,27,98,3,46,0,3,0,180,304
"Oxford/Oxford"," 27","Huntingford",1,14,59,0,31,0,4,1,110,161
"Oxford/Oxford"," 28","Hickson",3,22,69,1,40,1,5,2,143,239
"Oxford/Oxford"," 29","Hickson",1,30,74,5,57,2,1,0,170,270
"Oxford/Oxford"," 30","Willow Lake",3,40,113,4,55,0,2,0,217,298
"Oxford/Oxford"," 31A","East Zorra-Tavistock",1,29,90,4,56,0,3,0,183,294
"Oxford/Oxford"," 31B","East Zorra-Tavistock",3,29,95,8,59,0,2,0,196,307
"Oxford/Oxford"," 32","East Zorra-Tavistock",0,21,103,8,46,1,4,1,184,275
"Oxford/Oxford"," 33","Innerkip",4,54,170,3,90,2,9,0,332,488
"Oxford/Oxford"," 34","Innerkip",7,43,132,8,59,1,7,0,257,384
"Oxford/Oxford"," 35","Ratho",2,51,132,5,90,0,6,1,287,469
"Oxford/Oxford"," 36A","Plattsville",2,37,126,4,88,0,11,2,270,419
"Oxford/Oxford"," 36B","Plattsville",3,42,93,1,66,1,13,3,222,299
"Oxford/Oxford"," 37","Plattsville",2,42,134,2,49,1,9,0,239,369
"Oxford/Oxford"," 38","Washington",0,20,94,3,68,0,13,0,198,312
"Oxford/Oxford"," 39","Bright",4,31,100,4,78,1,11,0,229,352
"Oxford/Oxford"," 40","Maple Lake Park",2,17,54,1,23,0,0,0,97,181
"Oxford/Oxford"," 41","Drumbo",3,45,121,3,102,1,6,2,283,479
"Oxford/Oxford"," 42","Wolverton",3,28,93,1,118,1,12,2,258,404
"Oxford/Oxford"," 43","Richwood",4,37,68,8,71,0,8,0,196,293
"Oxford/Oxford"," 44","Blandford-Blenheim",1,33,99,1,47,0,14,2,197,301
"Oxford/Oxford"," 45","Princeton",5,23,70,1,73,0,9,0,181,268
"Oxford/Oxford"," 46","Princeton",6,47,113,3,89,2,8,0,268,467
"Oxford/Oxford"," 47","Forest Estates",3,46,89,9,48,0,7,2,204,325
"Oxford/Oxford"," 48A","Bond's Corners",3,33,138,1,70,2,10,1,258,424
"Oxford/Oxford"," 48B","Bond's Corners",2,36,126,5,56,0,3,0,228,374
"Oxford/Oxford"," 49","Eastwood",4,23,95,10,58,1,7,0,198,332
"Oxford/Oxford"," 50","Woodstock",3,50,73,3,70,3,7,0,209,368
"Oxford/Oxford"," 51","Woodstock",3,11,33,1,35,2,3,1,89,274
"Oxford/Oxford"," 52","Woodstock",1,16,93,3,79,0,5,0,197,335
"Oxford/Oxford"," 53","Woodstock",5,30,88,5,42,2,5,0,177,338
"Oxford/Oxford"," 54","Woodstock",4,55,76,4,57,0,8,1,205,356
"Oxford/Oxford"," 55","Woodstock",2,30,97,6,77,0,1,1,214,365
"Oxford/Oxford"," 56","Woodstock",0,26,65,5,79,1,9,0,185,316
"Oxford/Oxford"," 57","Woodstock",3,34,51,3,49,1,9,0,150,300
"Oxford/Oxford"," 58","Woodstock",2,37,85,0,63,0,2,0,189,335
"Oxford/Oxford"," 59","Woodstock",1,62,108,2,71,2,5,2,253,411
"Oxford/Oxford"," 60","Woodstock",1,53,141,10,77,2,5,0,289,459
"Oxford/Oxford"," 61","Woodstock",3,43,85,5,50,1,4,1,192,436
"Oxford/Oxford"," 62A","Woodstock",0,25,43,2,38,1,3,0,112,262
"Oxford/Oxford"," 62B","Woodstock",3,35,64,4,56,0,4,1,167,324
"Oxford/Oxford"," 63A","Woodstock",0,28,67,0,56,0,2,0,153,293
"Oxford/Oxford"," 63B","Woodstock",2,27,121,4,70,0,9,0,233,397
"Oxford/Oxford"," 64A","Woodstock",1,35,100,5,57,0,3,2,203,300
"Oxford/Oxford"," 64B","Woodstock",2,20,108,6,70,0,3,2,211,317
"Oxford/Oxford"," 65","Woodstock",2,31,78,1,52,4,6,0,174,269
"Oxford/Oxford"," 66A","Woodstock",1,32,78,2,52,0,8,0,173,278
"Oxford/Oxford"," 66B","Woodstock",2,31,75,6,74,0,2,0,190,308
"Oxford/Oxford"," 67","Woodstock",4,65,77,5,47,1,6,0,205,425
"Oxford/Oxford"," 68","Woodstock",1,49,99,2,71,1,10,1,234,367
"Oxford/Oxford"," 69","Woodstock",6,40,147,8,53,3,7,1,265,411
"Oxford/Oxford"," 70","Woodstock",4,45,59,6,50,0,3,0,167,366
"Oxford/Oxford"," 71","Woodstock",8,55,87,10,63,0,11,3,237,480
"Oxford/Oxford"," 72","Woodstock",6,43,85,5,66,0,5,1,211,387
"Oxford/Oxford"," 73","Woodstock",7,40,56,1,25,1,4,0,134,292
"Oxford/Oxford"," 74","Woodstock",3,39,42,3,22,0,1,0,110,309
"Oxford/Oxford"," 75","Woodstock",8,36,53,1,84,1,6,1,190,469
"Oxford/Oxford"," 76","Woodstock",4,40,76,7,66,0,6,1,200,373
"Oxford/Oxford"," 77","Woodstock",2,29,97,5,94,1,11,2,241,424
"Oxford/Oxford"," 78","Woodstock",2,62,89,2,86,3,12,1,257,423
"Oxford/Oxford"," 79","Woodstock",1,54,124,12,111,1,6,0,309,435
"Oxford/Oxford"," 80","Woodstock",12,49,68,0,31,0,4,0,164,418
"Oxford/Oxford"," 81","Woodstock",4,38,68,3,66,0,6,2,187,375
"Oxford/Oxford"," 82","Woodstock",2,38,95,6,71,0,4,0,216,360
"Oxford/Oxford"," 83","Woodstock",2,49,119,8,63,3,5,0,249,399
"Oxford/Oxford"," 84","Woodstock",4,54,122,6,79,2,7,0,274,413
"Oxford/Oxford"," 85","Woodstock",10,62,113,5,47,2,1,0,240,410
"Oxford/Oxford"," 86","Woodstock",3,35,93,3,77,2,2,0,215,360
"Oxford/Oxford"," 87","Woodstock",8,41,112,3,73,0,7,1,245,428
"Oxford/Oxford"," 88","Woodstock",2,28,93,2,88,2,3,1,219,360
"Oxford/Oxford"," 89","Woodstock",4,52,75,9,52,2,7,0,201,393
"Oxford/Oxford"," 90","Woodstock",0,36,60,5,37,2,7,1,148,310
"Oxford/Oxford"," 91","Woodstock",1,44,64,3,39,0,5,0,156,304
"Oxford/Oxford"," 92","Woodstock",3,46,68,4,40,0,3,0,164,326
"Oxford/Oxford"," 93","Woodstock",2,38,91,5,57,1,0,1,195,334
"Oxford/Oxford"," 94","Woodstock",5,56,134,9,70,1,14,0,289,536
"Oxford/Oxford"," 95A","Woodstock",10,53,103,4,64,1,2,1,238,396
"Oxford/Oxford"," 95B","Woodstock",4,59,111,8,65,1,6,0,254,461
"Oxford/Oxford"," 96","Woodstock",1,65,129,11,117,0,4,0,327,547
"Oxford/Oxford"," 97","Woodstock",7,51,59,11,51,2,6,0,187,343
"Oxford/Oxford"," 98","Woodstock",6,47,75,4,37,0,3,1,173,366
"Oxford/Oxford"," 99","Woodstock",9,26,68,2,43,0,3,0,151,378
"Oxford/Oxford"," 100","Woodstock",6,57,61,8,39,3,1,0,175,374
"Oxford/Oxford"," 101","Woodstock",7,69,81,2,40,1,1,0,201,385
"Oxford/Oxford"," 102","Woodstock",1,35,62,14,39,1,3,0,155,262
"Oxford/Oxford"," 103","Woodstock",0,22,38,0,18,0,1,0,79,137
"Oxford/Oxford"," 104A","Woodstock",3,11,62,6,29,5,2,7,125,277
"Oxford/Oxford"," 104B","Woodstock",3,35,34,5,35,1,5,0,118,242
"Oxford/Oxford"," 105","Woodstock",4,57,111,7,55,0,7,0,241,416
