Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Karan Bowyer,Stockwell Day,John Harrop,David Perry,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 1","Logan Lake",15,136,54,61,1,267,411
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 2","Logan Lake",15,147,86,82,1,331,491
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 3","Logan Lake",11,142,82,73,0,308,474
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 4","Logan Lake",12,102,60,60,0,234,392
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 5","Nicola Forest",Merged with No. 7/Fusionné avec le nº 7,,,,,,97
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 6","Lower Nicola",10,99,51,38,0,198,302
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 7","Lower Nicola",12,75,51,44,0,182,236
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 8A","Lower Nicola",14,52,46,30,0,142,345
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 8B","Lower Nicola",8,95,26,33,0,162,360
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 9","Coldwater 1",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 10","Aspen Grove",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 11","Merritt",10,138,82,68,1,299,567
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 12","Lower Nicola",10,40,53,50,1,154,373
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 13","Quilchena",11,59,50,55,0,175,306
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 14","Douglas Lake",Void/Supprimé,,,,,,
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 15","Merritt",3,81,33,43,1,161,352
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 16A","Merritt",2,86,30,37,0,155,295
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 16B","Merritt",9,84,34,39,0,166,295
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 17","Merritt",7,133,62,51,1,254,453
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 18A","Merritt",2,63,27,31,0,123,266
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 18B","Merritt",9,51,28,32,0,120,269
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 19A","Merritt",2,62,24,27,1,116,290
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 19B","Merritt",4,62,30,22,0,118,292
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 20","Merritt",13,78,53,39,1,184,408
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 21","Merritt",6,70,52,44,0,172,410
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 22A","Merritt",9,71,49,42,1,172,400
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 22B","Merritt",0,10,4,3,0,17,23
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 23","Merritt",8,50,48,37,0,143,355
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 24A","Merritt",5,57,35,28,0,125,292
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 24B","Merritt",2,60,26,33,1,122,273
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 25","Merritt",14,81,61,42,0,198,461
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 26","Fintry",26,103,43,44,0,216,344
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 27A","Fintry",19,50,29,17,0,115,225
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 27B","Fintry",17,42,27,18,0,104,221
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 28A","Wilson Landing",23,93,29,39,0,184,367
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 28B","Wilson Landing",20,71,27,35,0,153,347
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 29","Glenrosa",11,82,17,23,0,133,226
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30A","Glenrosa",14,135,40,49,3,241,482
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 30B","Glenrosa",29,155,38,43,1,266,504
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 31A","Peachland",15,94,19,23,0,151,281
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 31B","Peachland",11,97,30,42,0,180,308
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 32A","Peachland",14,67,22,29,1,133,249
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 32B","Peachland",13,76,23,31,2,145,280
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 33","Peachland",15,120,40,57,1,233,431
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 34A","Peachland",12,92,29,40,0,173,285
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 34B","Peachland",17,61,21,31,0,130,262
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 35","Peachland",37,126,57,44,1,265,467
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 36","Peachland",15,115,59,52,0,241,462
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 37","Peachland",17,155,52,54,0,278,490
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 38","Peachland",14,92,31,43,0,180,285
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 39","Peachland",10,71,17,26,0,124,240
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 40","Glenrosa",32,103,49,67,0,251,442
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 41","Glenrosa",32,132,56,45,0,265,508
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 42","Glenrosa",20,110,53,41,0,224,392
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 43","Glenrosa",11,108,34,48,0,201,393
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 44","Glenrosa",37,77,42,31,0,187,398
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 45","Glenrosa",15,134,49,61,0,259,415
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 46","Glenrosa",19,101,42,45,0,207,423
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 47","Westbank",19,101,37,39,1,197,413
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48A","Westbank",14,128,31,59,0,232,391
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48B","Westbank",20,149,27,57,0,253,436
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 48C","Westbank",16,120,40,51,1,228,432
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 49","Westbank",24,111,47,47,0,229,491
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 50","Westbank",13,83,51,30,1,178,360
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 51A","Tsinstikeptum 9",12,124,29,70,0,235,483
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 51B","Tsinstikeptum 9",9,129,36,53,0,227,458
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 52","Tsinstikeptum 9",12,135,65,66,1,279,590
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 53","Lakeview Heights",20,111,36,58,0,225,418
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 54","Lakeview Heights",19,146,64,75,1,305,522
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 55","Lakeview Heights",22,151,27,58,0,258,468
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 56","Lakeview Heights",Merged with No. 69/Fusionné avec le nº 69,,,,,,105
"Okanagan--Coquihalla/Okanagan--Coquihalla"," 57","Lakeview Heights",12,119,24,61,0,216,412
