Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nazir Ahmad,Niki Christina Ashton,Brad Bodnar,Bev Desjarlais,Jeff Fountain,Tina Keeper,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Churchill/Churchill"," 1","Lac Brochet",1,44,2,1,1,178,0,227,383
"Churchill/Churchill"," 2","Tadoule Lake",0,26,0,2,1,92,2,123,201
"Churchill/Churchill"," 3","Churchill",19,58,0,10,4,71,0,162,317
"Churchill/Churchill"," 4","Churchill",11,77,2,20,1,69,2,182,379
"Churchill/Churchill"," 5","Brochet",3,37,0,6,1,66,2,115,256
"Churchill/Churchill"," 6","South Indian Lake",11,87,1,6,0,56,1,162,454
"Churchill/Churchill"," 7","Lynn Lake",Merged with No. 8/Fusionné avec le nº 8,,,,,,,,151
"Churchill/Churchill"," 8","Lynn Lake",40,64,2,30,4,78,0,218,292
"Churchill/Churchill"," 8-1","Granville Lake",Merged with No. 9/Fusionné avec le nº 9,,,,,,,,27
"Churchill/Churchill"," 9","Pukatawagan",7,70,0,8,1,181,4,271,612
"Churchill/Churchill"," 10","Leaf Rapids",28,47,0,20,1,64,0,160,383
"Churchill/Churchill"," 11A","Nelson House",Merged with No. 12A/Fusionné avec le nº 12A,,,,,,,,136
"Churchill/Churchill"," 11B","Nelson House",Merged with No. 12B/Fusionné avec le nº 12B,,,,,,,,148
"Churchill/Churchill"," 12A","Nelson House",9,113,1,9,3,123,4,262,431
"Churchill/Churchill"," 12B","Nelson House",3,109,3,14,2,166,3,300,450
"Churchill/Churchill"," 13","Paint Lake",28,23,1,34,5,24,0,115,192
"Churchill/Churchill"," 14","Wabowden",22,81,0,46,2,61,1,213,408
"Churchill/Churchill"," 15","Thompson",39,59,1,51,2,56,0,208,335
"Churchill/Churchill"," 16A","Thompson",15,65,0,26,2,38,0,146,314
"Churchill/Churchill"," 16B","Thompson",20,56,0,35,3,28,0,142,330
"Churchill/Churchill"," 17","Thompson",38,71,1,66,11,53,2,242,397
"Churchill/Churchill"," 18","Thompson",38,89,1,78,9,35,1,251,425
"Churchill/Churchill"," 19","Thompson",28,50,3,50,6,16,0,153,295
"Churchill/Churchill"," 20","Thompson",24,64,1,41,2,26,0,158,273
"Churchill/Churchill"," 21","Thompson",7,48,0,49,3,9,1,117,194
"Churchill/Churchill"," 22","Thompson",28,41,1,71,7,31,0,179,313
"Churchill/Churchill"," 23","Thompson",11,57,0,38,4,36,1,147,436
"Churchill/Churchill"," 24","Thompson",22,48,0,29,5,29,0,133,270
"Churchill/Churchill"," 25","Thompson",16,75,2,55,8,70,2,228,451
"Churchill/Churchill"," 26","Thompson",10,48,0,17,4,41,1,121,341
"Churchill/Churchill"," 27","Thompson",3,54,0,13,3,20,1,94,254
"Churchill/Churchill"," 28","Thompson",21,72,2,84,7,22,0,208,421
"Churchill/Churchill"," 29","Thompson",16,51,0,24,5,20,1,117,313
