Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rick Casson,Michael Cormican,Howard Forsyth,Andrea Sheridan,Marc Slingerland,Melanee Thomas,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Lethbridge/Lethbridge"," 1","Barons",127,11,4,12,1,29,1,185,464
"Lethbridge/Lethbridge"," 2","Barons",24,1,0,1,3,7,0,36,231
"Lethbridge/Lethbridge"," 3","Turin",79,4,6,4,2,10,1,106,235
"Lethbridge/Lethbridge"," 4","Iron Springs",170,11,1,2,30,11,1,226,324
"Lethbridge/Lethbridge"," 5","Keho",118,10,1,3,101,5,0,238,305
"Lethbridge/Lethbridge"," 6","Nobleford",92,2,0,5,10,8,0,117,156
"Lethbridge/Lethbridge"," 7","Nobleford",179,23,3,15,43,29,0,292,466
"Lethbridge/Lethbridge"," 8","Monarch",170,11,2,8,60,19,0,270,370
"Lethbridge/Lethbridge"," 9","Shaughnessy",185,17,4,9,73,23,0,311,466
"Lethbridge/Lethbridge"," 10","Shaughnessy",159,14,3,4,20,20,1,221,388
"Lethbridge/Lethbridge"," 11","Picture Butte",118,7,1,2,11,11,0,150,216
"Lethbridge/Lethbridge"," 12","Picture Butte",267,23,4,4,15,30,0,343,540
"Lethbridge/Lethbridge"," 13","Picture Butte",151,15,1,3,14,17,1,202,299
"Lethbridge/Lethbridge"," 14","Coalhurst",249,32,7,11,46,43,1,389,554
"Lethbridge/Lethbridge"," 15A","Coalhurst",154,24,1,4,10,28,2,223,404
"Lethbridge/Lethbridge"," 15B","Coalhurst",131,15,4,8,10,23,1,192,347
"Lethbridge/Lethbridge"," 16","Coalhurst",112,13,1,5,17,23,0,171,285
"Lethbridge/Lethbridge"," 17","Sunnyside",115,12,1,6,6,14,2,156,214
"Lethbridge/Lethbridge"," 18","Broxburn",142,13,3,1,13,13,0,185,244
"Lethbridge/Lethbridge"," 19","Coaldale",187,8,4,6,49,25,1,280,424
"Lethbridge/Lethbridge"," 20","Tempest",120,5,6,7,54,10,1,203,306
"Lethbridge/Lethbridge"," 21","Barnwell South",18,2,0,0,2,1,0,23,100
"Lethbridge/Lethbridge"," 22","Tempest",121,19,2,4,13,8,0,167,300
"Lethbridge/Lethbridge"," 23","Wilson",114,11,1,5,17,13,0,161,279
"Lethbridge/Lethbridge"," 24","Stewart",212,18,5,13,13,34,3,298,523
"Lethbridge/Lethbridge"," 25","Coaldale",136,14,2,3,14,20,0,189,369
"Lethbridge/Lethbridge"," 26","Coaldale",176,13,2,3,23,14,0,231,388
"Lethbridge/Lethbridge"," 27","Coaldale",150,21,6,14,18,21,1,231,409
"Lethbridge/Lethbridge"," 28","Coaldale",149,17,4,10,11,23,0,214,463
"Lethbridge/Lethbridge"," 29","Coaldale",160,20,4,10,11,28,4,237,420
"Lethbridge/Lethbridge"," 30","Coaldale",162,21,5,6,24,28,0,246,408
"Lethbridge/Lethbridge"," 31","Coaldale",149,13,0,1,5,19,0,187,287
"Lethbridge/Lethbridge"," 32","Coaldale",180,14,2,6,14,18,0,234,415
"Lethbridge/Lethbridge"," 33","Coaldale",199,15,2,9,18,23,1,267,472
"Lethbridge/Lethbridge"," 34","Coaldale",147,21,5,1,13,22,0,209,381
"Lethbridge/Lethbridge"," 35","Coaldale",210,21,5,8,23,22,0,289,473
"Lethbridge/Lethbridge"," 36","Lethbridge",119,28,8,11,4,40,2,212,399
"Lethbridge/Lethbridge"," 37","Lethbridge",250,41,3,13,11,36,0,354,678
"Lethbridge/Lethbridge"," 38A","Lethbridge",192,18,4,5,5,33,0,257,451
"Lethbridge/Lethbridge"," 38B","Lethbridge",283,37,5,13,7,43,1,389,725
"Lethbridge/Lethbridge"," 39","Lethbridge",103,26,0,3,3,20,0,155,346
"Lethbridge/Lethbridge"," 40","Lethbridge",213,31,5,7,5,21,0,282,486
"Lethbridge/Lethbridge"," 41","Lethbridge",130,9,3,6,4,22,1,175,374
"Lethbridge/Lethbridge"," 42","Lethbridge",127,22,5,8,1,24,1,188,347
"Lethbridge/Lethbridge"," 43","Lethbridge",163,31,3,12,6,49,0,264,498
"Lethbridge/Lethbridge"," 44","Lethbridge",95,35,4,5,2,30,0,171,316
"Lethbridge/Lethbridge"," 45","Lethbridge",120,30,2,5,3,25,2,187,391
"Lethbridge/Lethbridge"," 46","Lethbridge",82,11,3,3,5,22,0,126,245
"Lethbridge/Lethbridge"," 47","Lethbridge",72,17,2,2,1,15,0,109,253
"Lethbridge/Lethbridge"," 48","Lethbridge",103,18,2,5,6,27,1,162,388
"Lethbridge/Lethbridge"," 49","Lethbridge",114,30,1,9,2,29,0,185,439
"Lethbridge/Lethbridge"," 50","Lethbridge",126,33,2,3,3,34,1,202,405
"Lethbridge/Lethbridge"," 51","Lethbridge",118,33,1,7,3,23,0,185,380
"Lethbridge/Lethbridge"," 52","Lethbridge",109,26,1,11,4,28,0,179,428
"Lethbridge/Lethbridge"," 53","Lethbridge",174,34,5,11,4,39,1,268,491
"Lethbridge/Lethbridge"," 54","Lethbridge",177,34,2,9,8,48,0,278,438
"Lethbridge/Lethbridge"," 55","Lethbridge",121,23,5,10,4,33,1,197,367
"Lethbridge/Lethbridge"," 56","Lethbridge",67,19,0,4,1,14,0,105,193
"Lethbridge/Lethbridge"," 57","Lethbridge",128,9,3,4,0,33,2,179,331
"Lethbridge/Lethbridge"," 58","Lethbridge",111,22,3,5,5,50,0,196,328
"Lethbridge/Lethbridge"," 59","Lethbridge",108,37,3,7,7,22,0,184,394
"Lethbridge/Lethbridge"," 60","Lethbridge",167,40,5,5,8,39,0,264,508
"Lethbridge/Lethbridge"," 61","Lethbridge",133,24,4,3,6,50,3,223,461
"Lethbridge/Lethbridge"," 62","Lethbridge",125,21,3,6,4,29,0,188,415
"Lethbridge/Lethbridge"," 63","Lethbridge",100,29,2,7,3,28,0,169,302
"Lethbridge/Lethbridge"," 64","Lethbridge",89,22,2,9,2,21,0,145,265
"Lethbridge/Lethbridge"," 65","Lethbridge",144,23,3,13,11,19,1,214,384
"Lethbridge/Lethbridge"," 66","Lethbridge",119,28,2,3,4,18,0,174,370
"Lethbridge/Lethbridge"," 67","Lethbridge",126,33,2,4,2,37,2,206,386
"Lethbridge/Lethbridge"," 68","Lethbridge",158,34,4,8,11,35,0,250,405
"Lethbridge/Lethbridge"," 69","Lethbridge",128,26,3,7,5,38,0,207,447
"Lethbridge/Lethbridge"," 70","Lethbridge",150,31,5,13,8,40,2,249,507
"Lethbridge/Lethbridge"," 71","Lethbridge",120,34,5,11,5,42,0,217,481
"Lethbridge/Lethbridge"," 72","Lethbridge",84,39,1,10,2,32,1,169,371
"Lethbridge/Lethbridge"," 73","Lethbridge",148,18,3,7,6,41,0,223,457
"Lethbridge/Lethbridge"," 74","Lethbridge",99,30,4,7,4,25,0,169,343
"Lethbridge/Lethbridge"," 75","Lethbridge",111,27,7,17,7,43,0,212,462
"Lethbridge/Lethbridge"," 76","Lethbridge",116,30,3,7,5,43,0,204,451
"Lethbridge/Lethbridge"," 77","Lethbridge",216,54,4,26,1,73,0,374,668
"Lethbridge/Lethbridge"," 78","Lethbridge",Void/Supprimé,,,,,,,,
"Lethbridge/Lethbridge"," 79A","Lethbridge",387,72,6,18,6,80,0,569,992
"Lethbridge/Lethbridge"," 79B","Mobile poll/Bureau itinérant",Merged with No. 111B/Fusionné avec le nº 111B,,,,,,,,95
"Lethbridge/Lethbridge"," 80","Lethbridge",258,43,7,14,7,64,1,394,711
"Lethbridge/Lethbridge"," 81","Lethbridge",132,29,4,11,1,56,0,233,405
"Lethbridge/Lethbridge"," 82","Lethbridge",279,43,5,17,2,50,2,398,644
"Lethbridge/Lethbridge"," 83","Lethbridge",106,28,1,8,4,41,0,188,417
"Lethbridge/Lethbridge"," 84","Lethbridge",157,57,1,19,3,39,0,276,437
"Lethbridge/Lethbridge"," 85","Lethbridge",238,40,5,8,2,66,1,360,663
"Lethbridge/Lethbridge"," 86","Lethbridge",177,43,2,6,6,53,1,288,491
"Lethbridge/Lethbridge"," 87","Lethbridge",272,53,5,12,5,89,1,437,720
"Lethbridge/Lethbridge"," 88","Lethbridge",218,47,6,19,7,63,1,361,639
"Lethbridge/Lethbridge"," 89","Lethbridge",230,33,6,17,5,59,1,351,597
"Lethbridge/Lethbridge"," 90","Lethbridge",162,46,2,16,1,34,1,262,436
"Lethbridge/Lethbridge"," 91","Lethbridge",156,40,6,5,0,27,0,234,366
"Lethbridge/Lethbridge"," 92","Lethbridge",133,35,3,4,4,30,2,211,538
"Lethbridge/Lethbridge"," 93","Lethbridge",176,57,2,9,7,38,0,289,643
"Lethbridge/Lethbridge"," 94","Lethbridge",74,27,2,8,3,31,0,145,301
"Lethbridge/Lethbridge"," 95","Lethbridge",100,38,7,10,2,56,1,214,367
"Lethbridge/Lethbridge"," 96","Lethbridge",117,29,1,8,4,44,1,204,389
