Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Adam Campbell,Ellen Parker,Kevin A. Sorenson,Cameron Wigmore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Crowfoot/Crowfoot"," 1","Hay Lakes",21,19,230,12,0,282,498
"Crowfoot/Crowfoot"," 2","Hay Lakes",6,20,112,11,0,149,275
"Crowfoot/Crowfoot"," 3","Hay Lakes Rural",6,9,78,8,0,101,139
"Crowfoot/Crowfoot"," 4","Armena",8,24,176,13,0,221,339
"Crowfoot/Crowfoot"," 5","Round Hill",23,32,198,16,0,269,411
"Crowfoot/Crowfoot"," 6","Bittern Lake",16,25,221,7,0,269,433
"Crowfoot/Crowfoot"," 7","Camrose Rural",15,21,162,9,0,207,349
"Crowfoot/Crowfoot"," 8","Bawlf Rural",6,12,182,11,5,216,329
"Crowfoot/Crowfoot"," 9","Bittern Lake Rural",8,13,112,5,0,138,201
"Crowfoot/Crowfoot"," 10","Ohaton",8,24,191,12,0,235,414
"Crowfoot/Crowfoot"," 11","New Norway",25,23,231,17,1,297,525
"Crowfoot/Crowfoot"," 12","Kelsey",10,10,155,14,1,190,345
"Crowfoot/Crowfoot"," 13","Bawlf",15,19,173,11,0,218,390
"Crowfoot/Crowfoot"," 14","Ferintosh",15,20,215,15,0,265,453
"Crowfoot/Crowfoot"," 15","Edberg",19,11,178,15,0,223,368
"Crowfoot/Crowfoot"," 16","Rosalind",18,9,189,8,0,224,338
"Crowfoot/Crowfoot"," 17","Bashaw Rural",7,5,65,2,0,79,133
"Crowfoot/Crowfoot"," 18A","Bashaw",14,20,172,18,1,225,365
"Crowfoot/Crowfoot"," 18B","Bashaw",4,16,191,3,0,214,332
"Crowfoot/Crowfoot"," 19","Bashaw--Meeting Creek",6,22,193,6,0,227,366
"Crowfoot/Crowfoot"," 20","Camrose",19,50,202,9,1,281,468
"Crowfoot/Crowfoot"," 21","Camrose",9,24,167,5,0,205,448
"Crowfoot/Crowfoot"," 22","Camrose",10,29,200,14,0,253,547
"Crowfoot/Crowfoot"," 23","Camrose",6,12,88,15,0,121,249
"Crowfoot/Crowfoot"," 24","Camrose",14,34,150,8,0,206,380
"Crowfoot/Crowfoot"," 25","Camrose",21,37,202,17,0,277,537
"Crowfoot/Crowfoot"," 26","Camrose",14,30,137,10,0,191,407
"Crowfoot/Crowfoot"," 27","Camrose",14,43,162,5,1,225,418
"Crowfoot/Crowfoot"," 28","Camrose",4,17,72,7,0,100,227
"Crowfoot/Crowfoot"," 29","Camrose",13,24,125,8,0,170,293
"Crowfoot/Crowfoot"," 30","Camrose",7,20,64,7,0,98,283
"Crowfoot/Crowfoot"," 31","Camrose",20,33,229,9,1,292,513
"Crowfoot/Crowfoot"," 32","Camrose",16,39,145,14,0,214,368
"Crowfoot/Crowfoot"," 33","Camrose",16,27,189,14,0,246,433
"Crowfoot/Crowfoot"," 34","Camrose",7,33,125,12,3,180,404
"Crowfoot/Crowfoot"," 35","Camrose",18,24,178,12,0,232,432
"Crowfoot/Crowfoot"," 36","Camrose",22,47,152,16,0,237,438
"Crowfoot/Crowfoot"," 37A","Camrose",18,61,150,16,0,245,454
"Crowfoot/Crowfoot"," 37B","Mobile poll/Bureau itinérant",Merged with No. 502/Fusionné avec le nº 502,,,,,,3
