Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Omar Alghabra,Ronnie Amyotte,Rupinder Brar,Bob Dechert,Adam Hunter,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Mississauga--Erindale/Mississauga--Erindale"," 55","Mississauga",96,0,17,107,9,0,229,450
"Mississauga--Erindale/Mississauga--Erindale"," 56","Mississauga",93,0,44,72,17,0,226,425
"Mississauga--Erindale/Mississauga--Erindale"," 57","Mississauga",89,1,42,87,13,2,234,374
"Mississauga--Erindale/Mississauga--Erindale"," 58","Mississauga",61,0,52,97,8,1,219,327
"Mississauga--Erindale/Mississauga--Erindale"," 59","Mississauga",82,2,53,117,19,4,277,453
"Mississauga--Erindale/Mississauga--Erindale"," 60","Mississauga",68,1,35,61,10,0,175,368
"Mississauga--Erindale/Mississauga--Erindale"," 61","Mississauga",68,2,14,88,8,0,180,314
"Mississauga--Erindale/Mississauga--Erindale"," 62","Mississauga",66,0,28,100,19,1,214,375
"Mississauga--Erindale/Mississauga--Erindale"," 63","Mississauga",80,0,24,136,21,1,262,442
"Mississauga--Erindale/Mississauga--Erindale"," 64","Mississauga",60,0,11,59,13,0,143,280
"Mississauga--Erindale/Mississauga--Erindale"," 65","Mississauga",153,1,16,157,12,0,339,607
"Mississauga--Erindale/Mississauga--Erindale"," 66","Mississauga",94,1,98,42,13,1,249,307
"Mississauga--Erindale/Mississauga--Erindale"," 67","Mississauga",148,1,28,104,8,0,289,478
"Mississauga--Erindale/Mississauga--Erindale"," 68","Mississauga",95,0,17,147,9,0,268,540
"Mississauga--Erindale/Mississauga--Erindale"," 69","Mississauga",95,0,50,87,16,0,248,451
"Mississauga--Erindale/Mississauga--Erindale"," 70","Mississauga",81,3,26,66,6,0,182,352
"Mississauga--Erindale/Mississauga--Erindale"," 71","Mississauga",95,0,39,91,15,0,240,474
"Mississauga--Erindale/Mississauga--Erindale"," 72","Mississauga",37,0,18,29,5,1,90,240
"Mississauga--Erindale/Mississauga--Erindale"," 73","Mississauga",86,0,19,165,18,0,288,516
"Mississauga--Erindale/Mississauga--Erindale"," 74A","Mississauga",99,1,14,75,7,3,199,357
"Mississauga--Erindale/Mississauga--Erindale"," 74B","Mobile poll/Bureau itinérant",27,2,6,24,5,1,65,108
"Mississauga--Erindale/Mississauga--Erindale"," 75","Mississauga",87,3,15,92,10,1,208,385
"Mississauga--Erindale/Mississauga--Erindale"," 76","Mississauga",161,4,14,121,8,1,309,510
"Mississauga--Erindale/Mississauga--Erindale"," 77","Mississauga",101,0,13,80,8,1,203,331
"Mississauga--Erindale/Mississauga--Erindale"," 78","Mississauga",104,2,29,116,27,2,280,431
"Mississauga--Erindale/Mississauga--Erindale"," 79","Mississauga",116,0,25,107,16,0,264,433
"Mississauga--Erindale/Mississauga--Erindale"," 80","Mississauga",26,1,6,61,4,1,99,186
"Mississauga--Erindale/Mississauga--Erindale"," 81","Mississauga",120,3,23,120,19,0,285,431
"Mississauga--Erindale/Mississauga--Erindale"," 82","Mississauga",157,3,24,116,11,3,314,506
"Mississauga--Erindale/Mississauga--Erindale"," 83","Mississauga",121,0,13,70,8,0,212,363
"Mississauga--Erindale/Mississauga--Erindale"," 84","Mississauga",117,3,41,110,14,2,287,489
"Mississauga--Erindale/Mississauga--Erindale"," 85","Mississauga",113,1,42,101,11,0,268,435
"Mississauga--Erindale/Mississauga--Erindale"," 86","Mississauga",158,1,43,116,29,1,348,510
"Mississauga--Erindale/Mississauga--Erindale"," 87","Mississauga",114,1,50,136,14,1,316,507
"Mississauga--Erindale/Mississauga--Erindale"," 88","Mississauga",140,0,41,116,13,2,312,494
"Mississauga--Erindale/Mississauga--Erindale"," 89","Mississauga",82,1,39,40,4,0,166,444
"Mississauga--Erindale/Mississauga--Erindale"," 90","Mississauga",136,0,25,85,8,0,254,417
"Mississauga--Erindale/Mississauga--Erindale"," 91","Mississauga",108,3,29,74,9,1,224,399
"Mississauga--Erindale/Mississauga--Erindale"," 92","Mississauga",74,0,13,65,4,1,157,267
"Mississauga--Erindale/Mississauga--Erindale"," 93","Mississauga",91,1,26,67,9,1,195,370
"Mississauga--Erindale/Mississauga--Erindale"," 94","Mississauga",82,4,29,59,13,1,188,298
"Mississauga--Erindale/Mississauga--Erindale"," 95","Mississauga",159,2,33,122,18,0,334,522
"Mississauga--Erindale/Mississauga--Erindale"," 96","Mississauga",75,0,30,62,4,1,172,336
"Mississauga--Erindale/Mississauga--Erindale"," 97","Mississauga",106,2,25,44,10,1,188,384
"Mississauga--Erindale/Mississauga--Erindale"," 98","Mississauga",91,2,26,70,12,0,201,331
"Mississauga--Erindale/Mississauga--Erindale"," 99","Mississauga",137,0,25,103,7,1,273,466
"Mississauga--Erindale/Mississauga--Erindale"," 100","Mississauga",152,1,33,125,9,1,321,574
"Mississauga--Erindale/Mississauga--Erindale"," 101","Mississauga",157,2,51,149,18,5,382,710
"Mississauga--Erindale/Mississauga--Erindale"," 102","Mississauga",161,2,26,144,13,0,346,623
"Mississauga--Erindale/Mississauga--Erindale"," 103","Mississauga",147,3,40,122,10,0,322,585
"Mississauga--Erindale/Mississauga--Erindale"," 104","Mississauga",151,3,30,124,17,2,327,542
"Mississauga--Erindale/Mississauga--Erindale"," 105A","Mississauga",126,1,36,98,24,1,286,572
"Mississauga--Erindale/Mississauga--Erindale"," 105B","Mobile poll/Bureau itinérant",72,3,23,88,5,4,195,154
"Mississauga--Erindale/Mississauga--Erindale"," 106","Mississauga",151,0,49,109,12,1,322,638
"Mississauga--Erindale/Mississauga--Erindale"," 107","Mississauga",104,2,31,108,12,1,258,421
"Mississauga--Erindale/Mississauga--Erindale"," 108A","Mississauga",99,1,19,89,4,0,212,403
"Mississauga--Erindale/Mississauga--Erindale"," 108B","Mississauga",109,1,15,114,7,0,246,384
"Mississauga--Erindale/Mississauga--Erindale"," 109","Mississauga",125,0,23,93,8,2,251,430
"Mississauga--Erindale/Mississauga--Erindale"," 110","Mississauga",89,1,28,82,6,2,208,406
"Mississauga--Erindale/Mississauga--Erindale"," 111","Mississauga",100,0,14,82,12,0,208,452
"Mississauga--Erindale/Mississauga--Erindale"," 112","Mississauga",136,1,19,59,13,1,229,436
"Mississauga--Erindale/Mississauga--Erindale"," 113","Mississauga",197,1,38,127,8,0,371,674
"Mississauga--Erindale/Mississauga--Erindale"," 114","Mississauga",194,0,25,119,10,1,349,587
"Mississauga--Erindale/Mississauga--Erindale"," 115","Mississauga",206,1,54,132,20,1,414,726
"Mississauga--Erindale/Mississauga--Erindale"," 116","Mississauga",107,1,16,90,12,0,226,356
"Mississauga--Erindale/Mississauga--Erindale"," 117A","Mississauga",165,1,21,88,7,2,284,454
"Mississauga--Erindale/Mississauga--Erindale"," 117B","Mississauga",159,2,14,112,5,0,292,451
"Mississauga--Erindale/Mississauga--Erindale"," 118","Mississauga",97,1,12,100,4,0,214,372
"Mississauga--Erindale/Mississauga--Erindale"," 119","Mississauga",105,0,23,63,13,1,205,348
"Mississauga--Erindale/Mississauga--Erindale"," 120","Mississauga",149,0,36,136,12,1,334,602
"Mississauga--Erindale/Mississauga--Erindale"," 121A","Mississauga",158,1,18,109,8,0,294,531
"Mississauga--Erindale/Mississauga--Erindale"," 121B","Mississauga",134,1,24,95,4,2,260,488
"Mississauga--Erindale/Mississauga--Erindale"," 122A","Mississauga",134,1,27,86,6,0,254,462
"Mississauga--Erindale/Mississauga--Erindale"," 122B","Mississauga",135,0,29,105,9,0,278,492
"Mississauga--Erindale/Mississauga--Erindale"," 123","Mississauga",120,0,27,94,5,0,246,410
"Mississauga--Erindale/Mississauga--Erindale"," 124","Mississauga",166,1,34,130,4,1,336,630
"Mississauga--Erindale/Mississauga--Erindale"," 125","Mississauga",90,1,19,99,8,2,219,430
"Mississauga--Erindale/Mississauga--Erindale"," 126A","Mississauga",229,2,42,151,13,0,437,768
"Mississauga--Erindale/Mississauga--Erindale"," 126B","Mississauga",187,1,37,135,11,1,372,631
"Mississauga--Erindale/Mississauga--Erindale"," 126C","Mississauga",219,3,44,116,10,0,392,692
"Mississauga--Erindale/Mississauga--Erindale"," 126D","Mississauga",248,1,30,185,10,1,475,809
"Mississauga--Erindale/Mississauga--Erindale"," 127","Mississauga",111,0,27,115,8,1,262,480
"Mississauga--Erindale/Mississauga--Erindale"," 128","Mississauga",107,2,26,50,11,2,198,345
"Mississauga--Erindale/Mississauga--Erindale"," 129","Mississauga",129,1,26,92,7,1,256,431
"Mississauga--Erindale/Mississauga--Erindale"," 130","Mississauga",81,1,26,83,8,0,199,363
"Mississauga--Erindale/Mississauga--Erindale"," 131","Mississauga",87,0,26,84,12,1,210,339
"Mississauga--Erindale/Mississauga--Erindale"," 132A","Mississauga",87,2,30,77,11,0,207,376
"Mississauga--Erindale/Mississauga--Erindale"," 132B","Mobile poll/Bureau itinérant",Merged with No. 74B/Fusionné avec le nº 74B,,,,,,,33
"Mississauga--Erindale/Mississauga--Erindale"," 133","Mississauga",131,0,20,114,16,2,283,440
"Mississauga--Erindale/Mississauga--Erindale"," 134","Mississauga",158,0,37,103,16,0,314,678
"Mississauga--Erindale/Mississauga--Erindale"," 135","Mississauga",64,0,23,72,5,0,164,292
"Mississauga--Erindale/Mississauga--Erindale"," 136","Mississauga",189,0,55,176,28,2,450,747
"Mississauga--Erindale/Mississauga--Erindale"," 137A","Mississauga",136,0,36,70,19,1,262,520
"Mississauga--Erindale/Mississauga--Erindale"," 137B","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,122
"Mississauga--Erindale/Mississauga--Erindale"," 137C","Mobile poll/Bureau itinérant",Merged with No. 105B/Fusionné avec le nº 105B,,,,,,,72
"Mississauga--Erindale/Mississauga--Erindale"," 138","Mississauga",174,0,41,106,6,1,328,608
"Mississauga--Erindale/Mississauga--Erindale"," 139","Mississauga",103,2,36,130,24,2,297,500
"Mississauga--Erindale/Mississauga--Erindale"," 140","Mississauga",67,0,27,85,12,0,191,340
"Mississauga--Erindale/Mississauga--Erindale"," 141","Mississauga",53,1,19,67,10,0,150,245
"Mississauga--Erindale/Mississauga--Erindale"," 142","Mississauga",46,1,24,75,15,2,163,249
"Mississauga--Erindale/Mississauga--Erindale"," 143","Mississauga",117,1,40,147,21,2,328,521
"Mississauga--Erindale/Mississauga--Erindale"," 144","Mississauga",94,0,30,120,19,2,265,408
"Mississauga--Erindale/Mississauga--Erindale"," 145","Mississauga",81,1,27,86,20,0,215,340
"Mississauga--Erindale/Mississauga--Erindale"," 146A","Mississauga",113,0,34,98,6,1,252,442
"Mississauga--Erindale/Mississauga--Erindale"," 146B","Mississauga",141,1,38,93,4,0,277,478
"Mississauga--Erindale/Mississauga--Erindale"," 146C","Mississauga",141,2,32,98,2,4,279,526
"Mississauga--Erindale/Mississauga--Erindale"," 147A","Mississauga",142,1,29,115,7,1,295,514
"Mississauga--Erindale/Mississauga--Erindale"," 147B","Mississauga",134,0,25,88,6,3,256,445
"Mississauga--Erindale/Mississauga--Erindale"," 147C","Mississauga",141,1,41,98,7,1,289,501
"Mississauga--Erindale/Mississauga--Erindale"," 148","Mississauga",109,2,26,65,14,0,216,378
"Mississauga--Erindale/Mississauga--Erindale"," 149","Mississauga",95,1,16,73,5,1,191,310
"Mississauga--Erindale/Mississauga--Erindale"," 150","Mississauga",86,0,21,68,9,0,184,314
"Mississauga--Erindale/Mississauga--Erindale"," 151","Mississauga",83,1,30,90,6,1,211,358
"Mississauga--Erindale/Mississauga--Erindale"," 152","Mississauga",83,3,29,118,17,1,251,440
"Mississauga--Erindale/Mississauga--Erindale"," 153","Mississauga",87,0,38,64,9,1,199,329
"Mississauga--Erindale/Mississauga--Erindale"," 154","Mississauga",106,0,10,65,16,1,198,322
"Mississauga--Erindale/Mississauga--Erindale"," 155","Mississauga",134,1,29,92,15,2,273,467
"Mississauga--Erindale/Mississauga--Erindale"," 156","Mississauga",159,1,24,108,17,0,309,526
"Mississauga--Erindale/Mississauga--Erindale"," 157","Mississauga",123,1,24,104,12,0,264,470
"Mississauga--Erindale/Mississauga--Erindale"," 158","Mississauga",115,0,25,112,8,0,260,431
"Mississauga--Erindale/Mississauga--Erindale"," 159","Mississauga",57,0,15,55,7,0,134,247
"Mississauga--Erindale/Mississauga--Erindale"," 160","Mississauga",61,3,18,77,16,2,177,289
"Mississauga--Erindale/Mississauga--Erindale"," 161","Mississauga",157,0,44,101,7,1,310,673
"Mississauga--Erindale/Mississauga--Erindale"," 162","Mississauga",100,2,35,86,11,2,236,395
"Mississauga--Erindale/Mississauga--Erindale"," 163","Mississauga",30,1,9,21,3,1,65,149
"Mississauga--Erindale/Mississauga--Erindale"," 163-1","Mississauga",62,0,18,49,5,1,135,337
"Mississauga--Erindale/Mississauga--Erindale"," 164","Mississauga",49,7,32,40,4,1,133,251
"Mississauga--Erindale/Mississauga--Erindale"," 165","Mississauga",77,1,34,57,7,1,177,452
"Mississauga--Erindale/Mississauga--Erindale"," 166","Mississauga",43,5,20,23,7,1,99,284
"Mississauga--Erindale/Mississauga--Erindale"," 167","Mississauga",50,1,35,102,13,0,201,356
"Mississauga--Erindale/Mississauga--Erindale"," 168","Mississauga",38,1,20,45,10,0,114,256
"Mississauga--Erindale/Mississauga--Erindale"," 169","Mississauga",57,1,22,59,16,1,156,281
"Mississauga--Erindale/Mississauga--Erindale"," 170","Mississauga",61,0,27,99,10,1,198,350
"Mississauga--Erindale/Mississauga--Erindale"," 171","Mississauga",57,1,20,81,14,0,173,273
"Mississauga--Erindale/Mississauga--Erindale"," 172","Mississauga",123,2,29,94,14,0,262,500
"Mississauga--Erindale/Mississauga--Erindale"," 173","Mississauga",38,0,17,57,12,0,124,260
"Mississauga--Erindale/Mississauga--Erindale"," 174","Mississauga",143,2,44,116,26,0,331,588
"Mississauga--Erindale/Mississauga--Erindale"," 175","Mississauga",65,2,46,61,15,0,189,332
"Mississauga--Erindale/Mississauga--Erindale"," 176","Mississauga",96,0,32,107,18,2,255,430
"Mississauga--Erindale/Mississauga--Erindale"," 177","Mississauga",114,1,44,99,23,2,283,444
"Mississauga--Erindale/Mississauga--Erindale"," 178","Mississauga",79,0,44,80,18,1,222,380
"Mississauga--Erindale/Mississauga--Erindale"," 179","Mississauga",85,2,32,92,14,1,226,374
"Mississauga--Erindale/Mississauga--Erindale"," 180","Mississauga",111,1,46,129,29,0,316,471
"Mississauga--Erindale/Mississauga--Erindale"," 181","Mississauga",73,1,30,105,20,1,230,384
"Mississauga--Erindale/Mississauga--Erindale"," 182","Mississauga",99,2,21,63,19,1,205,305
"Mississauga--Erindale/Mississauga--Erindale"," 183","Mississauga",55,3,21,50,11,1,141,308
"Mississauga--Erindale/Mississauga--Erindale"," 184","Mississauga",75,0,26,78,13,0,192,323
"Mississauga--Erindale/Mississauga--Erindale"," 185","Mississauga",124,4,32,80,11,1,252,504
"Mississauga--Erindale/Mississauga--Erindale"," 186","Mississauga",138,2,28,120,12,1,301,499
"Mississauga--Erindale/Mississauga--Erindale"," 187","Mississauga",181,1,34,102,9,2,329,582
"Mississauga--Erindale/Mississauga--Erindale"," 188","Mississauga",167,1,39,113,11,1,332,567
"Mississauga--Erindale/Mississauga--Erindale"," 189","Mississauga",106,3,14,72,9,0,204,394
"Mississauga--Erindale/Mississauga--Erindale"," 190","Mississauga",57,1,18,43,7,0,126,265
"Mississauga--Erindale/Mississauga--Erindale"," 191","Mississauga",50,1,16,67,5,0,139,249
"Mississauga--Erindale/Mississauga--Erindale"," 192","Mississauga",154,0,31,82,7,3,277,441
"Mississauga--Erindale/Mississauga--Erindale"," 193","Mississauga",133,0,32,98,11,1,275,451
"Mississauga--Erindale/Mississauga--Erindale"," 194","Mississauga",188,0,37,89,14,1,329,587
"Mississauga--Erindale/Mississauga--Erindale"," 195","Mississauga",107,1,22,96,16,0,242,444
"Mississauga--Erindale/Mississauga--Erindale"," 500","Mobile poll/Bureau itinérant",26,1,3,34,1,5,70,97
"Mississauga--Erindale/Mississauga--Erindale"," 600","Mississauga",443,3,66,483,22,7,1024,
"Mississauga--Erindale/Mississauga--Erindale"," 601","Mississauga--Erindale",429,4,81,591,50,7,1162,
"Mississauga--Erindale/Mississauga--Erindale"," 602","Mississauga",306,0,51,560,36,6,959,
"Mississauga--Erindale/Mississauga--Erindale"," 603","Mississauga",489,6,64,498,24,2,1083,
"Mississauga--Erindale/Mississauga--Erindale"," 604","Mississauga",468,3,63,427,33,2,996,
"Mississauga--Erindale/Mississauga--Erindale"," 605","Mississauga",409,2,74,451,43,4,983,
"Mississauga--Erindale/Mississauga--Erindale"," 606","Mississauga",321,2,73,557,33,0,986,
"Mississauga--Erindale/Mississauga--Erindale"," 607","Mississauga",193,3,56,263,19,4,538,
"Mississauga--Erindale/Mississauga--Erindale",,Group 1/Groupe 1,25,2,12,27,7,3,76,149
"Mississauga--Erindale/Mississauga--Erindale",,Group 2/Groupe 2,396,0,65,482,30,18,991,
