Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Wayne Easter,Sharon Labchuk,George Marshall,George Noble,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Malpeque/Malpeque"," 1","Darnley",104,10,10,71,0,195,318
"Malpeque/Malpeque"," 2","Park Corner",90,14,21,86,2,213,356
"Malpeque/Malpeque"," 3","Spring Valley",129,14,20,100,0,263,428
"Malpeque/Malpeque"," 4","Southwest River",79,11,19,54,0,163,269
"Malpeque/Malpeque"," 5","New London",138,24,32,112,0,306,452
"Malpeque/Malpeque"," 6A","Margate",76,5,15,46,1,143,287
"Malpeque/Malpeque"," 6B","Margate",44,5,15,52,1,117,273
"Malpeque/Malpeque"," 7","Kensington East",68,8,25,56,2,159,321
"Malpeque/Malpeque"," 8","Clermont",106,8,31,96,2,243,473
"Malpeque/Malpeque"," 9","Kensington Central",62,11,21,67,3,164,276
"Malpeque/Malpeque"," 10","Kensington South",95,8,17,89,4,213,371
"Malpeque/Malpeque"," 11","Travellers Rest",117,9,32,88,1,247,428
"Malpeque/Malpeque"," 12","New Annan",57,4,10,39,0,110,246
"Malpeque/Malpeque"," 13","Mill Valley",81,9,15,54,1,160,285
"Malpeque/Malpeque"," 14","North Bedeque",145,16,38,90,2,291,463
"Malpeque/Malpeque"," 15","Central Bedeque",89,5,31,83,0,208,323
"Malpeque/Malpeque"," 16","South Freetown",160,5,31,71,3,270,449
"Malpeque/Malpeque"," 17","Somerset",133,10,40,101,3,287,454
"Malpeque/Malpeque"," 18","Lower Bedeque",140,11,29,75,0,255,380
"Malpeque/Malpeque"," 19","Albany",151,4,22,69,0,246,392
"Malpeque/Malpeque"," 20","Tryon",104,11,22,66,0,203,257
"Malpeque/Malpeque"," 21","Carleton",110,5,16,50,1,182,285
"Malpeque/Malpeque"," 22","Borden--Cape Traverse",172,9,44,125,1,351,482
"Malpeque/Malpeque"," 23","Augustine Cove",76,5,22,71,1,175,267
"Malpeque/Malpeque"," 24","Cavendish",101,9,14,80,3,207,301
"Malpeque/Malpeque"," 25","North Rustico",127,16,22,100,2,267,370
"Malpeque/Malpeque"," 26","Rusticoville",111,14,37,120,3,285,390
"Malpeque/Malpeque"," 27","South Rustico",165,12,39,137,3,356,511
"Malpeque/Malpeque"," 28","Ebenezer",128,8,16,73,0,225,340
"Malpeque/Malpeque"," 29","New Glasgow",150,25,29,138,1,343,531
"Malpeque/Malpeque"," 30","Hunter River",119,10,26,56,0,211,358
"Malpeque/Malpeque"," 31","Emerald",133,10,14,73,4,234,369
"Malpeque/Malpeque"," 32","Fredericton",106,15,26,75,0,222,379
"Malpeque/Malpeque"," 33","Darlington",110,13,20,50,0,193,316
"Malpeque/Malpeque"," 34","Hampshire",80,8,16,101,0,205,300
"Malpeque/Malpeque"," 35","North Wiltshire",148,9,27,85,2,271,496
"Malpeque/Malpeque"," 36","Stanchel",72,20,21,48,3,164,304
"Malpeque/Malpeque"," 37","Brookvale",93,14,31,75,6,219,320
"Malpeque/Malpeque"," 38","Westmoreland",129,16,15,60,1,221,293
"Malpeque/Malpeque"," 39","Hampton",138,37,39,104,0,318,495
"Malpeque/Malpeque"," 40A","Bonshaw",37,11,18,46,0,112,204
"Malpeque/Malpeque"," 40B","Bonshaw",79,7,11,87,1,185,283
