Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ian Raymond Chiocchio,Ruby Dhalla,Sam Hundal,Anna Mather,Upali Jinadasa Wannaku Rallage,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Brampton--Springdale/Brampton--Springdale"," 1A","Brampton",3,144,59,23,2,12,243,460
"Brampton--Springdale/Brampton--Springdale"," 1B","Brampton",3,115,83,21,1,3,226,430
"Brampton--Springdale/Brampton--Springdale"," 1C","Brampton",4,143,71,26,0,2,246,466
"Brampton--Springdale/Brampton--Springdale"," 1D","Brampton",3,142,70,35,0,4,254,462
"Brampton--Springdale/Brampton--Springdale"," 1E","Brampton",5,95,38,28,0,1,167,310
"Brampton--Springdale/Brampton--Springdale"," 1F","Mobile poll/Bureau itinérant",4,35,22,17,0,2,80,60
"Brampton--Springdale/Brampton--Springdale"," 2A","Brampton",1,84,31,14,1,0,131,262
"Brampton--Springdale/Brampton--Springdale"," 2B","Brampton",2,77,37,15,1,0,132,257
"Brampton--Springdale/Brampton--Springdale"," 2C","Brampton",3,81,31,20,0,2,137,228
"Brampton--Springdale/Brampton--Springdale"," 3","Brampton",9,129,62,27,0,1,228,389
"Brampton--Springdale/Brampton--Springdale"," 4","Brampton",4,151,51,26,5,1,238,439
"Brampton--Springdale/Brampton--Springdale"," 5","Brampton",7,113,60,28,1,0,209,387
"Brampton--Springdale/Brampton--Springdale"," 6A","Brampton",2,76,33,11,0,0,122,237
"Brampton--Springdale/Brampton--Springdale"," 6B","Brampton",3,50,35,17,3,1,109,242
"Brampton--Springdale/Brampton--Springdale"," 7","Brampton",7,89,52,15,0,1,164,367
"Brampton--Springdale/Brampton--Springdale"," 8","Brampton",5,80,57,17,0,1,160,361
"Brampton--Springdale/Brampton--Springdale"," 9A","Brampton",6,115,46,32,0,0,199,382
"Brampton--Springdale/Brampton--Springdale"," 9B","Mobile poll/Bureau itinérant",Merged with No. 1F/Fusionné avec le nº 1F,,,,,,,23
"Brampton--Springdale/Brampton--Springdale"," 10A","Brampton",4,71,42,23,0,2,142,291
"Brampton--Springdale/Brampton--Springdale"," 10B","Brampton",3,80,34,24,0,1,142,257
"Brampton--Springdale/Brampton--Springdale"," 11A","Brampton",4,130,67,24,0,2,227,389
"Brampton--Springdale/Brampton--Springdale"," 11B","Brampton",8,140,68,24,0,2,242,391
"Brampton--Springdale/Brampton--Springdale"," 12","Brampton",0,126,73,29,2,2,232,399
"Brampton--Springdale/Brampton--Springdale"," 13","Brampton",7,96,44,26,1,1,175,356
