Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Katy Austin,Peter Ellis,Helena Guergis,Elizabeth Kirley,Peter Vander Zaag,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Simcoe--Grey/Simcoe--Grey"," 1","Blue Mountains",12,18,69,80,5,0,184,363
"Simcoe--Grey/Simcoe--Grey"," 2","Blue Mountains",34,13,68,64,0,0,179,334
"Simcoe--Grey/Simcoe--Grey"," 3","Blue Mountains",23,19,74,72,4,1,193,331
"Simcoe--Grey/Simcoe--Grey"," 4","Blue Mountains",53,29,117,107,7,1,314,600
"Simcoe--Grey/Simcoe--Grey"," 5","Blue Mountains",18,24,90,72,7,2,213,348
"Simcoe--Grey/Simcoe--Grey"," 6","Blue Mountains",41,24,151,124,3,3,346,605
"Simcoe--Grey/Simcoe--Grey"," 7","Blue Mountains",17,9,83,64,1,1,175,354
"Simcoe--Grey/Simcoe--Grey"," 8","Blue Mountains",15,17,99,95,2,1,229,416
"Simcoe--Grey/Simcoe--Grey"," 9","Blue Mountains",12,14,102,60,1,0,189,374
"Simcoe--Grey/Simcoe--Grey"," 10","Blue Mountains",31,23,147,67,3,0,271,499
"Simcoe--Grey/Simcoe--Grey"," 11","Blue Mountains",14,10,57,32,9,1,123,199
"Simcoe--Grey/Simcoe--Grey"," 12","Blue Mountains",30,15,86,79,8,0,218,358
"Simcoe--Grey/Simcoe--Grey"," 13","Collingwood",12,14,99,85,3,0,213,469
"Simcoe--Grey/Simcoe--Grey"," 14","Collingwood",30,15,140,114,1,0,300,740
"Simcoe--Grey/Simcoe--Grey"," 15","Collingwood",13,6,64,51,1,0,135,355
"Simcoe--Grey/Simcoe--Grey"," 16","Collingwood",29,14,138,82,1,0,264,459
"Simcoe--Grey/Simcoe--Grey"," 17","Collingwood",31,14,90,77,6,0,218,463
"Simcoe--Grey/Simcoe--Grey"," 18","Collingwood",27,11,89,65,2,0,194,383
"Simcoe--Grey/Simcoe--Grey"," 19","Collingwood",25,8,62,42,8,1,146,315
"Simcoe--Grey/Simcoe--Grey"," 20","Collingwood",25,5,68,73,2,0,173,392
"Simcoe--Grey/Simcoe--Grey"," 21","Collingwood",21,7,57,65,8,1,159,375
"Simcoe--Grey/Simcoe--Grey"," 22","Collingwood",29,13,98,91,4,1,236,422
"Simcoe--Grey/Simcoe--Grey"," 23","Collingwood",34,14,67,92,7,0,214,452
"Simcoe--Grey/Simcoe--Grey"," 24","Collingwood",23,17,57,81,1,0,179,336
"Simcoe--Grey/Simcoe--Grey"," 25","Collingwood",45,14,76,104,4,2,245,448
"Simcoe--Grey/Simcoe--Grey"," 26","Collingwood",20,15,57,55,4,1,152,375
"Simcoe--Grey/Simcoe--Grey"," 27","Collingwood",31,12,84,66,7,0,200,342
"Simcoe--Grey/Simcoe--Grey"," 28","Collingwood",26,15,91,77,2,0,211,466
"Simcoe--Grey/Simcoe--Grey"," 29","Collingwood",27,12,65,72,6,0,182,417
"Simcoe--Grey/Simcoe--Grey"," 30","Collingwood",41,14,120,114,3,0,292,546
"Simcoe--Grey/Simcoe--Grey"," 31","Collingwood",27,12,46,49,2,0,136,275
"Simcoe--Grey/Simcoe--Grey"," 32","Collingwood",22,13,66,80,8,0,189,335
"Simcoe--Grey/Simcoe--Grey"," 33","Collingwood",29,10,102,62,9,1,213,389
"Simcoe--Grey/Simcoe--Grey"," 34","Collingwood",27,12,105,83,7,0,234,423
"Simcoe--Grey/Simcoe--Grey"," 35","Collingwood",41,20,111,120,7,0,299,522
"Simcoe--Grey/Simcoe--Grey"," 36","Collingwood",20,17,80,62,6,0,185,390
"Simcoe--Grey/Simcoe--Grey"," 37","Collingwood",35,9,61,65,6,0,176,367
"Simcoe--Grey/Simcoe--Grey"," 38","Collingwood",38,19,75,102,6,0,240,447
"Simcoe--Grey/Simcoe--Grey"," 39","Collingwood",21,12,101,97,10,0,241,465
"Simcoe--Grey/Simcoe--Grey"," 40","Collingwood",18,9,83,100,2,1,213,346
"Simcoe--Grey/Simcoe--Grey"," 41","Collingwood",22,11,100,85,7,2,227,436
"Simcoe--Grey/Simcoe--Grey"," 42","Collingwood--Clearview",25,13,144,88,2,0,272,465
"Simcoe--Grey/Simcoe--Grey"," 43","Clearview",18,13,107,72,5,1,216,341
"Simcoe--Grey/Simcoe--Grey"," 44","Clearview",21,11,136,82,13,1,264,384
"Simcoe--Grey/Simcoe--Grey"," 45","Clearview",50,18,194,122,13,0,397,663
"Simcoe--Grey/Simcoe--Grey"," 46","Collingwood",32,15,102,88,7,0,244,483
"Simcoe--Grey/Simcoe--Grey"," 47","Wasaga Beach",23,8,65,50,8,0,154,330
"Simcoe--Grey/Simcoe--Grey"," 48","Wasaga Beach",15,10,52,46,2,0,125,240
"Simcoe--Grey/Simcoe--Grey"," 49","Clearview",42,6,117,79,15,0,259,534
"Simcoe--Grey/Simcoe--Grey"," 50","Clearview",31,9,115,60,12,0,227,407
"Simcoe--Grey/Simcoe--Grey"," 51","Clearview",25,13,97,43,8,1,187,367
"Simcoe--Grey/Simcoe--Grey"," 52","Clearview",29,9,125,83,5,2,253,479
"Simcoe--Grey/Simcoe--Grey"," 53","Clearview",20,10,68,44,8,0,150,285
"Simcoe--Grey/Simcoe--Grey"," 54","Clearview",33,6,100,57,15,0,211,425
"Simcoe--Grey/Simcoe--Grey"," 55","Clearview",29,14,204,66,24,1,338,610
