Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Heathcliff Dionysus Campbell,John Clarke,Jared Evans,Tony Fogarassy,Hedy Fry,Joe Pal,Svend Robinson,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Vancouver Centre/Vancouver-Centre"," 1","Vancouver",0,1,8,36,43,0,58,1,147,344
"Vancouver Centre/Vancouver-Centre"," 2","Vancouver",0,0,17,57,70,0,59,0,203,385
"Vancouver Centre/Vancouver-Centre"," 3","Vancouver",3,0,25,50,109,0,69,0,256,456
"Vancouver Centre/Vancouver-Centre"," 4","Vancouver",0,0,10,50,110,0,76,3,249,466
"Vancouver Centre/Vancouver-Centre"," 5","Vancouver",0,0,14,34,106,1,62,0,217,420
"Vancouver Centre/Vancouver-Centre"," 6","Vancouver",2,0,9,35,54,0,57,0,157,304
"Vancouver Centre/Vancouver-Centre"," 7","Vancouver",0,0,16,10,77,1,70,0,174,338
"Vancouver Centre/Vancouver-Centre"," 8","Vancouver",0,1,15,30,91,0,85,0,222,407
"Vancouver Centre/Vancouver-Centre"," 9","Vancouver",2,0,21,27,97,0,72,0,219,390
"Vancouver Centre/Vancouver-Centre"," 10","Vancouver",1,0,14,31,91,0,69,0,206,361
"Vancouver Centre/Vancouver-Centre"," 11","Vancouver",4,1,19,46,103,1,80,1,255,448
"Vancouver Centre/Vancouver-Centre"," 12","Vancouver",0,0,10,55,80,0,56,0,201,379
"Vancouver Centre/Vancouver-Centre"," 13","Vancouver",1,2,12,35,108,0,62,0,220,390
"Vancouver Centre/Vancouver-Centre"," 14","Vancouver",0,0,12,30,81,0,81,2,206,381
"Vancouver Centre/Vancouver-Centre"," 15","Vancouver",0,0,16,31,82,0,91,0,220,379
"Vancouver Centre/Vancouver-Centre"," 16","Vancouver",1,4,16,35,115,1,93,1,266,456
"Vancouver Centre/Vancouver-Centre"," 17","Vancouver",1,2,17,56,129,0,54,1,260,470
"Vancouver Centre/Vancouver-Centre"," 18","Vancouver",1,1,8,36,107,1,64,1,219,447
"Vancouver Centre/Vancouver-Centre"," 19","Vancouver",1,2,12,46,111,0,59,1,232,412
"Vancouver Centre/Vancouver-Centre"," 20A","Vancouver",0,0,12,17,55,2,49,0,135,263
"Vancouver Centre/Vancouver-Centre"," 20B","Vancouver",3,0,10,17,60,0,54,0,144,266
"Vancouver Centre/Vancouver-Centre"," 21","Vancouver",0,0,15,32,101,0,66,0,214,403
"Vancouver Centre/Vancouver-Centre"," 22","Vancouver",1,1,10,24,76,0,53,1,166,321
"Vancouver Centre/Vancouver-Centre"," 23","Vancouver",2,2,14,22,89,1,61,0,191,374
"Vancouver Centre/Vancouver-Centre"," 24","Vancouver",0,3,14,26,106,0,84,0,233,447
"Vancouver Centre/Vancouver-Centre"," 25","Vancouver",2,3,5,25,56,1,42,1,135,306
"Vancouver Centre/Vancouver-Centre"," 26","Vancouver",1,4,6,19,55,0,48,0,133,289
"Vancouver Centre/Vancouver-Centre"," 27A","Vancouver",2,0,7,28,63,0,35,0,135,273
"Vancouver Centre/Vancouver-Centre"," 27B","Vancouver",2,0,9,18,52,0,42,1,124,275
"Vancouver Centre/Vancouver-Centre"," 28A","Vancouver",0,1,11,64,69,0,15,0,160,388
"Vancouver Centre/Vancouver-Centre"," 28B","Vancouver",0,3,10,70,84,0,24,1,192,382
"Vancouver Centre/Vancouver-Centre"," 29A","Vancouver",1,0,8,60,77,0,39,1,186,361
"Vancouver Centre/Vancouver-Centre"," 29B","Vancouver",0,1,11,40,90,0,39,0,181,354
"Vancouver Centre/Vancouver-Centre"," 30A","Vancouver",1,1,6,36,83,0,24,0,151,333
"Vancouver Centre/Vancouver-Centre"," 30B","Vancouver",0,3,1,30,71,2,22,1,130,295
"Vancouver Centre/Vancouver-Centre"," 31","Vancouver",2,1,18,27,101,2,62,0,213,396
"Vancouver Centre/Vancouver-Centre"," 32","Vancouver",2,1,15,35,98,1,94,1,247,461
"Vancouver Centre/Vancouver-Centre"," 33A","Vancouver",0,0,6,13,66,0,44,0,129,256
"Vancouver Centre/Vancouver-Centre"," 33B","Vancouver",1,1,9,16,56,0,41,0,124,278
"Vancouver Centre/Vancouver-Centre"," 34","Vancouver",1,0,10,35,85,0,53,0,184,401
"Vancouver Centre/Vancouver-Centre"," 35A","Vancouver",1,0,8,38,83,0,39,1,170,400
"Vancouver Centre/Vancouver-Centre"," 35B","Vancouver",1,3,9,32,87,0,26,0,158,385
"Vancouver Centre/Vancouver-Centre"," 36A","Vancouver",1,4,8,33,95,0,34,0,175,390
"Vancouver Centre/Vancouver-Centre"," 36B","Vancouver",0,1,10,53,102,0,27,3,196,449
"Vancouver Centre/Vancouver-Centre"," 37","Vancouver",1,0,5,71,100,0,19,4,200,398
"Vancouver Centre/Vancouver-Centre"," 38A","Vancouver",1,4,12,64,83,1,44,0,209,394
"Vancouver Centre/Vancouver-Centre"," 38B","Vancouver",0,3,8,45,55,0,22,0,133,255
"Vancouver Centre/Vancouver-Centre"," 38C","Vancouver",1,2,11,50,73,0,45,0,182,329
"Vancouver Centre/Vancouver-Centre"," 39","Vancouver",1,0,18,71,91,1,53,0,235,452
"Vancouver Centre/Vancouver-Centre"," 40","Vancouver",0,0,10,30,73,0,48,0,161,323
"Vancouver Centre/Vancouver-Centre"," 41","Vancouver",0,3,9,25,92,0,67,0,196,352
"Vancouver Centre/Vancouver-Centre"," 42","Vancouver",1,0,7,18,68,0,56,0,150,293
