Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Ken Bell,Jim Comiskey,Kathleen Kevany,Dave Van Kesteren,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 62","Tilbury",1,22,38,65,0,126,228
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 63","Tilbury",0,16,26,62,0,104,189
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 64","Merlin",4,30,69,69,0,172,271
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 65","Wheatley",10,40,60,119,0,229,430
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 66","Wheatley",20,63,67,96,0,246,509
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 67","Wheatley",7,58,44,109,4,222,404
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 68","Wheatley",4,30,49,108,0,191,369
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 69","Wheatley",4,46,57,83,0,190,414
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 70","Wheatley",14,69,73,161,1,318,639
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 71","Chatham",10,73,57,142,1,283,446
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 72","Chatham",8,54,31,60,0,153,249
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 73","Chatham",7,97,45,107,2,258,465
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 74","Merlin",10,71,57,96,0,234,379
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 75","North Buxton",7,58,42,80,1,188,285
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 76","Charing Cross",9,68,69,131,1,278,432
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 77","Merlin",5,50,75,120,2,252,446
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 78","Merlin",5,58,63,110,0,236,632
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 79","Cedar Springs",6,72,48,122,0,248,378
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 80","Chatham",2,101,32,117,1,253,384
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 81","Chatham",1,54,34,53,0,142,243
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 82","Chatham",8,102,41,84,1,236,413
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 83","Chatham",2,78,49,52,0,181,272
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 84","Chatham",10,104,56,101,1,272,424
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 85","Chatham",11,86,35,86,1,219,355
"Chatham-Kent--Essex/Chatham-Kent--Essex"," 86","Chatham",3,59,30,58,1,151,224
