Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Julian Ichim,Edwin Laryea,Ajmer Mandur,Ciprian Mihalcea,Pauline Richards,Andrew Telegdi,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Kitchener--Waterloo/Kitchener--Waterloo"," 1A","Waterloo",0,39,93,0,10,148,1,291,442
"Kitchener--Waterloo/Kitchener--Waterloo"," 1B","Waterloo",0,34,111,1,16,131,1,294,441
"Kitchener--Waterloo/Kitchener--Waterloo"," 1C","Waterloo",1,37,53,1,13,124,1,230,343
"Kitchener--Waterloo/Kitchener--Waterloo"," 1D","Waterloo",1,46,83,2,11,109,1,253,385
"Kitchener--Waterloo/Kitchener--Waterloo"," 1E","Mobile poll/Bureau itinérant",0,11,25,1,4,44,0,85,74
"Kitchener--Waterloo/Kitchener--Waterloo"," 1-1","Waterloo",0,56,77,0,18,131,1,283,453
"Kitchener--Waterloo/Kitchener--Waterloo"," 2","Waterloo",2,47,94,1,13,160,0,317,439
"Kitchener--Waterloo/Kitchener--Waterloo"," 3A","Waterloo",0,26,81,0,12,87,2,208,305
"Kitchener--Waterloo/Kitchener--Waterloo"," 3B","Waterloo",1,45,72,0,13,104,1,236,346
"Kitchener--Waterloo/Kitchener--Waterloo"," 4","Waterloo",0,59,106,1,23,192,2,383,563
"Kitchener--Waterloo/Kitchener--Waterloo"," 5A","Waterloo",0,14,38,2,11,98,0,163,219
"Kitchener--Waterloo/Kitchener--Waterloo"," 5B","Waterloo",0,16,57,0,7,77,0,157,235
"Kitchener--Waterloo/Kitchener--Waterloo"," 6","Waterloo",0,37,102,0,17,174,0,330,492
"Kitchener--Waterloo/Kitchener--Waterloo"," 7A","Waterloo",0,29,84,1,12,126,1,253,433
"Kitchener--Waterloo/Kitchener--Waterloo"," 7B","Waterloo",1,32,85,0,14,125,0,257,434
"Kitchener--Waterloo/Kitchener--Waterloo"," 7C","Waterloo",1,37,99,0,15,126,2,280,461
"Kitchener--Waterloo/Kitchener--Waterloo"," 8A","Waterloo",0,56,71,0,11,105,0,243,438
"Kitchener--Waterloo/Kitchener--Waterloo"," 8B","Waterloo",0,66,78,1,19,121,0,285,507
"Kitchener--Waterloo/Kitchener--Waterloo"," 9","Waterloo",0,36,40,4,4,78,1,163,294
"Kitchener--Waterloo/Kitchener--Waterloo"," 10","Waterloo",0,22,92,0,7,151,0,272,499
"Kitchener--Waterloo/Kitchener--Waterloo"," 11","Waterloo",0,23,95,0,18,141,0,277,459
"Kitchener--Waterloo/Kitchener--Waterloo"," 12","Waterloo",0,28,102,0,11,168,1,310,546
"Kitchener--Waterloo/Kitchener--Waterloo"," 13","Waterloo",1,27,105,0,16,179,0,328,502
"Kitchener--Waterloo/Kitchener--Waterloo"," 14","Waterloo",0,45,65,0,14,145,2,271,517
"Kitchener--Waterloo/Kitchener--Waterloo"," 15","Waterloo",0,28,87,0,18,142,0,275,424
"Kitchener--Waterloo/Kitchener--Waterloo"," 16","Waterloo",0,33,92,0,8,116,1,250,391
"Kitchener--Waterloo/Kitchener--Waterloo"," 17","Waterloo",0,23,59,1,7,88,0,178,309
"Kitchener--Waterloo/Kitchener--Waterloo"," 18","Waterloo",1,29,59,0,12,142,1,244,363
"Kitchener--Waterloo/Kitchener--Waterloo"," 19","Waterloo",0,44,91,0,19,175,1,330,564
"Kitchener--Waterloo/Kitchener--Waterloo"," 20A","Waterloo",0,23,87,1,15,98,1,225,381
"Kitchener--Waterloo/Kitchener--Waterloo"," 20B","Waterloo",0,37,74,0,4,92,1,208,365
