Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,David Raymond Amos,John Carty,Philip Duchastel,Pat Lynch,Andy Scott,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fredericton/Fredericton"," 1A","Fredericton",0,40,1,80,105,2,228,366
"Fredericton/Fredericton"," 1B","Fredericton",1,51,2,83,79,2,218,349
"Fredericton/Fredericton"," 2","Fredericton",0,32,1,52,52,0,137,248
"Fredericton/Fredericton"," 3","Fredericton",1,38,3,61,73,0,176,311
"Fredericton/Fredericton"," 4","Fredericton",1,39,2,76,69,0,187,340
"Fredericton/Fredericton"," 5A","Fredericton",1,44,3,65,50,1,164,322
"Fredericton/Fredericton"," 5B","Mobile poll/Bureau itinérant",Merged with No. 400/Fusionné avec le nº 400,,,,,,,103
"Fredericton/Fredericton"," 6A","Fredericton",0,15,3,77,67,0,162,297
"Fredericton/Fredericton"," 6B","Fredericton",0,14,2,61,52,1,130,267
"Fredericton/Fredericton"," 7A","Fredericton",2,70,3,91,105,1,272,480
"Fredericton/Fredericton"," 7B","Fredericton",2,69,3,92,99,2,267,481
"Fredericton/Fredericton"," 8","Fredericton",1,52,4,74,102,0,233,346
"Fredericton/Fredericton"," 9","Fredericton",0,48,1,85,113,0,247,346
"Fredericton/Fredericton"," 10","Fredericton",3,31,0,72,64,2,172,281
"Fredericton/Fredericton"," 11","Fredericton",0,35,1,76,72,1,185,326
"Fredericton/Fredericton"," 12","Fredericton",0,41,1,72,76,0,190,316
"Fredericton/Fredericton"," 13","Fredericton",2,37,5,87,85,0,216,339
"Fredericton/Fredericton"," 14","Fredericton",1,54,7,67,61,0,190,406
"Fredericton/Fredericton"," 15A","Fredericton",0,49,5,58,89,1,202,336
"Fredericton/Fredericton"," 15B","Mobile poll/Bureau itinérant",Merged with No. 44B/Fusionné avec le nº 44B,,,,,,,18
"Fredericton/Fredericton"," 16","Fredericton",0,49,5,63,56,1,174,418
"Fredericton/Fredericton"," 17","Fredericton",0,31,0,69,73,1,174,309
"Fredericton/Fredericton"," 18","Fredericton",0,35,0,74,87,1,197,289
"Fredericton/Fredericton"," 19","Fredericton",0,27,1,85,76,1,190,291
"Fredericton/Fredericton"," 20","Fredericton",2,44,4,87,74,2,213,312
"Fredericton/Fredericton"," 21","Fredericton",1,49,2,106,104,2,264,385
"Fredericton/Fredericton"," 22","Fredericton",1,27,1,70,87,0,186,272
"Fredericton/Fredericton"," 23","Fredericton",1,44,5,125,145,1,321,473
"Fredericton/Fredericton"," 24","Fredericton",0,41,5,90,174,0,310,454
"Fredericton/Fredericton"," 25","Fredericton",1,61,6,86,101,0,255,452
"Fredericton/Fredericton"," 26","Fredericton",0,60,3,68,95,0,226,398
"Fredericton/Fredericton"," 27A","Fredericton",0,57,3,42,40,0,142,238
"Fredericton/Fredericton"," 27B","Fredericton",1,41,1,48,53,0,144,257
"Fredericton/Fredericton"," 28A","Fredericton",0,15,2,24,73,3,117,296
"Fredericton/Fredericton"," 28B","Fredericton",0,15,1,10,84,0,110,284
"Fredericton/Fredericton"," 29","Fredericton",1,45,2,83,91,2,224,394
"Fredericton/Fredericton"," 30","Fredericton",0,26,0,48,113,3,190,277
"Fredericton/Fredericton"," 31","Fredericton",2,50,1,80,64,0,197,327
"Fredericton/Fredericton"," 32A","Fredericton",0,33,3,72,71,0,179,267
"Fredericton/Fredericton"," 32B","Fredericton",2,39,0,62,85,0,188,264
"Fredericton/Fredericton"," 33A","Fredericton",1,72,6,98,107,0,284,446
"Fredericton/Fredericton"," 33B","Mobile poll/Bureau itinérant",Merged with No. 44B/Fusionné avec le nº 44B,,,,,,,21
"Fredericton/Fredericton"," 34A","Fredericton",1,30,2,49,89,0,171,242
"Fredericton/Fredericton"," 34B","Fredericton",0,29,0,73,58,0,160,244
"Fredericton/Fredericton"," 35","Fredericton",2,54,5,125,104,0,290,438
"Fredericton/Fredericton"," 36","Fredericton",1,49,4,113,81,0,248,353
"Fredericton/Fredericton"," 37","Fredericton",3,54,4,63,72,0,196,358
"Fredericton/Fredericton"," 38","Fredericton",1,64,5,67,95,0,232,404
"Fredericton/Fredericton"," 39","Fredericton",1,40,2,59,56,0,158,348
"Fredericton/Fredericton"," 40","Fredericton",1,56,5,113,113,2,290,396
"Fredericton/Fredericton"," 41","Fredericton",2,87,12,66,101,2,270,433
"Fredericton/Fredericton"," 42A","Fredericton",2,65,3,80,109,2,261,464
"Fredericton/Fredericton"," 42B","Mobile poll/Bureau itinérant",Merged with No. 44B/Fusionné avec le nº 44B,,,,,,,5
"Fredericton/Fredericton"," 43","Fredericton",4,56,2,67,99,2,230,391
"Fredericton/Fredericton"," 44A","Fredericton",2,53,8,80,108,0,251,405
"Fredericton/Fredericton"," 44B","Mobile poll/Bureau itinérant",0,14,1,21,18,1,55,17
"Fredericton/Fredericton"," 45","Fredericton",2,63,6,66,98,4,239,389
"Fredericton/Fredericton"," 46","Fredericton",1,43,1,72,81,1,199,341
"Fredericton/Fredericton"," 47","Fredericton",1,49,4,75,94,0,223,324
"Fredericton/Fredericton"," 48","Fredericton",2,64,2,90,95,3,256,435
"Fredericton/Fredericton"," 49A","Fredericton",1,40,2,57,62,0,162,263
