Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Patty Donovan,Eldon Hunter,Rob Moir,Rob Moore,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Fundy Royal/Fundy Royal"," 48","Stoney Creek",12,41,52,118,3,226,369
"Fundy Royal/Fundy Royal"," 49","Osborne Corner",11,51,59,113,5,239,366
"Fundy Royal/Fundy Royal"," 50","Hillsborough",7,40,28,104,6,185,309
"Fundy Royal/Fundy Royal"," 51","Hillsborough",13,44,57,154,1,269,397
"Fundy Royal/Fundy Royal"," 52","Hillsborough",7,43,38,118,3,209,312
"Fundy Royal/Fundy Royal"," 53","Albert Mines",16,24,68,115,4,227,337
"Fundy Royal/Fundy Royal"," 54","Hopewell Cape",10,46,62,99,3,220,310
"Fundy Royal/Fundy Royal"," 55","Hopewell Hill",3,46,31,86,2,168,266
"Fundy Royal/Fundy Royal"," 56","Riverside-Albert",6,59,24,85,2,176,298
"Fundy Royal/Fundy Royal"," 57","Harvey",6,71,39,71,1,188,335
"Fundy Royal/Fundy Royal"," 58","Alma",8,39,20,84,2,153,226
"Fundy Royal/Fundy Royal"," 59","Penobsquis",7,59,42,87,1,196,319
"Fundy Royal/Fundy Royal"," 60","Cedar Camp",3,27,22,39,1,92,164
"Fundy Royal/Fundy Royal"," 61","Sussex",7,50,43,116,1,217,426
"Fundy Royal/Fundy Royal"," 62","Waterford",7,55,59,103,1,225,407
"Fundy Royal/Fundy Royal"," 63A","Sussex Corner",3,54,32,64,0,153,247
"Fundy Royal/Fundy Royal"," 63B","Sussex Corner",2,33,34,79,0,148,262
"Fundy Royal/Fundy Royal"," 64","Sussex Corner",2,25,14,49,0,90,152
"Fundy Royal/Fundy Royal"," 65","Sussex Corner",2,62,60,114,1,239,456
"Fundy Royal/Fundy Royal"," 66","Mill Brook",5,40,46,106,0,197,294
"Fundy Royal/Fundy Royal"," 67","Wards Creek",2,49,42,115,0,208,375
"Fundy Royal/Fundy Royal"," 68","Hammond",12,67,59,106,4,248,435
"Fundy Royal/Fundy Royal"," 69","St. Martins",8,56,24,52,1,141,262
"Fundy Royal/Fundy Royal"," 70","St. Martins",4,41,26,57,1,129,278
"Fundy Royal/Fundy Royal"," 71","Quaco",4,54,38,67,2,165,278
"Fundy Royal/Fundy Royal"," 72","Bains Corner",3,25,27,59,3,117,257
"Fundy Royal/Fundy Royal"," 73","Baxters Corner",11,78,46,80,1,216,420
"Fundy Royal/Fundy Royal"," 74","Loch Lomond",2,38,20,60,1,121,204
"Fundy Royal/Fundy Royal"," 75A","Willow Grove",8,28,45,70,0,151,288
"Fundy Royal/Fundy Royal"," 75B","Willow Grove",4,33,45,47,0,129,274
"Fundy Royal/Fundy Royal"," 76","Gardner Creek",8,47,37,118,3,213,417
"Fundy Royal/Fundy Royal"," 77A","Garnett Settlement",2,19,20,24,1,66,238
"Fundy Royal/Fundy Royal"," 77B","Garnett Settlement",3,30,21,25,0,79,268
"Fundy Royal/Fundy Royal"," 78","Garnett Settlement",5,43,47,90,2,187,388
"Fundy Royal/Fundy Royal"," 79","Mispec",4,15,19,42,0,80,129
"Fundy Royal/Fundy Royal"," 80","Sussex",4,57,33,82,1,177,348
"Fundy Royal/Fundy Royal"," 81","Sussex",2,73,27,88,0,190,321
"Fundy Royal/Fundy Royal"," 82","Sussex",3,38,27,137,0,205,325
"Fundy Royal/Fundy Royal"," 83","Sussex",10,59,50,75,0,194,400
"Fundy Royal/Fundy Royal"," 84","Sussex",2,38,41,64,2,147,271
"Fundy Royal/Fundy Royal"," 85","Sussex",5,26,27,72,0,130,260
"Fundy Royal/Fundy Royal"," 86","Sussex",8,65,36,119,2,230,415
"Fundy Royal/Fundy Royal"," 87","Sussex",3,53,30,102,1,189,325
"Fundy Royal/Fundy Royal"," 88","Sussex",4,44,31,82,1,162,288
"Fundy Royal/Fundy Royal"," 89","Sussex",3,31,35,82,1,152,306
"Fundy Royal/Fundy Royal"," 90","Sussex",4,35,26,60,0,125,228
"Fundy Royal/Fundy Royal"," 91","Apohaqui",1,36,12,53,0,102,168
"Fundy Royal/Fundy Royal"," 92A","Erb Settlement",3,39,22,51,0,115,247
"Fundy Royal/Fundy Royal"," 92B","Erb Settlement",2,49,52,90,0,193,337
