Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Martin Bertrand,Jean-Pierre Blackburn,Sylvain Dompierre,Sébastien Gagnon,Gilles Savard,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Jonquière--Alma/Jonquière--Alma"," 1","Bégin",6,69,3,77,7,2,164,275
"Jonquière--Alma/Jonquière--Alma"," 2","Saint-David-de-Falardeau",6,146,5,129,9,0,295,565
"Jonquière--Alma/Jonquière--Alma"," 3","Saint-David-de-Falardeau",12,107,4,121,6,1,251,442
"Jonquière--Alma/Jonquière--Alma"," 3-1","Saint-David-de-Falardeau",11,155,4,110,10,6,296,452
"Jonquière--Alma/Jonquière--Alma"," 4","Bégin",11,97,3,82,11,0,204,363
"Jonquière--Alma/Jonquière--Alma"," 5","Saint-David-de-Falardeau",11,112,4,98,7,1,233,422
"Jonquière--Alma/Jonquière--Alma"," 6","Saint-Ambroise",8,112,6,84,2,2,214,367
"Jonquière--Alma/Jonquière--Alma"," 7","Saint-Ambroise",5,104,6,89,6,0,210,350
"Jonquière--Alma/Jonquière--Alma"," 8","Saint-Ambroise",16,126,0,127,6,2,277,406
"Jonquière--Alma/Jonquière--Alma"," 9","Saint-Ambroise",8,120,8,117,2,3,258,425
"Jonquière--Alma/Jonquière--Alma"," 10","Saint-Ambroise",15,140,0,107,7,2,271,407
"Jonquière--Alma/Jonquière--Alma"," 11","Saint-Ambroise",4,120,3,111,5,3,246,404
"Jonquière--Alma/Jonquière--Alma"," 12","Saint-Charles-de-Bourget",14,90,4,88,7,2,205,292
"Jonquière--Alma/Jonquière--Alma"," 13","Saint-Charles-de-Bourget",2,58,6,104,3,0,173,256
"Jonquière--Alma/Jonquière--Alma"," 14","Saint-Ambroise",11,75,3,76,6,2,173,296
"Jonquière--Alma/Jonquière--Alma"," 15","Shipshaw",6,111,4,71,4,2,198,297
"Jonquière--Alma/Jonquière--Alma"," 16","Shipshaw",8,90,2,49,1,4,154,245
"Jonquière--Alma/Jonquière--Alma"," 17","Shipshaw",11,189,6,143,12,2,363,560
"Jonquière--Alma/Jonquière--Alma"," 18","Shipshaw",11,175,9,126,9,6,336,488
"Jonquière--Alma/Jonquière--Alma"," 19","Shipshaw",10,142,2,93,5,2,254,383
"Jonquière--Alma/Jonquière--Alma"," 20","Shipshaw",4,98,5,63,7,1,178,278
"Jonquière--Alma/Jonquière--Alma"," 21A","Delisle",9,164,6,198,9,4,390,616
"Jonquière--Alma/Jonquière--Alma"," 21B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,13
"Jonquière--Alma/Jonquière--Alma"," 22","Delisle",5,129,5,132,4,1,276,402
"Jonquière--Alma/Jonquière--Alma"," 23","Delisle",5,137,10,85,6,1,244,406
"Jonquière--Alma/Jonquière--Alma"," 24","Delisle",4,125,6,101,0,2,238,332
"Jonquière--Alma/Jonquière--Alma"," 25","Delisle",9,102,2,87,2,1,203,363
"Jonquière--Alma/Jonquière--Alma"," 26","Delisle",10,128,3,110,1,0,252,399
"Jonquière--Alma/Jonquière--Alma"," 27A","Delisle",7,170,1,118,3,3,302,482
"Jonquière--Alma/Jonquière--Alma"," 27B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,58
"Jonquière--Alma/Jonquière--Alma"," 28","Alma",9,102,7,134,5,2,259,406
"Jonquière--Alma/Jonquière--Alma"," 29","Alma",4,142,3,114,2,2,267,440
"Jonquière--Alma/Jonquière--Alma"," 30","Alma",10,121,5,137,0,2,275,419
"Jonquière--Alma/Jonquière--Alma"," 31A","Alma",12,79,4,87,5,0,187,306
"Jonquière--Alma/Jonquière--Alma"," 31B","Mobile poll/Bureau itinérant",Merged with No. 500/Fusionné avec le nº 500,,,,,,,49
"Jonquière--Alma/Jonquière--Alma"," 32","Alma",6,90,3,91,1,1,192,266
"Jonquière--Alma/Jonquière--Alma"," 33","Alma",4,67,1,85,2,2,161,258
"Jonquière--Alma/Jonquière--Alma"," 34","Alma",3,83,2,85,3,1,177,286
"Jonquière--Alma/Jonquière--Alma"," 35","Alma",5,110,3,82,2,4,206,348
"Jonquière--Alma/Jonquière--Alma"," 36","Alma",12,103,2,71,3,1,192,274
"Jonquière--Alma/Jonquière--Alma"," 37A","Alma",14,161,5,176,10,1,367,609
"Jonquière--Alma/Jonquière--Alma"," 37B","Alma",7,106,1,76,8,1,199,230
"Jonquière--Alma/Jonquière--Alma"," 38","Alma",10,99,3,86,3,1,202,338
"Jonquière--Alma/Jonquière--Alma"," 39","Alma",8,191,6,180,4,1,390,587
"Jonquière--Alma/Jonquière--Alma"," 40","Alma",3,82,0,106,5,2,198,356
"Jonquière--Alma/Jonquière--Alma"," 41","Alma",5,104,0,75,4,3,191,305
"Jonquière--Alma/Jonquière--Alma"," 42","Alma",7,101,2,93,4,2,209,351
