Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Stephen Butcher,Sam Hammond,Diane Marleau,Gerry McIntaggart,Joey Methé,J. David Popescu,Kevin Serviss,Dave Starbuck,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Sudbury/Sudbury"," 1","Walden",8,0,28,31,3,1,17,0,0,88,211
"Sudbury/Sudbury"," 2","Walden",10,1,82,176,13,0,70,1,2,355,525
"Sudbury/Sudbury"," 3","Walden",8,1,69,113,8,1,70,1,1,272,436
"Sudbury/Sudbury"," 4","Walden",6,0,50,80,8,0,65,0,1,210,349
"Sudbury/Sudbury"," 5","Walden",6,0,31,86,12,0,38,0,0,173,273
"Sudbury/Sudbury"," 6","Walden",4,0,30,66,9,1,30,0,1,141,265
"Sudbury/Sudbury"," 7","Walden",3,0,80,116,5,1,80,0,0,285,444
"Sudbury/Sudbury"," 8","Walden",2,0,64,93,7,0,54,0,0,220,383
"Sudbury/Sudbury"," 9","Walden",7,0,55,101,6,0,60,0,3,232,365
"Sudbury/Sudbury"," 10","Walden",2,0,35,81,5,0,35,2,2,162,269
"Sudbury/Sudbury"," 11","Walden",2,0,45,74,4,0,50,0,0,175,300
"Sudbury/Sudbury"," 12","Walden",3,0,55,52,7,0,42,0,1,160,296
"Sudbury/Sudbury"," 13","Walden",5,0,82,100,11,1,102,1,1,303,436
"Sudbury/Sudbury"," 14","Walden",5,0,88,107,8,0,77,0,1,286,508
"Sudbury/Sudbury"," 15","Walden",4,0,48,60,1,0,35,0,0,148,270
"Sudbury/Sudbury"," 16A","Walden",5,0,60,46,1,0,56,0,2,170,289
"Sudbury/Sudbury"," 16B","Walden",6,0,69,60,0,0,53,0,0,188,297
"Sudbury/Sudbury"," 17","Walden",6,2,85,109,4,0,70,1,1,278,417
"Sudbury/Sudbury"," 18","Walden",9,0,126,99,16,0,111,0,1,362,533
"Sudbury/Sudbury"," 19","Walden",6,1,99,56,6,0,86,0,0,254,374
"Sudbury/Sudbury"," 20A","Walden",8,0,61,62,13,0,50,0,0,194,311
"Sudbury/Sudbury"," 20B","Walden",6,0,60,39,5,1,72,0,1,184,282
"Sudbury/Sudbury"," 21","Sudbury",0,0,91,41,3,1,22,0,1,159,316
"Sudbury/Sudbury"," 22","Sudbury",4,0,86,63,2,1,34,1,1,192,278
"Sudbury/Sudbury"," 23","Sudbury",13,1,77,74,4,0,48,1,1,219,319
"Sudbury/Sudbury"," 24","Sudbury",2,0,56,85,7,0,33,0,1,184,283
"Sudbury/Sudbury"," 25","Sudbury",7,1,75,112,4,0,38,1,2,240,348
"Sudbury/Sudbury"," 26","Sudbury",6,0,60,77,6,1,38,0,1,189,298
"Sudbury/Sudbury"," 27","Sudbury",3,0,74,47,0,0,25,0,0,149,233
"Sudbury/Sudbury"," 28","Sudbury",2,3,100,66,6,0,19,0,3,199,358
"Sudbury/Sudbury"," 29","Sudbury",2,0,67,75,5,0,32,1,0,182,327
"Sudbury/Sudbury"," 30","Sudbury",3,2,83,69,3,0,42,0,2,204,308
