Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Serge Abbat,Jerry Bance,Andrew Brett,Yaqoob Khan,Derek Lee,Alan Mercer,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Scarborough--Rouge River/Scarborough--Rouge River"," 1","Scarborough",4,27,28,1,120,0,0,180,410
"Scarborough--Rouge River/Scarborough--Rouge River"," 2","Scarborough",2,44,26,1,123,1,2,199,385
"Scarborough--Rouge River/Scarborough--Rouge River"," 3","Scarborough",3,51,24,2,138,0,0,218,456
"Scarborough--Rouge River/Scarborough--Rouge River"," 4A","Scarborough",0,26,18,2,92,0,0,138,253
"Scarborough--Rouge River/Scarborough--Rouge River"," 4B","Scarborough",6,35,17,0,83,0,1,142,303
"Scarborough--Rouge River/Scarborough--Rouge River"," 5A","Scarborough",2,28,10,0,103,1,0,144,315
"Scarborough--Rouge River/Scarborough--Rouge River"," 5B","Scarborough",3,24,24,0,68,2,1,122,255
"Scarborough--Rouge River/Scarborough--Rouge River"," 6","Scarborough",2,39,26,0,134,0,0,201,447
"Scarborough--Rouge River/Scarborough--Rouge River"," 7","Scarborough",7,53,19,1,154,0,0,234,446
"Scarborough--Rouge River/Scarborough--Rouge River"," 8","Scarborough",10,76,27,1,138,2,0,254,489
"Scarborough--Rouge River/Scarborough--Rouge River"," 9","Scarborough",9,54,31,1,121,2,0,218,468
"Scarborough--Rouge River/Scarborough--Rouge River"," 10","Scarborough",4,47,19,1,155,0,0,226,423
"Scarborough--Rouge River/Scarborough--Rouge River"," 11","Scarborough",0,30,24,1,138,0,0,193,400
"Scarborough--Rouge River/Scarborough--Rouge River"," 12","Scarborough",3,60,31,1,134,3,0,232,507
"Scarborough--Rouge River/Scarborough--Rouge River"," 12-1","Scarborough",0,10,12,1,66,0,0,89,193
"Scarborough--Rouge River/Scarborough--Rouge River"," 13","Scarborough",2,41,28,1,160,0,1,233,469
"Scarborough--Rouge River/Scarborough--Rouge River"," 14","Scarborough",11,45,38,5,156,2,1,258,473
"Scarborough--Rouge River/Scarborough--Rouge River"," 15","Scarborough",3,48,10,1,163,0,1,226,469
"Scarborough--Rouge River/Scarborough--Rouge River"," 16","Scarborough",4,54,29,1,169,3,0,260,455
"Scarborough--Rouge River/Scarborough--Rouge River"," 17","Scarborough",11,66,30,1,168,0,0,276,449
"Scarborough--Rouge River/Scarborough--Rouge River"," 18","Scarborough",2,62,15,1,150,1,0,231,438
"Scarborough--Rouge River/Scarborough--Rouge River"," 19","Scarborough",5,47,30,1,219,0,1,303,523
"Scarborough--Rouge River/Scarborough--Rouge River"," 20","Scarborough",4,48,21,0,195,1,1,270,473
"Scarborough--Rouge River/Scarborough--Rouge River"," 21","Scarborough",5,49,17,2,143,0,2,218,400
"Scarborough--Rouge River/Scarborough--Rouge River"," 22","Scarborough",2,27,35,2,173,2,0,241,457
"Scarborough--Rouge River/Scarborough--Rouge River"," 23","Scarborough",5,50,22,2,143,0,3,225,507
"Scarborough--Rouge River/Scarborough--Rouge River"," 24","Scarborough",5,33,19,0,120,0,5,182,450
"Scarborough--Rouge River/Scarborough--Rouge River"," 25","Scarborough",2,42,15,0,180,0,3,242,437
"Scarborough--Rouge River/Scarborough--Rouge River"," 26","Scarborough",2,58,17,1,132,0,0,210,461
"Scarborough--Rouge River/Scarborough--Rouge River"," 27","Scarborough",8,76,24,0,167,2,0,277,507
"Scarborough--Rouge River/Scarborough--Rouge River"," 28","Scarborough",5,60,36,0,169,2,1,273,474
"Scarborough--Rouge River/Scarborough--Rouge River"," 29","Scarborough",7,39,26,0,175,2,2,251,436
"Scarborough--Rouge River/Scarborough--Rouge River"," 30","Scarborough",1,57,30,4,142,1,1,236,458
"Scarborough--Rouge River/Scarborough--Rouge River"," 31","Scarborough",0,28,27,0,164,4,0,223,420
"Scarborough--Rouge River/Scarborough--Rouge River"," 32","Scarborough",5,40,15,0,181,0,0,241,502
"Scarborough--Rouge River/Scarborough--Rouge River"," 33","Scarborough",4,59,14,0,130,3,0,210,538
"Scarborough--Rouge River/Scarborough--Rouge River"," 34","Scarborough",4,48,26,1,138,0,1,218,441
"Scarborough--Rouge River/Scarborough--Rouge River"," 35","Scarborough",2,42,32,0,124,0,2,202,451
"Scarborough--Rouge River/Scarborough--Rouge River"," 36","Scarborough",1,45,30,3,175,1,2,257,448
"Scarborough--Rouge River/Scarborough--Rouge River"," 37","Scarborough",12,39,23,2,122,1,1,200,430
"Scarborough--Rouge River/Scarborough--Rouge River"," 38","Scarborough",3,39,22,0,139,1,3,207,441
"Scarborough--Rouge River/Scarborough--Rouge River"," 39","Scarborough",4,46,31,2,143,2,4,232,452
"Scarborough--Rouge River/Scarborough--Rouge River"," 40","Scarborough",4,69,24,1,140,1,2,241,449
"Scarborough--Rouge River/Scarborough--Rouge River"," 41","Scarborough",5,40,21,1,137,0,2,206,365
"Scarborough--Rouge River/Scarborough--Rouge River"," 42","Scarborough",1,52,25,1,150,2,1,232,457
"Scarborough--Rouge River/Scarborough--Rouge River"," 43A","Scarborough",4,39,16,0,104,0,1,164,321
"Scarborough--Rouge River/Scarborough--Rouge River"," 43B","Scarborough",2,22,16,0,82,3,1,126,239
"Scarborough--Rouge River/Scarborough--Rouge River"," 44","Scarborough",4,41,27,0,199,3,2,276,460
"Scarborough--Rouge River/Scarborough--Rouge River"," 45","Scarborough",6,44,33,4,177,2,2,268,471
"Scarborough--Rouge River/Scarborough--Rouge River"," 46","Scarborough",4,43,25,5,157,1,0,235,452
"Scarborough--Rouge River/Scarborough--Rouge River"," 47","Scarborough",2,38,25,1,169,2,2,239,457
