Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Will Arlow,Phill Borm,Crispin Colvin,Ken DeVries,Jonathan Martyn,Tim McCallum,Joe Preston,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 1","Cherry Grove",1,0,83,2,14,56,127,2,285,463
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 2","Wellburn",0,3,58,3,17,42,135,2,260,399
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 3","Thorndale",1,2,68,1,17,44,84,0,217,339
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 4","Bryanston",0,0,77,1,16,37,138,0,269,484
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 5","West Nissouri",0,3,76,7,17,59,132,1,295,553
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 6","Evelyn",0,2,48,2,18,19,63,1,153,247
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 7","London",0,3,88,1,13,48,156,0,309,535
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 8","London",1,3,114,6,16,38,160,0,338,519
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9A","London",0,2,61,1,8,38,87,2,199,277
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 9B","London",0,2,83,2,3,31,89,0,210,323
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 10","London",0,2,53,1,6,45,50,1,158,318
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 11","London",0,5,105,2,17,73,143,3,348,511
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 12","London",1,2,85,0,9,32,89,1,219,353
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 13","London",0,1,80,1,7,41,102,0,232,357
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 14","London",1,2,89,0,8,24,136,3,263,431
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 15","London",1,9,100,2,11,30,84,2,239,536
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 16","London",1,6,34,2,6,18,63,1,131,289
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 17","London",1,1,53,1,13,40,82,2,193,383
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 18","London",0,4,100,3,8,72,40,4,231,597
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 19","London",0,2,100,1,7,59,38,2,209,353
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 20","London",2,6,107,9,12,75,64,2,277,448
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 21","London",0,2,46,2,4,37,27,1,119,245
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 22","London",0,6,102,3,22,71,98,0,302,522
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 23","London",0,1,28,3,6,38,21,0,97,198
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 24","London",2,4,58,3,10,69,60,2,208,403
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 25","London",0,4,64,3,5,34,48,0,158,283
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 26","London",0,0,19,4,2,9,29,0,63,119
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 27","London",0,2,61,0,16,36,123,0,238,341
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 28","North Dorchester",0,2,39,5,14,31,94,0,185,371
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 29","North Dorchester",1,2,55,3,20,32,104,0,217,397
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 30","Dorchester",0,1,30,3,5,27,50,1,117,174
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 31","Dorchester",0,3,43,4,13,67,96,3,229,370
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 32","Dorchester",0,8,63,8,13,78,128,2,300,487
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 33","Dorchester",0,6,77,1,21,54,163,1,323,505
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 34","Dorchester",0,1,78,3,18,41,130,1,272,439
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 35","Dorchester",0,0,43,2,22,32,72,3,174,282
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 36","Dorchester",0,1,83,3,12,32,117,1,249,387
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 37","Dorchester",0,1,73,2,16,52,163,2,309,466
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 38A","Dorchester",0,3,89,3,13,56,105,1,270,439
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 38B","Dorchester",0,2,66,1,6,46,125,1,247,385
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 39","Nilestown",0,4,75,1,15,23,82,1,201,359
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 40","North Dorchester",0,3,50,4,25,49,101,1,233,410
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 41","Putnam",0,11,66,8,27,61,124,2,299,476
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 42","Belmont",1,4,79,5,15,51,122,0,277,394
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 43","Belmont",0,2,95,4,16,57,141,0,315,454
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 44","Belmont",0,2,46,1,13,17,75,1,155,235
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 45","Belmont",0,4,71,2,11,52,99,2,241,330
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 46","Gladstone",0,1,81,7,18,32,112,5,256,428
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 47","Crampton",2,5,64,7,23,43,142,2,288,489
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 48","Wardsville",1,2,60,3,10,44,66,1,187,267
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 49","West Lorne",1,2,53,4,15,38,102,1,216,341
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 50","Rodney",1,0,56,4,13,49,108,0,231,419
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 51","Rodney",1,2,44,0,4,26,58,0,135,230
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 52","Rodney",0,2,35,0,11,30,55,0,133,257
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 53","Rodney",0,2,40,3,7,43,66,1,162,291
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 54","West Lorne",1,2,47,5,10,62,95,2,224,406
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 55","West Lorne",2,3,77,2,9,68,61,2,224,430
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 56","West Lorne",0,0,55,6,11,34,62,0,168,296
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 57","West Lorne",1,2,61,8,5,28,55,2,162,307
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 58","West Lorne",0,1,43,2,4,25,61,0,136,276
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 59","West Lorne",0,1,78,11,9,50,96,0,245,405
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 60","Dunwich",0,4,65,6,10,63,115,0,263,380
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 61","Dunwich",0,0,39,1,12,34,69,1,156,240
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 62","Dutton",2,2,62,7,8,97,119,0,297,499
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 63","Dutton",0,6,93,6,10,77,140,0,332,602
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 64","Dunwich",0,0,38,7,5,33,91,0,174,266
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 65","Dunwich",0,1,50,6,11,39,98,0,205,314
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 66","Dunwich",0,1,48,6,14,37,104,0,210,341
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 67","Southwold",0,6,66,5,14,45,74,1,211,363
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 68","Southwold",1,3,50,4,8,28,112,0,206,279
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 69","Southwold",0,3,63,7,20,50,118,1,262,374
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 70","Southwold",0,0,31,0,11,23,85,0,150,204
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 71","Southwold",0,4,53,2,25,57,111,2,254,368
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 72","Southwold",1,1,50,5,18,39,132,1,247,389
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 73","Southwold",0,2,41,2,12,34,85,1,177,282
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 74","Southwold",2,2,77,7,18,41,137,2,286,499
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 75","Southwold",0,0,57,2,9,32,77,0,177,293
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 76","Port Stanley",0,0,32,0,13,36,68,0,149,293
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 77","Port Stanley",0,6,86,3,25,58,127,0,305,581
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 78","Port Stanley",1,1,64,3,18,32,59,3,181,333
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 79","Port Stanley",0,0,40,1,9,28,33,0,111,217
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 80","Port Stanley",0,1,35,1,12,34,62,1,146,313
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 81","Port Stanley",0,0,61,1,23,35,66,0,186,362
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82A","St. Thomas",0,1,55,4,9,61,74,2,206,388
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 82B","St. Thomas",0,0,66,2,8,40,108,1,225,418
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 83","St. Thomas",2,5,79,1,11,68,133,1,300,534
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 84","St. Thomas",0,1,56,9,11,48,74,1,200,308
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 85","St. Thomas",0,1,64,3,19,51,101,0,239,377
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 86","St. Thomas",0,3,75,2,8,34,81,0,203,434
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 87","St. Thomas",0,1,66,2,12,32,44,4,161,288
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 88","St. Thomas",0,1,32,2,8,37,17,1,98,292
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 89","St. Thomas",0,0,48,2,8,50,48,0,156,371
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 90","St. Thomas",0,2,53,6,9,40,85,0,195,329
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 91","St. Thomas",0,1,47,4,10,36,72,1,171,301
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 92","St. Thomas",1,1,83,3,16,99,137,0,340,568
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 93","Central Elgin",0,0,44,1,5,22,86,0,158,254
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 94A","Central Elgin",0,3,66,5,11,55,84,1,225,408
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 94B","Central Elgin",0,3,65,3,13,55,124,0,263,441
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 95","St. Thomas",0,2,46,3,16,63,63,0,193,379
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 96","St. Thomas",6,5,62,7,13,64,101,1,259,583
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 97","St. Thomas",0,0,34,2,7,39,71,2,155,415
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 98","St. Thomas",0,0,38,4,6,36,51,1,136,356
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 99","St. Thomas",1,3,35,3,9,31,41,0,123,273
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 100","St. Thomas",0,0,42,1,9,54,65,3,174,351
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 101","St. Thomas",1,2,32,0,8,52,63,2,160,332
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 102","St. Thomas",1,3,46,6,13,62,69,3,203,432
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 103","St. Thomas",0,3,35,9,3,50,60,1,161,340
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 104","St. Thomas",1,2,56,4,7,55,59,0,184,347
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 105","St. Thomas",0,1,80,6,15,59,60,2,223,422
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 106","St. Thomas",0,0,58,2,14,34,72,0,180,311
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 107","St. Thomas",0,0,50,5,10,31,45,0,141,311
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 108","St. Thomas",1,3,61,2,13,43,43,0,166,370
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 109","St. Thomas",2,2,56,5,16,46,61,1,189,404
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 110","St. Thomas",0,1,37,1,9,49,37,1,135,231
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 111","St. Thomas",1,0,68,7,13,35,58,0,182,316
"Elgin--Middlesex--London/Elgin--Middlesex--London"," 112","St. Thomas",1,0,40,4,10,45,47,0,147,330
