Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Laurie Hawn,Donna Martyn,Anne McLellan,Peggy Morton,David J. Parker,Chandra Segaran Swamy,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Edmonton Centre/Edmonton-Centre"," 178","Edmonton",113,27,72,0,6,1,3,222,358
"Edmonton Centre/Edmonton-Centre"," 179","Edmonton",106,23,53,0,8,1,0,191,416
"Edmonton Centre/Edmonton-Centre"," 180","Edmonton",131,29,119,1,18,1,0,299,449
"Edmonton Centre/Edmonton-Centre"," 181","Edmonton",117,6,107,1,9,1,0,241,380
"Edmonton Centre/Edmonton-Centre"," 182","Edmonton",114,15,105,0,13,0,0,247,379
"Edmonton Centre/Edmonton-Centre"," 183","Edmonton",131,17,72,1,6,0,0,227,379
"Edmonton Centre/Edmonton-Centre"," 184","Edmonton",153,25,79,0,18,1,1,277,414
"Edmonton Centre/Edmonton-Centre"," 185","Edmonton",149,24,107,0,4,0,1,285,504
"Edmonton Centre/Edmonton-Centre"," 186","Edmonton",120,13,71,0,11,2,0,217,376
"Edmonton Centre/Edmonton-Centre"," 187","Edmonton",157,32,103,0,6,0,0,298,527
"Edmonton Centre/Edmonton-Centre"," 188","Edmonton",98,9,65,0,5,1,1,179,350
"Edmonton Centre/Edmonton-Centre"," 189","Edmonton",163,39,91,1,16,1,1,312,489
"Edmonton Centre/Edmonton-Centre"," 190","Edmonton",86,8,43,1,8,1,0,147,235
"Edmonton Centre/Edmonton-Centre"," 191","Edmonton",96,28,65,0,9,1,1,200,469
"Edmonton Centre/Edmonton-Centre"," 192","Edmonton",72,18,55,0,10,2,0,157,344
"Edmonton Centre/Edmonton-Centre"," 193A","Edmonton",0,0,0,0,0,0,0,0,25
"Edmonton Centre/Edmonton-Centre"," 193B","Mobile poll/Bureau itinérant",Merged with No. 501/Fusionné avec le nº 501,,,,,,,,90
"Edmonton Centre/Edmonton-Centre"," 194","Edmonton",59,17,65,1,6,2,4,154,352
"Edmonton Centre/Edmonton-Centre"," 195","Edmonton",100,40,68,0,9,0,0,217,473
"Edmonton Centre/Edmonton-Centre"," 196","Edmonton",138,19,44,0,10,0,1,212,351
"Edmonton Centre/Edmonton-Centre"," 197","Edmonton",112,32,70,0,10,0,0,224,347
"Edmonton Centre/Edmonton-Centre"," 198","Edmonton",170,28,99,0,3,0,0,300,462
"Edmonton Centre/Edmonton-Centre"," 199","Edmonton",105,19,75,3,6,1,1,210,320
"Edmonton Centre/Edmonton-Centre"," 200","Edmonton",134,26,70,0,13,2,1,246,408
"Edmonton Centre/Edmonton-Centre"," 201","Edmonton",79,17,38,1,6,0,1,142,308
"Edmonton Centre/Edmonton-Centre"," 202","Edmonton",91,11,78,0,6,0,2,188,392
"Edmonton Centre/Edmonton-Centre"," 203","Edmonton",138,15,76,0,8,0,0,237,368
"Edmonton Centre/Edmonton-Centre"," 204","Edmonton",136,28,100,0,14,2,0,280,437
"Edmonton Centre/Edmonton-Centre"," 205","Edmonton",166,23,123,0,17,1,0,330,466
"Edmonton Centre/Edmonton-Centre"," 206","Edmonton",116,17,121,0,20,1,0,275,420
"Edmonton Centre/Edmonton-Centre"," 207","Edmonton",137,24,115,1,11,1,0,289,440
"Edmonton Centre/Edmonton-Centre"," 208","Edmonton",93,20,53,0,4,2,2,174,382
"Edmonton Centre/Edmonton-Centre"," 209","Edmonton",132,25,97,1,17,0,1,273,400
"Edmonton Centre/Edmonton-Centre"," 210","Edmonton",137,20,134,0,16,0,0,307,455
"Edmonton Centre/Edmonton-Centre"," 211","Edmonton",117,8,118,1,12,0,1,257,383
"Edmonton Centre/Edmonton-Centre"," 212","Edmonton",139,8,137,1,13,0,0,298,488
"Edmonton Centre/Edmonton-Centre"," 213","Edmonton",140,20,159,0,21,0,0,340,473
"Edmonton Centre/Edmonton-Centre"," 214","Edmonton",135,18,133,1,8,1,1,297,432
"Edmonton Centre/Edmonton-Centre"," 400","Edmonton",194,28,111,1,4,1,10,349,461
"Edmonton Centre/Edmonton-Centre"," 401","Edmonton",117,21,93,0,4,1,0,236,320
