Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Lancine Diawara,David Fiset,Philippe Haese,Sébastien Legris,Adam Sommerfeld,Caroline St-Hilaire,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 1","Boucherville",7,0,6,9,1,44,0,67,118
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 2","Boucherville",24,0,23,69,13,126,3,258,391
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 3","Boucherville",20,0,13,40,5,110,5,193,350
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 4A","Boucherville",10,1,20,41,3,90,4,169,303
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 4B","Boucherville",19,0,15,36,7,89,3,169,319
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 5","Boucherville",19,1,15,34,6,88,4,167,328
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 6","Boucherville",42,3,32,63,14,146,4,304,520
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 7","Boucherville",24,1,18,64,10,93,4,214,300
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 8","Boucherville",39,3,23,57,16,97,0,235,368
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 9","Boucherville",28,1,21,46,15,114,1,226,386
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 10","Boucherville",44,0,15,72,26,140,1,298,461
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 11","Boucherville",29,5,35,52,19,151,3,294,402
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 12","Boucherville",31,4,31,57,13,114,3,253,369
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 13","Boucherville",36,3,23,52,17,127,5,263,376
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 14","Boucherville",29,1,52,64,7,182,6,341,462
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 15","Boucherville",26,2,28,51,15,144,6,272,359
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 16","Boucherville",26,1,21,49,8,89,0,194,306
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 17","Boucherville",21,1,30,39,8,142,4,245,431
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 18","Boucherville",22,0,22,59,17,138,2,260,404
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 19","Boucherville",28,2,21,57,14,141,5,268,425
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 20","Boucherville",30,0,31,68,18,178,1,326,509
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 21","Boucherville",26,2,21,48,11,108,2,218,388
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 22","Boucherville",19,1,26,42,12,138,2,240,352
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 23","Boucherville",36,0,27,95,16,183,7,364,587
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 24","Boucherville",44,3,38,97,13,217,4,416,634
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 25","Boucherville",50,2,24,81,11,136,1,305,458
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 26A","Boucherville",32,0,17,61,12,91,2,215,310
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 26B","Boucherville",28,1,15,69,11,98,3,225,327
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 27","Boucherville",30,1,35,80,13,114,5,278,407
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 28","Boucherville",23,0,20,50,8,113,1,215,312
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 29","Boucherville",25,1,16,61,10,93,1,207,292
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 30","Boucherville",21,0,25,62,7,84,1,200,299
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 31","Boucherville",34,0,14,80,10,128,1,267,385
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 32","Boucherville",22,2,37,34,11,173,5,284,390
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 33","Boucherville",35,1,24,65,17,136,2,280,388
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 34","Boucherville",39,4,27,67,24,159,6,326,464
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 35","Boucherville",23,2,27,45,13,108,4,222,340
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 36","Boucherville",25,2,25,57,8,119,2,238,361
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 37","Boucherville",0,0,0,3,0,12,0,15,44
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 38","Longueuil",29,0,17,26,7,94,0,173,275
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 39","Longueuil",28,1,24,53,15,120,0,241,357
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 40","Longueuil",25,1,14,44,4,103,8,199,347
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 41","Longueuil",18,2,13,45,4,139,3,224,355
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 42","Longueuil",15,2,8,47,10,140,5,227,404
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 43","Longueuil",19,3,14,37,5,141,4,223,395
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 44","Longueuil",8,0,7,20,7,59,3,104,319
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 45","Longueuil",18,1,13,28,3,96,3,162,518
"Longueuil--Pierre-Boucher/Longueuil--Pierre-Boucher"," 46","Longueuil",12,1,18,36,8,137,3,215,411
