Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Rodger Cuzner,Rob Hines,Kenzie MacNeil,Hector Morrison,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Cape Breton--Canso/Cape Breton--Canso"," 1","Chéticamp",121,2,29,14,1,167,247
"Cape Breton--Canso/Cape Breton--Canso"," 2","Belle-Marche",70,1,27,33,4,135,206
"Cape Breton--Canso/Cape Breton--Canso"," 3","Chéticamp",85,4,26,15,0,130,181
"Cape Breton--Canso/Cape Breton--Canso"," 4","Chéticamp",131,5,74,25,1,236,338
"Cape Breton--Canso/Cape Breton--Canso"," 5","Belle-Marche",174,7,87,25,2,295,400
"Cape Breton--Canso/Cape Breton--Canso"," 6","Chéticamp",68,3,34,15,0,120,212
"Cape Breton--Canso/Cape Breton--Canso"," 7","Plateau",138,3,71,35,6,253,338
"Cape Breton--Canso/Cape Breton--Canso"," 8","Point Cross",126,11,37,30,3,207,296
"Cape Breton--Canso/Cape Breton--Canso"," 9","St. Joseph du Moine",108,5,48,20,4,185,270
"Cape Breton--Canso/Cape Breton--Canso"," 10","Belle Côte",58,4,41,24,0,127,209
"Cape Breton--Canso/Cape Breton--Canso"," 11","Margaree Harbour",48,8,18,9,0,83,162
"Cape Breton--Canso/Cape Breton--Canso"," 12","Margaree",70,3,60,22,0,155,200
"Cape Breton--Canso/Cape Breton--Canso"," 13","Big Intervale",87,4,51,20,0,162,233
"Cape Breton--Canso/Cape Breton--Canso"," 14","Margaree Forks",77,7,53,10,0,147,211
"Cape Breton--Canso/Cape Breton--Canso"," 15","North East Margaree",169,4,139,21,1,334,464
"Cape Breton--Canso/Cape Breton--Canso"," 16","Dunvegan",100,4,49,10,1,164,248
"Cape Breton--Canso/Cape Breton--Canso"," 17","Scotsville",101,11,44,21,2,179,279
"Cape Breton--Canso/Cape Breton--Canso"," 18","Inverness",114,7,67,16,1,205,311
"Cape Breton--Canso/Cape Breton--Canso"," 19","Inverness",99,2,64,18,2,185,293
"Cape Breton--Canso/Cape Breton--Canso"," 20","Inverness",81,0,46,17,3,147,243
"Cape Breton--Canso/Cape Breton--Canso"," 21","Inverness",151,3,87,26,1,268,399
"Cape Breton--Canso/Cape Breton--Canso"," 22","Strathlorne",124,6,60,34,1,225,414
"Cape Breton--Canso/Cape Breton--Canso"," 23","Mabou",126,5,77,28,1,237,374
"Cape Breton--Canso/Cape Breton--Canso"," 24","Glendyer",43,1,40,21,0,105,143
"Cape Breton--Canso/Cape Breton--Canso"," 25","Brook Village",47,7,44,18,0,116,188
"Cape Breton--Canso/Cape Breton--Canso"," 26","Stewartdale",59,11,96,22,0,188,265
"Cape Breton--Canso/Cape Breton--Canso"," 27","Whycocomagh",109,8,93,23,1,234,380
"Cape Breton--Canso/Cape Breton--Canso"," 28","Whycocomagh Reserve",155,6,9,7,5,182,412
"Cape Breton--Canso/Cape Breton--Canso"," 29","Port Hood",121,13,96,22,0,252,379
"Cape Breton--Canso/Cape Breton--Canso"," 30","Mabou",95,4,83,18,1,201,305
"Cape Breton--Canso/Cape Breton--Canso"," 31A","Port Hood",63,0,31,9,0,103,159
"Cape Breton--Canso/Cape Breton--Canso"," 31B","Port Hood",128,6,84,15,0,233,336
"Cape Breton--Canso/Cape Breton--Canso"," 32","Glencoe Station",148,5,67,23,0,243,424
"Cape Breton--Canso/Cape Breton--Canso"," 33","Judique North",151,5,80,20,1,257,333
"Cape Breton--Canso/Cape Breton--Canso"," 34","Orangedale",60,13,38,32,6,149,202
"Cape Breton--Canso/Cape Breton--Canso"," 35","Blue Mills",78,0,56,16,1,151,263
"Cape Breton--Canso/Cape Breton--Canso"," 36","Valley Mills",41,2,25,32,0,100,153
"Cape Breton--Canso/Cape Breton--Canso"," 37","Blue Mills",51,3,44,15,0,113,156
"Cape Breton--Canso/Cape Breton--Canso"," 38","West Bay Road",81,5,75,38,0,199,322
"Cape Breton--Canso/Cape Breton--Canso"," 39","Creignish",148,8,82,51,1,290,435
"Cape Breton--Canso/Cape Breton--Canso"," 40","Port Hastings",122,5,79,67,2,275,438
"Cape Breton--Canso/Cape Breton--Canso"," 41","Port Hastings",145,7,85,67,0,304,467
"Cape Breton--Canso/Cape Breton--Canso"," 42","Port Hawkesbury",143,7,83,42,1,276,475
"Cape Breton--Canso/Cape Breton--Canso"," 43","Port Hawkesbury",77,6,71,50,1,205,372
