Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Russ Hiebert,Brian Marlatt,Jim McMurtry,Pierre Rovtar,Libby Thornton,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1A","Surrey",128,0,73,10,47,0,258,425
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 1B","Surrey",122,3,76,4,47,0,252,387
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 2","Surrey",125,1,99,9,44,0,278,498
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 3A","Surrey",71,0,71,12,45,0,199,339
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 3B","Mobile poll/Bureau itinérant",Merged with No. 502B/Fusionné avec le nº 502B,,,,,,,13
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 4","Surrey",87,3,41,4,50,1,186,351
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 5","Surrey",142,1,73,22,70,0,308,476
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 6","Surrey",82,3,35,9,33,1,163,291
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 7","Surrey",111,2,53,8,71,0,245,425
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 8","Surrey",112,0,61,9,76,3,261,405
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 9","Surrey",126,2,86,16,78,0,308,476
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 10","Surrey",169,0,95,17,75,0,356,564
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11A","Surrey",163,3,96,8,56,0,326,471
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11B","Surrey",175,4,116,16,74,1,386,604
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 11C","Surrey",181,2,110,16,53,0,362,510
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 12A","Surrey",82,0,53,7,32,0,174,284
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 12B","Surrey",61,0,46,11,37,1,156,256
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 13","Surrey",137,4,76,11,53,1,282,485
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 14","Surrey",116,2,51,15,55,1,240,450
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 15","Surrey",58,1,45,5,44,1,154,295
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 16A","Surrey",66,1,41,3,37,3,151,279
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 16B","Surrey",72,0,36,8,25,2,143,291
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 17","Surrey",82,1,49,5,57,0,194,306
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 18","Surrey",80,0,63,12,26,0,181,287
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19A","Surrey",135,1,85,11,51,0,283,426
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 19B","Surrey",104,1,69,11,46,2,233,407
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20A","Surrey",132,1,65,6,54,0,258,437
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 20B","Surrey",129,1,67,7,41,0,245,421
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21A","Surrey",97,1,81,12,57,0,248,385
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 21B","Surrey",107,2,80,6,61,0,256,400
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 22","Surrey",144,3,68,12,86,0,313,493
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 23A","Surrey",141,2,82,8,48,1,282,422
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 23B","Surrey",140,5,82,14,49,0,290,487
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 24A","Surrey",72,0,47,7,27,0,153,261
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 24B","Surrey",74,0,56,6,34,0,170,245
"South Surrey--White Rock--Cloverdale/Surrey-Sud--White Rock--Cloverdale"," 25","Surrey",148,0,102,8,55,0,313,474
