Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jody Di Bartolomeo,Mel Grunstein,John Maloney,Irma Ruiter,Brian Simpson,Ron Walker,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Welland/Welland"," 1","St. Catharines",40,117,50,4,11,0,0,222,360
"Welland/Welland"," 2","St. Catharines",82,119,111,5,12,1,0,330,511
"Welland/Welland"," 3","St. Catharines",51,107,86,3,9,1,1,258,383
"Welland/Welland"," 4","St. Catharines",61,100,65,2,9,0,1,238,373
"Welland/Welland"," 5","St. Catharines",73,43,52,1,4,0,1,174,307
"Welland/Welland"," 6","St. Catharines",77,40,63,4,6,1,0,191,400
"Welland/Welland"," 7","St. Catharines",61,37,51,2,12,0,1,164,328
"Welland/Welland"," 8","St. Catharines",61,53,50,2,10,0,0,176,285
"Welland/Welland"," 9","St. Catharines",75,44,42,4,13,0,0,178,375
"Welland/Welland"," 10","St. Catharines",61,34,44,2,8,0,0,149,303
"Welland/Welland"," 11","St. Catharines",82,41,55,5,4,2,0,189,414
"Welland/Welland"," 12","St. Catharines",93,74,47,1,12,0,0,227,412
"Welland/Welland"," 13","St. Catharines",109,70,69,4,4,0,0,256,493
"Welland/Welland"," 14","St. Catharines",54,46,62,4,12,0,0,178,290
"Welland/Welland"," 15","St. Catharines",66,109,108,2,13,1,0,299,535
"Welland/Welland"," 16A","St. Catharines",62,75,89,2,10,1,0,239,328
"Welland/Welland"," 16B","St. Catharines",37,80,60,0,8,0,0,185,309
"Welland/Welland"," 17A","St. Catharines",36,126,118,3,13,0,1,297,438
"Welland/Welland"," 17B","St. Catharines",51,137,116,2,6,0,0,312,469
"Welland/Welland"," 18","St. Catharines",46,141,102,0,7,1,0,297,489
"Welland/Welland"," 19","St. Catharines",72,96,88,2,13,0,1,272,453
"Welland/Welland"," 20A","St. Catharines",23,58,83,1,7,0,0,172,269
"Welland/Welland"," 20B","St. Catharines",165,88,187,1,54,3,2,500,556
"Welland/Welland"," 21","St. Catharines",34,57,98,1,8,0,1,199,325
"Welland/Welland"," 22","St. Catharines",44,91,90,0,15,0,0,240,395
"Welland/Welland"," 23","St. Catharines",35,100,128,2,10,1,0,276,429
"Welland/Welland"," 24","St. Catharines",41,44,83,0,10,0,1,179,301
"Welland/Welland"," 25","St. Catharines",63,69,120,5,9,0,0,266,395
"Welland/Welland"," 26","St. Catharines",47,75,93,1,10,0,0,226,374
"Welland/Welland"," 27A","St. Catharines",48,65,68,0,3,1,3,188,367
"Welland/Welland"," 27B","St. Catharines",Merged with No. 20B/Fusionné avec le nº 20B,,,,,,,,3
"Welland/Welland"," 28","St. Catharines",57,115,110,2,2,0,1,287,468
"Welland/Welland"," 29","St. Catharines",66,77,98,0,6,0,0,247,364
"Welland/Welland"," 30","St. Catharines",77,39,79,3,12,0,0,210,317
"Welland/Welland"," 31","St. Catharines",71,64,81,1,18,0,0,235,375
"Welland/Welland"," 32","St. Catharines",95,68,42,3,12,0,0,220,367
"Welland/Welland"," 33","St. Catharines",108,82,68,0,11,0,1,270,483
"Welland/Welland"," 34","Thorold",76,88,109,0,14,1,0,288,411
"Welland/Welland"," 35","Thorold",95,87,93,0,12,1,0,288,442
"Welland/Welland"," 36","Thorold",103,116,97,1,11,0,1,329,499
"Welland/Welland"," 37","Thorold",82,79,69,0,4,0,2,236,399
"Welland/Welland"," 38","Thorold",83,82,118,0,10,1,1,295,486
