Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Jo-Anne Boulding,Tony Clement,Glen Hodgson,Andy Mitchell,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 1","Henvey Inlet 2",10,6,3,30,0,49,88
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 2","Key Junction",18,84,9,113,0,224,488
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 3","Magnetawan 1",7,6,0,18,0,31,52
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 4","Pointe au Baril Station",15,82,12,65,2,176,306
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 5","Shawanaga 17",5,5,1,59,0,70,115
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 6","Loring",21,91,6,53,0,171,267
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 7","Dokis 9",15,8,1,82,0,106,145
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 8","Restoule",40,111,17,69,1,238,356
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 9","Arnstein",27,125,10,78,0,240,347
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 10","Port Loring",9,75,4,27,0,115,209
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 11","Whitestone",11,68,15,43,0,137,176
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 12","Hagerman",65,111,26,125,0,327,483
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 13","Ahmic Harbour",30,66,14,88,0,198,320
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14A","Magnetawan",35,72,18,86,1,212,306
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 14B","Magnetawan",25,76,10,68,0,179,253
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 15","Eagle Lake",25,89,11,72,0,197,350
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 16","Machar",20,74,11,51,1,157,288
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 17","South River",25,77,5,50,1,158,355
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 18A","South River",26,61,8,43,0,138,295
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 18B","South River",28,61,8,39,1,137,292
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 19","South River",Void/Supprimé,,,,,,
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 20","Joly",29,82,13,56,1,181,337
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 21","Strong",42,76,13,58,1,190,294
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 22","Sundridge",34,115,16,86,3,254,438
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 23","Sundridge",27,73,9,53,0,162,287
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 24","Sundridge",15,54,6,32,3,110,181
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 25","Strong",35,97,16,65,1,214,321
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 26","Strong",37,130,15,66,0,248,367
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 27","Chapman",27,69,8,37,0,141,232
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 28","Chapman",11,17,1,10,0,39,100
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 29","Ryerson",47,98,27,69,0,241,426
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 30","Armour",17,66,13,68,0,164,285
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 31A","Burk's Falls",22,43,19,52,2,138,296
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 31B","Burk's Falls",19,37,18,62,1,137,288
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 32","Burk's Falls",37,54,12,58,0,161,373
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 33","Armour",25,63,9,49,0,146,251
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 34","Armour",42,72,18,87,0,219,416
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 35","Kearney",32,71,9,74,0,186,299
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 36","Perry",37,99,28,82,1,247,387
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 37","McMurrich/Monteith",71,124,33,122,1,351,577
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 38","Scotia",26,89,13,84,0,212,413
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 39","Novar",50,156,26,80,1,313,499
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 40","Novar",18,73,16,73,1,181,317
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 41","Sand Lake",47,100,28,103,0,278,488
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 42","Carling",42,111,26,76,0,255,439
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 43","Carling",25,93,24,78,3,223,433
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 44","McDougall",22,120,32,62,0,236,416
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 45","McDougall",24,82,17,72,2,197,332
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 46","McDougall",22,78,19,47,1,167,257
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 47","McDougall",21,97,31,71,0,220,417
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 48","McDougall",5,30,7,19,0,61,113
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 49","McDougall",35,88,24,92,0,239,388
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 50","McKellar",28,86,19,97,2,232,317
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 51","McKellar",38,127,13,86,0,264,501
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 52","Parry Sound",20,77,16,48,2,163,361
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 53","Parry Sound",27,63,16,83,0,189,396
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 54","Parry Sound",45,62,19,65,0,191,363
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 55","Parry Sound",19,64,17,78,1,179,425
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 56","Parry Sound",33,95,30,84,0,242,499
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 57","Parry Sound",10,53,9,49,0,121,308
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 58","Parry Sound",21,48,18,65,0,152,283
"Parry Sound--Muskoka/Parry Sound--Muskoka"," 59","Parry Sound",30,85,18,76,0,209,436
