Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Reg Alcock,Rod Bruinooge,Heidi Loewen-Steffano,Robert Page,Wesley Owen Whiteside,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Winnipeg South/Winnipeg-Sud"," 80","Winnipeg",81,64,3,49,13,0,210,401
"Winnipeg South/Winnipeg-Sud"," 81","Winnipeg",66,82,1,34,8,0,191,359
"Winnipeg South/Winnipeg-Sud"," 82","Winnipeg",25,31,1,11,4,0,72,166
"Winnipeg South/Winnipeg-Sud"," 83","Winnipeg",121,85,1,30,14,1,252,365
"Winnipeg South/Winnipeg-Sud"," 84","Winnipeg",138,78,2,26,16,1,261,385
"Winnipeg South/Winnipeg-Sud"," 85","Winnipeg",112,86,2,44,17,0,261,408
"Winnipeg South/Winnipeg-Sud"," 86","Winnipeg",24,21,2,28,4,0,79,185
"Winnipeg South/Winnipeg-Sud"," 87","Winnipeg",48,54,2,28,5,0,137,304
"Winnipeg South/Winnipeg-Sud"," 88","Winnipeg",56,39,0,29,7,0,131,283
"Winnipeg South/Winnipeg-Sud"," 89","Winnipeg",97,72,3,52,7,2,233,380
"Winnipeg South/Winnipeg-Sud"," 90","Winnipeg",110,99,1,38,6,0,254,378
"Winnipeg South/Winnipeg-Sud"," 91","Winnipeg",157,101,2,24,4,0,288,405
"Winnipeg South/Winnipeg-Sud"," 92","Winnipeg",128,132,3,45,11,1,320,533
"Winnipeg South/Winnipeg-Sud"," 93","Winnipeg",98,85,2,37,10,0,232,441
"Winnipeg South/Winnipeg-Sud"," 94","Winnipeg",88,64,0,28,13,0,193,281
"Winnipeg South/Winnipeg-Sud"," 95","Winnipeg",96,100,2,49,8,0,255,381
"Winnipeg South/Winnipeg-Sud"," 96","Winnipeg",135,81,1,31,7,0,255,395
"Winnipeg South/Winnipeg-Sud"," 97","Winnipeg",121,124,1,23,10,1,280,424
"Winnipeg South/Winnipeg-Sud"," 98","Winnipeg",148,141,0,33,8,1,331,464
"Winnipeg South/Winnipeg-Sud"," 99","Winnipeg",102,76,1,38,16,0,233,363
"Winnipeg South/Winnipeg-Sud"," 100","Winnipeg",61,58,2,45,10,2,178,352
"Winnipeg South/Winnipeg-Sud"," 101","Winnipeg",71,102,2,25,8,0,208,320
"Winnipeg South/Winnipeg-Sud"," 102","Winnipeg",66,67,3,36,5,0,177,310
"Winnipeg South/Winnipeg-Sud"," 103","Winnipeg",85,108,4,58,6,0,261,430
"Winnipeg South/Winnipeg-Sud"," 104","Winnipeg",72,43,1,24,3,0,143,297
"Winnipeg South/Winnipeg-Sud"," 105","Winnipeg",115,107,0,42,10,1,275,404
"Winnipeg South/Winnipeg-Sud"," 106","Winnipeg",128,104,1,52,9,0,294,467
"Winnipeg South/Winnipeg-Sud"," 107","Winnipeg",112,101,0,58,25,0,296,431
"Winnipeg South/Winnipeg-Sud"," 108","Winnipeg",72,56,0,44,6,0,178,367
"Winnipeg South/Winnipeg-Sud"," 109","Winnipeg",42,40,1,46,4,0,133,342
"Winnipeg South/Winnipeg-Sud"," 110","Winnipeg",78,67,2,38,7,1,193,335
"Winnipeg South/Winnipeg-Sud"," 111","Winnipeg",107,94,0,42,17,0,260,400
"Winnipeg South/Winnipeg-Sud"," 112","Winnipeg",77,77,0,43,11,0,208,374
"Winnipeg South/Winnipeg-Sud"," 113","Winnipeg",73,77,1,24,3,1,179,329
"Winnipeg South/Winnipeg-Sud"," 114","Winnipeg",132,142,5,62,12,0,353,556
"Winnipeg South/Winnipeg-Sud"," 115","Winnipeg",63,90,1,30,9,0,193,348
"Winnipeg South/Winnipeg-Sud"," 116","Winnipeg",90,88,1,37,2,0,218,362
"Winnipeg South/Winnipeg-Sud"," 117","Winnipeg",95,117,3,63,10,0,288,461
"Winnipeg South/Winnipeg-Sud"," 118","Winnipeg",108,98,3,54,8,0,271,433
"Winnipeg South/Winnipeg-Sud"," 119","Winnipeg",142,99,0,47,5,1,294,487
"Winnipeg South/Winnipeg-Sud"," 120","Winnipeg",147,110,0,28,14,0,299,501
"Winnipeg South/Winnipeg-Sud"," 121","Winnipeg",89,64,0,56,2,0,211,345
"Winnipeg South/Winnipeg-Sud"," 122","Winnipeg",91,83,2,38,7,0,221,358
"Winnipeg South/Winnipeg-Sud"," 123","Winnipeg",142,89,1,46,5,0,283,432
"Winnipeg South/Winnipeg-Sud"," 124","Winnipeg",66,113,1,58,5,0,243,407
"Winnipeg South/Winnipeg-Sud"," 125","Winnipeg",56,66,1,37,6,0,166,321
"Winnipeg South/Winnipeg-Sud"," 126","Winnipeg",144,129,4,39,7,0,323,511
"Winnipeg South/Winnipeg-Sud"," 127","Winnipeg",68,48,4,37,7,0,164,299
"Winnipeg South/Winnipeg-Sud"," 128","Winnipeg",44,54,0,35,12,1,146,271
"Winnipeg South/Winnipeg-Sud"," 129","Winnipeg",103,143,3,56,15,1,321,484
"Winnipeg South/Winnipeg-Sud"," 130","Winnipeg",68,85,1,28,5,0,187,281
"Winnipeg South/Winnipeg-Sud"," 131","Winnipeg",81,70,2,20,6,0,179,273
"Winnipeg South/Winnipeg-Sud"," 132","Winnipeg",59,97,2,26,6,2,192,345
"Winnipeg South/Winnipeg-Sud"," 133","Winnipeg",102,97,0,49,10,1,259,374
