Electoral District/Circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Robert Bouchard,Alcide Boudreault,Éric Dubois,Jean-Martin Gauthier,André Harvey,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 1","Notre-Dame-du-Rosaire",Void/Supprimé,,,,,,,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 2","Saint-David-de-Falardeau",Void/Supprimé,,,,,,,
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 3","Sainte-Rose-du-Nord",98,37,7,11,57,2,212,328
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 4","Saint-Fulgence",78,44,10,13,33,0,178,303
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 5","Saint-Fulgence",74,44,8,10,45,4,185,304
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 6","Saint-Fulgence",69,40,17,9,30,0,165,254
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 7","Saint-Fulgence",82,75,8,10,41,4,220,376
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 8","Saint-Fulgence",88,63,18,6,40,0,215,346
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 9","Saint-Honoré",145,88,14,4,48,1,300,520
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 10","Saint-Honoré",112,49,16,7,46,2,232,399
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 11","Saint-Honoré",126,56,17,5,17,4,225,403
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 12","Saint-Honoré",69,45,3,5,33,0,155,258
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 13","Saint-Honoré",77,68,6,4,38,0,193,342
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 14","Saint-Honoré",98,69,17,4,44,3,235,418
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 15","Saint-Honoré",134,80,10,11,51,0,286,470
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 16","Saint-Honoré",118,102,16,7,35,6,284,618
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 17","Saint-Honoré",83,40,8,2,28,2,163,321
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 18","Saguenay",82,61,7,5,44,1,200,303
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 19","Saguenay",150,83,8,7,72,3,323,537
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 20","Saint-Honoré",128,52,17,6,32,4,239,539
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 21","Saguenay",99,47,21,9,42,6,224,416
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 22","Chicoutimi",102,69,13,4,63,1,252,508
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 23","Chicoutimi",105,70,8,5,26,4,218,399
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 24","Chicoutimi",88,48,11,6,54,0,207,346
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 25","Chicoutimi",62,69,17,3,81,4,236,381
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 26","Chicoutimi",86,36,7,5,25,0,159,293
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 27","Chicoutimi",61,36,4,2,33,1,137,282
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 28","Chicoutimi",96,29,6,3,34,2,170,303
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 29","Chicoutimi",88,49,6,8,76,1,228,340
"Chicoutimi--Le Fjord/Chicoutimi--Le Fjord"," 30","Chicoutimi",96,57,17,13,69,2,254,368
