Geographic code,Geographic name,"Geographic Name, province or territory","Geographic Code, province or territory",Global non-response rate,Data quality flag,Sex,Total (2016 Counts),Broad Age Groups: 0 to 14 (2016 Counts),Broad Age Groups: 15 to 64 (2016 Counts),Broad Age Groups: 65 years and over (2016 Counts),Broad Age Groups: 85 years and over (2016 Counts),Total (2011 Counts),Broad Age Groups: 0 to 14 (2011 Counts),Broad Age Groups: 15 to 64 (2011 Counts),Broad Age Groups: 65 years and over (2011 Counts),Broad Age Groups: 85 years and over (2011 Counts),Total (% Distribution 2016),Broad Age Groups: 0 to 14 (% Distribution 2016) ,Broad Age Groups: 15 to 64 (% Distribution 2016),Broad Age Groups: 65 years and over (% Distribution 2016),Broad Age Groups: 85 years and over (% Distribution 2016),Total (% Distribution 2011),Broad Age Groups: 0 to 14 (% Distribution 2011) ,Broad Age Groups: 15 to 64 (% Distribution 2011),Broad Age Groups: 65 years and over (% Distribution 2011),Broad Age Groups: 85 years and over (% Distribution 2011),Total (Percent Change 2011 to 2016),Broad Age Groups: 0 to 14 (Percent Change 2011 to 2016),Broad Age Groups: 15 to 64 (Percent Change 2011 to 2016),Broad Age Groups: 65 years and over (Percent Change 2011 to 2016),Broad Age Groups: 85 years and over (Percent Change 2011 to 2016)
10001,Avalon,Newfoundland and Labrador,10,3.6,00000,Both sexes,86490,13920,57075,15500,1290,81570,13335,56130,12105,1245,100,16.1,66,17.9,1.5,100,16.3,68.8,14.8,1.5,6,4.4,1.7,28,3.6
10001,Avalon,Newfoundland and Labrador,10,3.6,00000,Male,42440,7055,28030,7360,400,40040,6850,27550,5635,375,100,16.6,66,17.3,0.9,100,17.1,68.8,14.1,0.9,6,3,1.7,30.6,6.7
10001,Avalon,Newfoundland and Labrador,10,3.6,00000,Female,44050,6865,29045,8145,885,41530,6480,28575,6465,875,100,15.6,65.9,18.5,2,100,15.6,68.8,15.6,2.1,6.1,5.9,1.6,26,1.1
10002,Bonavista--Burin--Trinity,Newfoundland and Labrador,10,3.8,00000,Both sexes,74115,9115,46920,18080,1590,76695,10160,51710,14820,1540,100,12.3,63.3,24.4,2.1,100,13.2,67.4,19.3,2,-3.4,-10.3,-9.3,22,3.2
10002,Bonavista--Burin--Trinity,Newfoundland and Labrador,10,3.8,00000,Male,36575,4700,23230,8640,555,37855,5175,25705,6975,525,100,12.9,63.5,23.6,1.5,100,13.7,67.9,18.4,1.4,-3.4,-9.2,-9.6,23.9,5.7
10002,Bonavista--Burin--Trinity,Newfoundland and Labrador,10,3.8,00000,Female,37540,4410,23690,9440,1030,38835,4980,26005,7845,1010,100,11.7,63.1,25.1,2.7,100,12.8,67,20.2,2.6,-3.3,-11.4,-8.9,20.3,2
10003,Coast of Bays--Central--Notre Dame,Newfoundland and Labrador,10,4.4,00000,Both sexes,77685,10085,49320,18280,1665,78085,11110,52050,14925,1470,100,13,63.5,23.5,2.1,100,14.2,66.7,19.1,1.9,-0.5,-9.2,-5.2,22.5,13.3
10003,Coast of Bays--Central--Notre Dame,Newfoundland and Labrador,10,4.4,00000,Male,38025,5205,24155,8665,645,38205,5745,25425,7035,545,100,13.7,63.5,22.8,1.7,100,15,66.5,18.4,1.4,-0.5,-9.4,-5,23.2,18.3
10003,Coast of Bays--Central--Notre Dame,Newfoundland and Labrador,10,4.4,00000,Female,39660,4885,25160,9615,1020,39880,5360,26625,7895,920,100,12.3,63.4,24.2,2.6,100,13.4,66.8,19.8,2.3,-0.6,-8.9,-5.5,21.8,10.9
10004,Labrador,Newfoundland and Labrador,10,4.9,00000,Both sexes,27195,5350,19050,2795,165,26725,5310,19300,2115,120,100,19.7,70,10.3,0.6,100,19.9,72.2,7.9,0.4,1.8,0.8,-1.3,32.2,37.5
