district_code,name_english,pop,pop_lag,dwellings,occupied_dwellings
59001,Abbotsford (B.C.),124515,116098,45501,43766
24046,Abitibi - Baie-James - Nunavik - Eeyou (Que.),80894,80052,31950,29240
24001,Abitibi - Témiscamingue (Que.),102795,104620,48245,43542
13001,Acadie - Bathurst (N.B.),78948,82929,36192,32335
24002,Ahuntsic (Que.),100471,99848,48941,46787
35001,Ajax - Pickering (Ont.),117183,100248,38147,36945
24003,Alfred-Pellan (Que.),104765,99866,41693,40715
35002,Algoma - Manitoulin - Kapuskasing (Ont.),77961,82330,43218,33238
35003,Ancaster - Dundas - Flamborough - Westdale (Ont.),111844,106245,42476,39877
24004,Argenteuil - Papineau - Mirabel (Que.),111534,98452,58588,45413
10001,Avalon (N.L.),78381,79548,38819,30203
35004,Barrie (Ont.),128430,103710,48196,46533
24054,Bas-Richelieu - Nicolet - Bécancour (Que.),91745,92650,42438,39374
47001,Battlefords - Lloydminster (Sask.),71184,73396,32063,27235
35005,Beaches - East York (Ont.),104831,108913,47241,44404
24005,Beauce (Que.),103617,102072,44797,41731
24006,Beauharnois - Salaberry (Que.),106856,103808,47434,44366
24007,Beauport - Limoilou (Que.),101331,98990,49245,47556
13002,Beauséjour (N.B.),76259,73871,36550,30314
24008,Berthier - Maskinongé (Que.),107911,103516,49997,45003
47002,Blackstrap (Sask.),76273,73725,34208,32077
10002,Bonavista - Gander - Grand Falls - Windsor (N.L.),86394,89743,43601,34156
24009,Bourassa (Que.),100683,99862,46081,44235
35006,Bramalea - Gore - Malton (Ont.),152698,119886,45379,43562
35007,Brampton - Springdale (Ont.),131797,116775,38286,37079
35008,Brampton West (Ont.),170422,113638,53477,51329
46001,Brandon - Souris (Man.),84602,83510,37861,34572
35009,Brant (Ont.),125136,118580,49700,48037
59026,British Columbia Southern Interior (B.C.),95477,96144,49947,42258
24010,Brome - Missisquoi (Que.),92591,88066,50731,39883
24011,Brossard - La Prairie (Que.),113985,100489,44371,43097
35026,Bruce - Grey - Owen Sound (Ont.),105947,102487,54988,42678
35010,Burlington (Ont.),118310,117348,48804,47202
59002,Burnaby - Douglas (B.C.),112119,108891,46258,43477
59003,Burnaby - New Westminster (B.C.),118713,111048,49885,46924
48006,Calgary Centre (Alta.),124197,117439,68689,64347
48003,Calgary Centre-North (Alta.),114615,117252,54056,51125
48002,Calgary East (Alta.),110479,115565,43267,41556
48004,Calgary Northeast (Alta.),129015,109339,41994,40456
48005,Calgary - Nose Hill (Alta.),130942,100026,45897,44445
48007,Calgary Southeast (Alta.),125738,107432,46829,45629
48008,Calgary Southwest (Alta.),120750,107920,47649,46429
48009,Calgary West (Alta.),132162,103893,52900,50635
35011,Cambridge (Ont.),129434,119141,47692,46325
12001,Cape Breton - Canso (N.S.),71968,75221,34700,28997
11001,Cardigan (P.E.I.),35067,34777,16234,13237
59004,Cariboo - Prince George (B.C.),106382,111486,46193,42027
35012,Carleton - Mississippi Mills (Ont.),128915,111149,45368,44038
12002,Central Nova (N.S.),72966,74445,35336,29819
24012,Chambly - Borduas (Que.),116925,104995,45762,44633
24013,Charlesbourg - Haute-Saint-Charles (Que.),94522,90162,41657,40642
46002,Charleswood - St. James - Assiniboia (Man.),81469,81874,34332,33646
11002,Charlottetown (P.E.I.),32174,32245,14995,13728
24015,Châteauguay - Saint-Constant (Que.),107165,102709,40459,39716
35013,Chatham-Kent - Essex (Ont.),109484,106144,45443,42304
24016,Chicoutimi - Le Fjord (Que.),96483,98739,43312,40370
59005,Chilliwack - Fraser Canyon (B.C.),112118,103716,49094,44476
46003,Churchill (Man.),75232,73428,26497,22612
24017,Compton - Stanstead (Que.),100148,94158,44737,40034
48010,Crowfoot (Alta.),114825,104079,44342,42098
12007,Cumberland - Colchester - Musquodoboit Valley (N.S.),87895,87149,43740,36755
47004,Cypress Hills - Grasslands (Sask.),60551,65216,29242,24739
12003,Dartmouth - Cole Harbour (N.S.),87886,87588,39258,36951
46004,Dauphin - Swan River - Marquette (Man.),75103,77586,36205,30130
35015,Davenport (Ont.),104615,111705,42983,39901
59006,Delta - Richmond East (B.C.),106103,103045,39429,37854
47003,Desnethé - Missinippi - Churchill River (Sask.),67937,64416,29161,20847
35016,Don Valley East (Ont.),109640,111177,42266,40557
35017,Don Valley West (Ont.),117083,115539,47808,45626
24018,Drummond (Que.),92982,87808,41980,39519
35018,Dufferin - Caledon (Ont.),111486,101608,38669,37011
35014,Durham (Ont.),118500,107435,43051,41261
48012,Edmonton Centre (Alta.),120326,115900,65754,61323
48013,Edmonton East (Alta.),128199,119160,53902,50740
48014,Edmonton - Leduc (Alta.),116986,95700,45713,44233
48011,Edmonton - Mill Woods - Beaumont (Alta.),112919,99508,38904,37767
48016,Edmonton - Sherwood Park (Alta.),118073,103610,43568,42382
48017,Edmonton - Spruce Grove (Alta.),128945,111638,49170,47218
