Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Francis Arsenault,Robert Aubin,Paule Brunelle,Marc-André Fortin,Louis Lacroix,Pierre Lacroix,Patrice Mangin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
24072,"Trois-Rivières/Trois-Rivières"," 1","Trois-Rivières",2,120,46,2,6,28,15,3,222,392
24072,"Trois-Rivières/Trois-Rivières"," 2","Trois-Rivières",0,118,34,3,4,32,5,1,197,447
24072,"Trois-Rivières/Trois-Rivières"," 3","Trois-Rivières",0,77,34,1,1,27,6,5,151,322
24072,"Trois-Rivières/Trois-Rivières"," 4","Trois-Rivières",1,161,53,2,6,37,11,2,273,492
24072,"Trois-Rivières/Trois-Rivières"," 5","Trois-Rivières",0,65,30,1,6,16,8,6,132,261
24072,"Trois-Rivières/Trois-Rivières"," 5-1","Trois-Rivières",1,136,53,0,2,23,4,2,221,352
24072,"Trois-Rivières/Trois-Rivières"," 6","Trois-Rivières",0,88,44,1,2,31,10,5,181,329
24072,"Trois-Rivières/Trois-Rivières"," 7","Trois-Rivières",1,121,47,3,4,22,3,3,204,419
24072,"Trois-Rivières/Trois-Rivières"," 8","Trois-Rivières",3,147,60,1,5,35,6,7,264,512
24072,"Trois-Rivières/Trois-Rivières"," 9","Trois-Rivières",2,126,58,1,5,45,11,0,248,402
24072,"Trois-Rivières/Trois-Rivières"," 10","Trois-Rivières",1,134,58,3,5,21,12,4,238,490
24072,"Trois-Rivières/Trois-Rivières"," 11","Trois-Rivières",2,173,72,2,8,48,15,2,322,578
24072,"Trois-Rivières/Trois-Rivières"," 12","Trois-Rivières",0,146,53,1,2,19,9,1,231,384
24072,"Trois-Rivières/Trois-Rivières"," 13","Trois-Rivières",1,168,66,2,3,52,16,2,310,528
24072,"Trois-Rivières/Trois-Rivières"," 14","Trois-Rivières",0,135,41,3,4,38,12,5,238,413
24072,"Trois-Rivières/Trois-Rivières"," 15","Trois-Rivières",2,159,48,2,8,40,8,5,272,519
24072,"Trois-Rivières/Trois-Rivières"," 16","Trois-Rivières",0,169,65,1,6,28,13,6,288,495
24072,"Trois-Rivières/Trois-Rivières"," 17","Trois-Rivières",3,240,68,1,8,33,27,4,384,609
24072,"Trois-Rivières/Trois-Rivières"," 18","Trois-Rivières",1,137,62,2,4,15,11,1,233,394
24072,"Trois-Rivières/Trois-Rivières"," 19","Trois-Rivières",1,125,51,2,4,26,10,6,225,462
24072,"Trois-Rivières/Trois-Rivières"," 20A","Trois-Rivières",2,111,40,1,1,33,12,5,205,418
24072,"Trois-Rivières/Trois-Rivières"," 20B","Trois-Rivières",1,122,41,0,3,31,10,8,216,405
24072,"Trois-Rivières/Trois-Rivières"," 20-1","Trois-Rivières",2,127,48,1,2,45,11,1,237,464
24072,"Trois-Rivières/Trois-Rivières"," 21","Trois-Rivières",0,101,23,1,3,15,12,4,159,261
24072,"Trois-Rivières/Trois-Rivières"," 22","Trois-Rivières",2,151,60,1,9,37,15,4,279,517
24072,"Trois-Rivières/Trois-Rivières"," 23A","Trois-Rivières",0,112,30,0,0,26,8,2,178,378
24072,"Trois-Rivières/Trois-Rivières"," 23B","Trois-Rivières",0,89,33,0,1,30,10,6,169,373
24072,"Trois-Rivières/Trois-Rivières"," 24","Trois-Rivières",2,146,53,1,4,19,11,2,238,401
24072,"Trois-Rivières/Trois-Rivières"," 25","Trois-Rivières",1,129,36,1,1,25,15,3,211,357
24072,"Trois-Rivières/Trois-Rivières"," 26","Trois-Rivières",0,192,57,0,2,21,21,2,295,503
24072,"Trois-Rivières/Trois-Rivières"," 27","Trois-Rivières",2,157,56,1,2,45,14,3,280,467
24072,"Trois-Rivières/Trois-Rivières"," 28","Trois-Rivières",0,202,43,1,1,41,36,5,329,524
24072,"Trois-Rivières/Trois-Rivières"," 29","Trois-Rivières",0,149,39,1,1,29,14,8,241,427
24072,"Trois-Rivières/Trois-Rivières"," 29-1","Trois-Rivières",1,171,41,1,4,37,38,2,295,491
24072,"Trois-Rivières/Trois-Rivières"," 30","Trois-Rivières",1,129,36,1,2,14,11,4,198,322
24072,"Trois-Rivières/Trois-Rivières"," 31","Trois-Rivières",2,162,46,1,6,26,18,4,265,453
24072,"Trois-Rivières/Trois-Rivières"," 32","Trois-Rivières",0,149,41,1,3,30,33,2,259,387
24072,"Trois-Rivières/Trois-Rivières"," 33","Trois-Rivières",0,113,41,0,7,20,12,2,195,332
24072,"Trois-Rivières/Trois-Rivières"," 34","Trois-Rivières",2,118,49,2,6,24,7,1,209,367
24072,"Trois-Rivières/Trois-Rivières"," 35","Trois-Rivières",1,121,48,0,5,23,13,0,211,341
24072,"Trois-Rivières/Trois-Rivières"," 36","Trois-Rivières",2,122,31,1,3,20,12,3,194,389
24072,"Trois-Rivières/Trois-Rivières"," 37","Trois-Rivières",1,112,44,0,3,15,15,2,192,315
24072,"Trois-Rivières/Trois-Rivières"," 38","Trois-Rivières",0,112,45,0,6,22,18,1,204,295
24072,"Trois-Rivières/Trois-Rivières"," 39","Trois-Rivières",0,44,15,1,0,5,6,2,73,274
24072,"Trois-Rivières/Trois-Rivières"," 40","Trois-Rivières",0,147,57,1,7,25,7,2,246,535
24072,"Trois-Rivières/Trois-Rivières"," 41","Trois-Rivières",1,170,58,3,5,49,8,4,298,518
24072,"Trois-Rivières/Trois-Rivières"," 42","Trois-Rivières",0,109,42,2,2,34,15,4,208,436
24072,"Trois-Rivières/Trois-Rivières"," 43","Trois-Rivières",1,128,43,4,1,20,8,3,208,442
24072,"Trois-Rivières/Trois-Rivières"," 43-1","Trois-Rivières",1,101,47,4,1,25,4,2,185,323
24072,"Trois-Rivières/Trois-Rivières"," 44","Trois-Rivières",1,153,46,3,9,29,7,4,252,490
24072,"Trois-Rivières/Trois-Rivières"," 45","Trois-Rivières",1,133,58,1,3,31,12,5,244,460
24072,"Trois-Rivières/Trois-Rivières"," 46","Trois-Rivières",0,136,58,2,7,25,9,4,241,484
24072,"Trois-Rivières/Trois-Rivières"," 47","Trois-Rivières",0,83,35,1,4,21,6,5,155,239
24072,"Trois-Rivières/Trois-Rivières"," 47-1","Trois-Rivières",2,134,47,1,5,17,11,5,222,385
24072,"Trois-Rivières/Trois-Rivières"," 48","Trois-Rivières",0,188,57,3,8,35,11,7,309,565
24072,"Trois-Rivières/Trois-Rivières"," 49","Trois-Rivières",0,118,74,4,2,28,18,4,248,456
24072,"Trois-Rivières/Trois-Rivières"," 50","Trois-Rivières",2,149,49,2,3,32,17,2,256,459
