Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Donovan Eckstrom,Corina Ganton,Wayne John Kamieniecki,Russ Toews,Jennifer Villebrun,Chris Warkentin,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48022,Peace River/Peace River,1,Bistcho Lake,0,6,4,1,6,20,0,37,109
48022,Peace River/Peace River,2,Habay,2,19,1,2,68,17,2,111,512
48022,Peace River/Peace River,3,Rainbow Lake,2,8,12,1,20,125,0,168,462
48022,Peace River/Peace River,4,Rainbow Lake,1,6,1,1,14,53,0,76,134
48022,Peace River/Peace River,5,High Level,1,10,1,0,26,32,0,70,380
48022,Peace River/Peace River,6,Meander River,0,8,2,0,25,14,0,49,129
48022,Peace River/Peace River,7,High Level,2,9,8,2,53,119,1,194,482
48022,Peace River/Peace River,8,High Level,0,16,6,0,46,177,1,246,562
48022,Peace River/Peace River, 8-1,High Level,0,18,7,1,30,109,0,165,355
48022,Peace River/Peace River,9,High Level,0,0,1,0,4,22,0,27,87
48022,Peace River/Peace River,10,High Level,0,3,2,0,20,67,1,93,208
48022,Peace River/Peace River, 10-1,High Level,0,2,0,0,10,21,0,33,135
48022,Peace River/Peace River,11,High Level,0,8,1,2,30,70,0,111,234
48022,Peace River/Peace River,12,Bushe River,1,17,11,0,37,219,0,285,497
48022,Peace River/Peace River,13,Rocky Lane,0,5,4,1,17,74,0,101,232
48022,Peace River/Peace River,14,Child Lake 164A,0,2,0,0,20,3,0,25,77
48022,Peace River/Peace River,15,Boyer 164,0,1,0,1,29,5,0,36,96
48022,Peace River/Peace River,16,Boyer Settlement,0,2,2,1,11,40,0,56,140
48022,Peace River/Peace River,17,Jean d'Or Prairie 215,0,2,0,0,29,31,0,62,304
48022,Peace River/Peace River,18,Fox Lake,0,21,4,0,48,41,3,117,611
48022,Peace River/Peace River,19,Tall Cree 173A,0,1,0,1,6,32,0,40,168
48022,Peace River/Peace River, 19-1,Tall Cree 173A,0,0,0,0,8,9,0,17,49
48022,Peace River/Peace River,20,Tall Cree 173,0,5,2,0,20,1,0,28,88
48022,Peace River/Peace River,21,Fort Vermilion,0,9,7,2,66,83,3,170,680
48022,Peace River/Peace River,22,La Crête,Merged with No. 23/Fusionné avec le nº 23,,,,,,,,447
48022,Peace River/Peace River,23,La Crête,1,3,2,0,3,392,0,401,583
48022,Peace River/Peace River,24,La Crête,1,1,0,1,13,324,0,340,598
48022,Peace River/Peace River, 24-1,La Crête,Merged with No. 24/Fusionné avec le nº 24,,,,,,,,233
48022,Peace River/Peace River,25,La Crête,0,4,0,1,20,430,1,456,957
48022,Peace River/Peace River,26,Buffalo Head Prairie,0,0,0,0,2,172,0,174,394
48022,Peace River/Peace River,27,Buffalo Head Prairie,0,0,0,0,3,105,0,108,581
48022,Peace River/Peace River,28,Paddle Prairie,0,8,8,1,27,23,0,67,109
48022,Peace River/Peace River, 28-1,Keg River,0,0,6,0,10,51,0,67,314
48022,Peace River/Peace River,29,Hotchkiss,1,2,7,1,14,73,0,98,180
48022,Peace River/Peace River,30,Deadwood,0,1,14,1,28,88,0,132,224
48022,Peace River/Peace River,31,North Star,1,3,28,0,18,123,0,173,343
48022,Peace River/Peace River,32,Notikewin,0,5,11,0,17,127,0,160,323
48022,Peace River/Peace River,33,Manning,2,4,12,1,22,161,0,202,346
48022,Peace River/Peace River,34,Manning,0,5,13,0,17,94,0,129,321
48022,Peace River/Peace River,35,Manning,2,1,9,0,10,55,0,77,195
48022,Peace River/Peace River,36,Worsley,0,0,4,2,9,143,1,159,373
48022,Peace River/Peace River,37,Bear Canyon,0,2,3,1,6,51,0,63,121
48022,Peace River/Peace River,38,Cleardale,0,0,0,0,5,63,0,68,315
48022,Peace River/Peace River,39,Eureka River,1,4,4,1,11,164,0,185,271
48022,Peace River/Peace River,40,Deer Hill,0,0,5,0,32,125,0,162,289
48022,Peace River/Peace River,41,Hines Creek,1,4,4,2,23,173,2,209,342
48022,Peace River/Peace River,42,Hines Creek,0,2,13,0,30,123,1,169,297
48022,Peace River/Peace River,43,Fourth Creek,0,1,9,2,17,106,0,135,246
48022,Peace River/Peace River,44,Silver Valley,1,3,4,1,16,80,0,105,171
48022,Peace River/Peace River,45,Highland Park,0,1,0,1,15,28,0,45,105
48022,Peace River/Peace River,46,Bluesky,1,4,10,1,32,162,0,210,405
48022,Peace River/Peace River,47,Fairview,0,4,6,0,32,182,0,224,426
48022,Peace River/Peace River,48,Fairview,2,1,6,2,28,152,0,191,358
48022,Peace River/Peace River,49,Fairview,2,2,5,1,30,128,0,168,359
48022,Peace River/Peace River,50,Fairview,1,0,2,0,9,47,0,59,241
48022,Peace River/Peace River, 50-1,Fairview,1,4,1,5,14,62,0,87,326
48022,Peace River/Peace River,51,Fairview,4,1,7,0,12,61,1,86,162
48022,Peace River/Peace River,52,Fairview,2,5,5,1,29,119,2,163,340
48022,Peace River/Peace River,53,Friedenstal,3,5,7,2,36,196,1,250,420
48022,Peace River/Peace River,54,Whitelaw,3,4,15,3,27,122,0,174,293
48022,Peace River/Peace River,55,Brownvale,0,5,9,1,50,109,1,175,343
48022,Peace River/Peace River,56,Berwyn,2,1,7,0,13,75,0,98,163
48022,Peace River/Peace River,57,Berwyn,2,4,12,0,42,136,0,196,388
48022,Peace River/Peace River,58,Grimshaw,0,2,5,0,31,138,0,176,341
48022,Peace River/Peace River,59,Grimshaw,1,4,1,1,21,111,1,140,312
48022,Peace River/Peace River,60,Grimshaw,0,2,2,2,29,96,0,131,291
48022,Peace River/Peace River,61,Grimshaw,0,7,0,1,21,92,0,121,283
48022,Peace River/Peace River,62,Grimshaw,2,2,4,4,58,229,0,299,705
48022,Peace River/Peace River, 62-1,Grimshaw,Void/Supprimé,,,,,,,,
48022,Peace River/Peace River,63,Grimshaw,1,4,4,0,23,132,0,164,305
48022,Peace River/Peace River,64,Warrensville,0,2,8,0,30,148,0,188,331
48022,Peace River/Peace River,65,Dixonville,2,4,10,0,31,142,0,189,348
