Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadine Bailey,Christa Baxter,Mike Butler,Mike Lake,Naomi Rankin,Brent Schaffrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 102","Edmonton",61,7,25,79,1,0,0,173,427
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 103","Edmonton",50,9,26,123,1,2,0,211,415
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 104","Edmonton",39,9,18,62,0,0,0,128,441
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 105","Edmonton",46,2,22,71,0,0,1,142,322
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 106","Edmonton",62,5,15,74,1,1,0,158,365
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 107","Edmonton",51,3,32,83,0,0,1,170,356
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 108","Edmonton",34,6,20,110,3,2,3,178,408
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 109","Edmonton",60,4,22,117,1,2,0,206,485
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 110","Edmonton",39,3,31,102,1,1,1,178,410
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 111","Edmonton",67,7,20,112,0,1,1,208,398
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 112","Edmonton",48,5,24,59,1,0,1,138,312
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 113","Edmonton",68,7,18,95,1,0,2,191,428
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 114","Edmonton",33,2,17,66,0,1,0,119,268
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 115A","Edmonton",33,3,15,94,0,2,0,147,354
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 115B","Edmonton",38,2,21,81,0,0,2,144,351
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 116","Edmonton",60,4,25,117,0,2,0,208,497
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 117","Edmonton",46,2,27,116,0,1,1,193,461
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 118","Edmonton",50,10,19,118,0,4,1,202,496
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 119","Edmonton",42,4,21,89,1,1,1,159,423
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 120","Edmonton",35,1,32,71,0,0,1,140,373
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 121","Edmonton",37,2,30,112,1,0,4,186,490
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 122","Edmonton",49,7,23,114,0,0,1,194,501
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 123","Edmonton",43,7,21,89,1,0,0,161,378
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 124","Edmonton",61,5,14,156,1,3,0,240,429
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 125","Edmonton",49,10,21,142,0,0,0,222,430
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 126","Edmonton",52,4,14,111,0,2,1,184,400
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 127","Edmonton",39,3,12,101,0,0,1,156,336
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 128","Edmonton",46,6,13,120,1,1,0,187,321
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 129","Edmonton",57,4,35,88,1,1,1,187,446
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 130","Edmonton",44,6,30,116,0,1,0,197,456
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 131","Edmonton",42,5,17,98,0,3,0,165,380
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 132","Edmonton",58,6,32,145,0,1,2,244,480
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 133","Edmonton",18,5,22,93,0,0,0,138,282
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 134","Edmonton",45,2,14,91,0,3,1,156,379
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 135","Edmonton",43,5,15,116,0,1,4,184,403
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 136","Edmonton",31,3,10,98,0,3,0,145,331
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 137","Edmonton",74,7,24,172,1,2,1,281,538
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 138","Edmonton",31,2,13,105,0,2,0,153,282
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 139","Edmonton",43,4,28,141,0,2,3,221,422
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 140","Edmonton",45,6,11,133,0,2,0,197,398
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 141","Edmonton",50,4,18,120,3,2,1,198,387
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 142","Edmonton",52,7,20,161,0,1,0,241,385
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 143","Edmonton",70,3,11,171,0,2,0,257,438
