Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Nadine Bailey,Christa Baxter,Mike Butler,Mike Lake,Naomi Rankin,Brent Schaffrick,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 15","Edmonton",59,2,23,68,0,1,1,154,392
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 16","Edmonton",44,9,12,113,0,0,0,178,332
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 17","Edmonton",60,10,25,149,1,1,1,247,478
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 18","Edmonton",35,11,12,76,0,1,1,136,281
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 19","Edmonton",36,4,13,100,1,1,0,155,338
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 20","Edmonton",45,7,9,103,0,3,0,167,281
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 21","Edmonton",57,7,27,103,0,1,0,195,345
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 22","Edmonton",60,4,22,126,2,2,0,216,349
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 23","Edmonton",36,6,21,143,0,1,0,207,396
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 24","Edmonton",53,9,10,83,0,3,0,158,349
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 25","Edmonton",59,10,14,117,1,0,0,201,401
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 26","Edmonton",44,6,22,99,0,1,0,172,385
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 27","Edmonton",39,6,12,105,0,2,0,164,447
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 28","Edmonton",77,13,22,130,0,4,0,246,467
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 29","Edmonton",52,8,16,114,0,0,3,193,436
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 30","Edmonton",57,7,19,164,0,0,0,247,486
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 31","Edmonton",50,6,11,119,0,2,0,188,386
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 32","Edmonton",48,10,18,137,2,1,1,217,391
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 33","Edmonton",67,4,9,125,1,0,2,208,408
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 34","Edmonton",52,4,33,115,1,2,2,209,439
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 35","Edmonton",82,5,23,119,1,0,0,230,468
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 36","Edmonton",51,12,21,90,0,4,0,178,406
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 37","Edmonton",52,2,27,118,0,2,3,204,462
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 38","Edmonton",37,5,27,192,0,1,4,266,429
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 39","Edmonton",87,7,22,110,0,0,0,226,487
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 40","Edmonton",45,8,21,158,0,1,0,233,528
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 41","Edmonton",45,7,20,104,0,1,0,177,440
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 42","Edmonton",30,3,34,96,2,0,0,165,316
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 43","Edmonton",54,1,21,97,0,0,1,174,345
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 44","Edmonton",52,4,27,105,1,1,0,190,345
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 45","Edmonton",78,5,39,125,1,1,1,250,519
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 46","Edmonton",60,7,41,112,0,1,1,222,457
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 47","Edmonton",45,3,36,121,1,1,0,207,464
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 48","Edmonton",58,1,46,79,1,3,5,193,439
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 49","Edmonton",54,12,25,106,0,2,0,199,432
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 50","Edmonton",49,11,14,110,0,3,1,188,407
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 51","Edmonton",39,12,11,86,0,2,0,150,309
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 52","Edmonton",35,8,13,81,0,1,0,138,343
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 53","Edmonton",34,6,19,93,2,1,0,155,377
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 54","Edmonton",44,4,11,99,1,1,2,162,383
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 55","Edmonton",54,10,20,127,0,1,0,212,475
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 56","Edmonton",41,2,19,103,0,0,1,166,399
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 57","Edmonton",48,6,11,84,0,0,0,149,338
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 58","Edmonton",22,0,13,108,0,0,2,145,297
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 59","Edmonton",52,6,46,111,0,4,0,219,519
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 60","Edmonton",54,7,24,137,0,2,1,225,397
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 61","Edmonton",51,6,39,130,1,3,0,230,406
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 62","Edmonton",62,10,25,153,1,1,0,252,448
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 63","Edmonton",60,7,33,126,0,1,1,228,506
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 64","Edmonton",53,7,33,136,0,2,0,231,462
48011,"Edmonton--Mill Woods--Beaumont/Edmonton--Mill Woods--Beaumont"," 65","Edmonton",45,1,18,131,0,0,0,195,389
