Electoral District Number/Numéro de circonscription,Electoral District Name/Nom de circonscription,Polling Station Number/Numéro du bureau de scrutin,Polling Station Name/Nom du bureau de scrutin,Mark Adler,Nick Brownlee,Ken Dryden,Rosemary Frei,Rejected Ballots/Bulletins rejetés,Total Votes/Total des votes,Electors/Électeurs
35103,"York Centre/York-Centre"," 1","North York",59,47,64,5,0,175,433
35103,"York Centre/York-Centre"," 2","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 3","North York",76,28,74,3,3,184,407
35103,"York Centre/York-Centre"," 4","North York",90,25,70,4,1,190,413
35103,"York Centre/York-Centre"," 5","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 6","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 7","North York",81,33,77,7,5,203,368
35103,"York Centre/York-Centre"," 8","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 9","North York",104,22,29,3,4,162,373
35103,"York Centre/York-Centre"," 10","North York",99,13,56,3,3,174,361
35103,"York Centre/York-Centre"," 11","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 12","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 13","North York",53,16,38,2,1,110,294
35103,"York Centre/York-Centre"," 14","North York",51,13,16,1,1,82,295
35103,"York Centre/York-Centre"," 15","North York",120,25,56,3,0,204,402
35103,"York Centre/York-Centre"," 16","North York",118,33,79,8,1,239,446
35103,"York Centre/York-Centre"," 17","North York",101,32,109,4,1,247,439
35103,"York Centre/York-Centre"," 18","North York",80,33,69,7,0,189,360
35103,"York Centre/York-Centre"," 19","North York",64,32,59,2,1,158,382
35103,"York Centre/York-Centre"," 20","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 21","North York",96,37,88,3,2,226,413
35103,"York Centre/York-Centre"," 22","North York",88,13,81,4,0,186,390
35103,"York Centre/York-Centre"," 23","North York",96,37,64,7,0,204,374
35103,"York Centre/York-Centre"," 24","North York",51,32,71,5,1,160,357
35103,"York Centre/York-Centre"," 25","North York",95,32,62,5,0,194,342
35103,"York Centre/York-Centre"," 26","North York",102,46,49,6,4,207,505
35103,"York Centre/York-Centre"," 27","North York",86,17,78,2,0,183,378
35103,"York Centre/York-Centre"," 28","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 29","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 30","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 31","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 32","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 33","North York",162,11,34,1,0,208,382
35103,"York Centre/York-Centre"," 34","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 35","North York",133,11,29,3,0,176,404
35103,"York Centre/York-Centre"," 36","North York",82,16,40,1,0,139,350
35103,"York Centre/York-Centre"," 36-1","North York",119,11,47,1,0,178,372
35103,"York Centre/York-Centre"," 37","North York",157,22,59,5,0,243,495
35103,"York Centre/York-Centre"," 38","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 39","North York",109,15,51,3,3,181,326
35103,"York Centre/York-Centre"," 40","North York",138,21,58,4,0,221,383
35103,"York Centre/York-Centre"," 41","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 42","North York",159,31,35,5,1,231,460
35103,"York Centre/York-Centre"," 43","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 44","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 45","North York",Void/Supprimé,,,,,,
35103,"York Centre/York-Centre"," 46","North York",Void/Supprimé,,,,,,
